Numberline_Q,Type,Step,E,Q,dt,||F||
1,Stiffness,615500,8.405e-16,1.000000000000e+00,1.249e-03,9.768e-07
2,Stiffness,733500,1.472e-15,2.000000000000e+00,1.021e-03,1.103e-06
3,Stiffness,884500,7.017e-16,3.000000000000e+00,9.826e-04,1.035e-06
4,Stiffness,1066500,8.427e-16,4.000000000000e+00,1.117e-03,1.029e-06
5,Stiffness,1326000,1.012e-15,5.000000000000e+00,1.382e-03,9.573e-07
6,Stiffness,2458000,0.000e+00,6.000000000000e+00,3.103e-04,4.906e-07
7,Stiffness,2359000,9.673e-16,7.000000000000e+00,1.319e-03,4.456e-07
8,Stiffness,2236500,1.059e-15,8.000000000000e+00,1.354e-03,4.273e-07
9,Stiffness,2231000,1.884e-16,9.000000000000e+00,1.318e-03,3.570e-07
10,Stiffness,2486500,8.485e-16,1.000000000000e+01,1.184e-03,3.475e-07
11,Stiffness,1485500,9.224e-16,1.100000000000e+01,6.095e-04,2.461e-05
12,Stiffness,1061500,7.049e-16,1.200000000000e+01,1.008e-03,1.621e-06
13,Stiffness,847000,2.604e-16,1.300000000000e+01,7.538e-04,1.744e-06
14,Stiffness,721500,3.628e-16,1.400000000000e+01,7.509e-04,1.732e-06
15,Stiffness,624500,1.016e-15,1.500000000000e+01,8.233e-04,1.928e-06
16,Stiffness,557000,4.237e-16,1.600000000000e+01,7.984e-04,2.034e-06
17,Stiffness,505500,0.000e+00,1.700000000000e+01,8.109e-04,2.131e-06
18,Stiffness,466500,7.538e-16,1.800000000000e+01,1.342e-03,2.158e-06
19,Stiffness,431500,1.072e-15,1.900000000000e+01,1.026e-03,2.306e-06
20,Stiffness,402000,1.358e-15,2.000000000000e+01,1.295e-03,2.458e-06
21,Stiffness,379000,3.234e-16,2.100000000000e+01,8.078e-04,2.504e-06
22,Stiffness,359500,6.177e-16,2.200000000000e+01,1.040e-03,2.547e-06
23,Stiffness,340500,7.388e-16,2.300000000000e+01,1.289e-03,2.690e-06
24,Stiffness,324500,5.666e-16,2.400000000000e+01,9.894e-04,2.800e-06
25,Stiffness,311500,8.162e-16,2.500000000000e+01,1.088e-03,2.820e-06
26,Stiffness,297500,9.160e-16,2.600000000000e+01,1.387e-03,3.005e-06
27,Stiffness,287000,2.521e-16,2.700000000000e+01,4.086e-04,3.039e-06
28,Stiffness,275000,9.727e-16,2.800000000000e+01,1.116e-03,3.281e-06
29,Stiffness,267000,3.523e-16,2.900000000000e+01,8.456e-04,3.254e-06
30,Stiffness,257000,9.085e-16,3.000000000000e+01,9.595e-04,3.470e-06
31,Stiffness,249000,1.099e-15,3.100000000000e+01,1.350e-03,3.596e-06
32,Stiffness,241000,4.261e-16,3.200000000000e+01,8.522e-04,3.771e-06
33,Stiffness,234500,1.033e-15,3.300000000000e+01,7.722e-04,3.838e-06
34,Stiffness,228000,1.003e-15,3.400000000000e+01,7.810e-04,3.974e-06
35,Stiffness,222500,7.800e-16,3.500000000000e+01,1.413e-03,4.030e-06
36,Stiffness,216500,1.328e-15,3.600000000000e+01,1.067e-03,4.190e-06
37,Stiffness,211000,9.229e-16,3.700000000000e+01,1.201e-03,4.337e-06
38,Stiffness,206000,1.258e-15,3.800000000000e+01,1.351e-03,4.473e-06
39,Stiffness,202000,8.761e-16,3.900000000000e+01,7.871e-04,4.487e-06
40,Stiffness,197000,6.836e-16,4.000000000000e+01,7.653e-04,4.715e-06
41,Stiffness,193000,6.671e-16,4.100000000000e+01,8.916e-04,4.815e-06
42,Stiffness,189000,3.257e-16,4.200000000000e+01,1.202e-03,4.961e-06
43,Stiffness,185500,6.365e-16,4.300000000000e+01,1.084e-03,4.993e-06
44,Stiffness,182000,4.666e-16,4.400000000000e+01,7.855e-04,5.166e-06
45,Stiffness,178500,1.065e-15,4.500000000000e+01,1.224e-03,5.263e-06
46,Stiffness,175000,2.977e-16,4.600000000000e+01,7.945e-04,5.439e-06
47,Stiffness,172000,8.745e-16,4.700000000000e+01,1.283e-03,5.554e-06
48,Stiffness,169000,7.137e-16,4.800000000000e+01,1.244e-03,5.709e-06
49,Stiffness,166000,4.196e-16,4.900000000000e+01,7.500e-04,5.873e-06
50,Stiffness,163500,6.856e-16,5.000000000000e+01,9.377e-04,5.961e-06
51,Stiffness,160500,1.076e-15,5.100000000000e+01,1.309e-03,6.205e-06
52,Stiffness,158500,7.915e-16,5.200000000000e+01,1.055e-03,6.227e-06
53,Stiffness,156000,7.768e-16,5.300000000000e+01,1.140e-03,6.370e-06
54,Stiffness,153500,1.144e-15,5.400000000000e+01,1.277e-03,6.540e-06
55,Stiffness,151500,9.986e-16,5.500000000000e+01,1.281e-03,6.591e-06
56,Stiffness,149000,1.349e-15,5.600000000000e+01,1.153e-03,6.846e-06
57,Stiffness,147500,0.000e+00,5.700000000000e+01,8.329e-04,6.806e-06
58,Stiffness,145000,1.540e-15,5.800000000000e+01,1.296e-03,7.111e-06
59,Stiffness,143000,9.319e-16,5.900000000000e+01,1.083e-03,7.215e-06
60,Stiffness,141500,2.292e-16,6.000000000000e+01,9.389e-04,7.238e-06
61,Stiffness,139500,6.764e-16,6.100000000000e+01,1.356e-03,7.434e-06
62,Stiffness,137500,2.663e-15,6.200000000000e+01,1.313e-03,7.738e-06
63,Stiffness,136000,1.310e-15,6.300000000000e+01,9.830e-04,7.767e-06
