Numberline_Q,Type,Step,E,Q,dt,||F||
100,Stiffness,96500,1.804e-15,1.000000000000e+02,8.446e-04,1.295e-05
150,Stiffness,72500,4.673e-15,1.500000000000e+02,1.222e-03,1.980e-05
200,Stiffness,59500,6.220e-15,2.000000000000e+02,7.775e-04,2.601e-05
250,Stiffness,51000,1.595e-14,2.500000000000e+02,9.467e-04,3.161e-05
300,Stiffness,45000,1.166e-14,3.000000000000e+02,7.411e-04,5.368e-05
350,Stiffness,40000,6.397e-14,3.500000000000e+02,7.472e-04,4.168e-05
400,Stiffness,36500,4.526e-14,4.000000000000e+02,1.123e-03,4.351e-05
450,Stiffness,33500,6.260e-14,4.500000000000e+02,1.088e-03,4.630e-05
500,Stiffness,31000,1.878e-13,5.000000000000e+02,1.361e-03,4.992e-05
550,Stiffness,29500,7.236e-14,5.500000000000e+02,1.056e-03,4.982e-05
600,Stiffness,28500,7.823e-14,6.000000000000e+02,1.225e-03,5.098e-05
650,Stiffness,28000,8.529e-14,6.500000000000e+02,1.139e-03,5.238e-05
700,Stiffness,28000,8.255e-14,7.000000000000e+02,1.139e-03,5.330e-05
750,Stiffness,28000,3.188e-13,7.500000000000e+02,1.367e-03,5.705e-05
800,Stiffness,28500,2.794e-13,8.000000000000e+02,1.270e-03,5.710e-05
850,Stiffness,29000,2.193e-13,8.500000000000e+02,8.190e-04,5.792e-05
900,Stiffness,30000,3.353e-14,9.000000000000e+02,9.812e-04,5.313e-05
950,Stiffness,30500,6.396e-14,9.500000000000e+02,9.113e-04,5.343e-05
1000,Stiffness,31000,1.465e-13,1.000000000000e+03,1.411e-03,5.354e-05
1050,Stiffness,31500,1.283e-13,1.050000000000e+03,9.098e-04,5.353e-05
1100,Stiffness,32000,1.912e-13,1.100000000000e+03,1.174e-03,5.318e-05
1150,Stiffness,32500,1.312e-13,1.150000000000e+03,7.570e-04,5.246e-05
1200,Stiffness,33000,1.679e-13,1.200000000000e+03,9.764e-04,5.159e-05
1250,Stiffness,33500,1.772e-13,1.250000000000e+03,1.306e-03,4.990e-05
1300,Stiffness,34000,1.028e-13,1.300000000000e+03,8.423e-04,4.861e-05
1350,Stiffness,34500,7.142e-14,1.350000000000e+03,7.823e-04,4.691e-05
1400,Stiffness,35000,8.788e-14,1.400000000000e+03,1.211e-03,4.544e-05
1450,Stiffness,35500,5.206e-14,1.450000000000e+03,1.125e-03,4.375e-05
1500,Stiffness,36000,3.140e-14,1.500000000000e+03,1.451e-03,4.480e-05
1550,Stiffness,36500,1.009e-14,1.550000000000e+03,1.123e-03,4.060e-05
1600,Stiffness,36500,1.525e-13,1.600000000000e+03,9.357e-04,4.339e-05
1650,Stiffness,37000,1.806e-13,1.650000000000e+03,1.448e-03,4.466e-05
1700,Stiffness,37500,1.316e-13,1.700000000000e+03,1.345e-03,3.977e-05
1750,Stiffness,38000,1.119e-13,1.750000000000e+03,1.446e-03,4.048e-05
1800,Stiffness,38500,4.225e-14,1.800000000000e+03,8.058e-04,3.649e-05
1850,Stiffness,39000,4.442e-14,1.850000000000e+03,1.247e-03,3.499e-05
1900,Stiffness,39500,3.248e-14,1.900000000000e+03,1.341e-03,3.363e-05
1950,Stiffness,40000,5.410e-15,1.950000000000e+03,7.472e-04,3.206e-05
2000,Stiffness,40500,0.000e+00,2.000000000000e+03,2.891e-04,3.082e-05
