Q,source,line_period_rotations,oriented_period_rotations,median_coefficient_closure_p,median_coefficient_closure_2p,maximum_coefficient_closure_p,maximum_coefficient_closure_2p,median_base_closure_p,median_base_closure_2p,median_line_overlap_p,median_signed_overlap_p,minimum_line_overlap_p,median_line_overlap_2p,median_signed_overlap_2p,minimum_line_overlap_2p,median_transport_observed_line_overlap_p,median_transport_observed_line_overlap_2p,median_signed_gain_p,median_signed_gain_2p,negative_return_fraction_p,positive_return_fraction_2p,metric_sign_disagreement_fraction_p,metric_sign_disagreement_fraction_2p,gauge_max_absolute_error,gauge_max_relative_error,resolution_relative_error_p,resolution_relative_error_2p,coefficient_closed_p,coefficient_closed_2p,antiperiodic_line_passed,oriented_return_passed,gauge_invariance_passed,metric_sign_invariance_passed,resolution_check_passed,z2_value,classification
522.25,/root/elab1/hysteresis/support_feedback_q_curtain_focus_cache/q_522p25_orbit.npz,0.22361111111111112,0.4486111111111111,7.47002084261067e-05,3.898792890820197e-07,8.643966707728072e-05,4.5414420560635406e-07,1.903277782795,0.011823131709836676,0.9999868970359282,-0.9999868970359282,0.9999786937856576,0.9999480899783608,0.9999480899783608,0.9999155939090223,0.9999999981570714,0.9999999939016766,-1.0000818253364523,1.0001541746366598,1.0,1.0,0.0,0.0,1.3877787807814457e-17,2.2052693586488066e-19,8.693448657065172e-10,1.4752245541562982e-09,True,True,True,True,True,True,True,-1.0,Z2=-1 Möbius-line-bundle candidate supported on the P_line coefficient loop.
550.0,/root/elab1/hysteresis/support_feedback_q_curtain_cache/q_550_orbit.npz,0.22777777777777777,0.45416666666666666,0.0008448614885377653,5.271719791709591e-06,0.0009794954487165916,5.954182491031796e-06,2.271425138851233,0.01653420936999491,0.9999780378246753,-0.9999780378246753,0.9999663516534586,0.999935980663735,0.999935980663735,0.9998913754812366,0.9999999965797428,0.9999999995964941,-1.0013023802143208,1.0026317490916146,1.0,1.0,0.0,0.0,8.673617379884035e-19,1.3616998615410872e-20,1.0502929736991402e-09,1.6015122496264997e-09,True,True,True,True,True,True,True,-1.0,Z2=-1 Möbius-line-bundle candidate supported on the P_line coefficient loop.
