q,anchor_index,anchor_s,anchor_phase,line_period,coefficient_closure_p,coefficient_closure_2p,base_closure_p,base_closure_2p,observed_line_overlap_p,observed_signed_overlap_p,observed_line_overlap_2p,observed_signed_overlap_2p,euclidean_signed_overlap_p,euclidean_signed_overlap_2p,transport_observed_line_overlap_p,transport_observed_signed_overlap_p,transport_observed_line_overlap_2p,transport_observed_signed_overlap_2p,signed_gain_p,signed_gain_2p,log_abs_gain_p,log_abs_gain_2p,matched_eigenvalue_p_real,matched_eigenvalue_p_imag,matched_eigenvalue_p_abs,matched_eigenvector_alignment_p,matched_eigenvalue_2p_real,matched_eigenvalue_2p_imag,matched_eigenvalue_2p_abs,matched_eigenvector_alignment_2p,transport_matrix_condition_p,transport_matrix_condition_2p
522.25,0,1163.5539092969718,0.553909296971824,0.22361111111111112,8.358168100246388e-05,3.376603725811123e-07,1.7930489524549926,0.011757122246070516,0.9999896612399637,-0.9999896612399637,0.9999597280804259,0.9999597280804259,-0.9999877180292633,0.9999520948964286,0.9999999937993898,0.9999999937993898,0.9999999935907713,0.9999999935907713,-1.00074251081593,1.0014589756855585,0.0007422352911524491,0.0014579124145983472,-1.000013798011405,0.005260580379639916,1.000027634577728,0.7671292909832546,0.9999859865490348,0.010513590054070508,1.0000412535842067,0.7670875483666567,7.633818028287508,15.891070820001577
522.25,1,1163.8147788621893,0.8147788621893142,0.22361111111111112,8.600861089251545e-05,3.2342056247336976e-07,1.8356273546840258,0.010571807966775886,0.9999854897368915,-0.9999854897368915,0.9999438344428531,0.9999438344428531,-0.9999857721658252,0.9999448253145489,0.9999999987532964,0.9999999987532964,0.9999999718792698,0.9999999718792698,-1.00120357048812,1.0024288993508295,0.0012028467777927072,0.0024259543425896456,-0.9999985356336369,0.005257998420760762,1.000012358832035,0.7044794141147684,0.9999859609126036,0.010513689213490343,1.0000412289916756,0.704444018951913,7.6337142159956795,15.89280374540388
522.25,2,1164.0756484274066,0.07564842740657696,0.22361111111111112,7.789437419045805e-05,3.733274326968223e-07,1.938684295022775,0.012426277607529729,0.9999792220989661,-0.9999792220989661,0.9999155939090223,0.9999155939090223,-0.9999831289772203,0.9999315047817249,0.9999999984752002,0.9999999984752002,0.9999999998384342,0.9999999998384342,-1.0004436916749844,1.0008875722524917,0.0004435932729388478,0.0008871785931568485,-1.0000141661196218,0.005250884268700659,1.0000279517221136,0.6293497093890196,0.9999859437379794,0.010513596149399401,1.0000412108395984,0.629330957018675,7.633619197580151,15.891735551237574
522.25,3,1164.336517992624,0.3365179926240671,0.22361111111111112,6.560956941211802e-05,4.444087522429491e-07,2.0009843808381262,0.01047183499649473,0.9999813044059076,-0.9999813044059076,0.9999277507233193,0.9999277507233193,-0.9999838282745459,0.9999374045182652,0.9999999997250653,0.9999999997250653,0.9999999740741901,0.9999999740741901,-0.9990728637433849,0.9981628005962339,-0.000927566313268903,-0.0018388891244771595,-1.0000022476902124,0.005265845863054355,1.0000161121292648,0.6578972437067071,0.9999859992950622,0.010513658656999388,1.0000412670507652,0.6580195892647208,7.633887935554916,15.89185875943031
522.25,4,1164.5973875578413,0.5973875578413299,0.22361111111111112,6.191737543686447e-05,4.506732733934198e-07,1.966862984941713,0.009970323983548362,0.9999890490673622,-0.9999890490673622,0.9999529860708922,0.9999529860708922,-0.9999881130164378,0.9999490533709039,0.999999977659402,0.999999977659402,0.9999999939289739,0.9999999939289739,-0.9989346769352625,0.9978659007130312,-0.001065890924692327,-0.0021363797218794923,-1.000007336348744,0.0052469722256657915,1.0000211015117866,0.7390443740640424,0.9999859196167773,0.01051364277549765,1.0000411872099182,0.7390154746942057,7.633515696022631,15.892712319860275
522.25,5,1164.8582571230588,0.8582571230588201,0.22361111111111112,7.150604266175536e-05,4.220045547348926e-07,1.8656742452186046,0.011996461363413447,0.9999907580550924,-0.9999907580550924,0.9999633371706605,0.9999633371706605,-0.9999885685868132,0.9999546200742001,0.9999999987220632,0.9999999987220632,0.9999999963253,0.9999999963253,-0.9997199589979204,0.9994207770208278,-0.0002800802208830765,-0.0005793907936064807,-1.0000104219434378,0.005264825592408362,1.0000242808972244,0.7792069281991459,0.9999860022739497,0.010513607762005054,1.000041269494419,0.7791430720468181,7.633894147076293,15.891105528883545
522.25,6,1165.119126688276,0.11912668827608286,0.22361111111111112,8.298584444292714e-05,3.482237095762529e-07,1.7941550490558944,0.01191723621952323,0.9999905794406323,-0.9999905794406323,0.9999617177667546,0.9999617177667546,-0.9999887066460682,0.9999540625552938,0.999999998644239,0.999999998644239,0.9999999996697368,0.9999999996697368,-1.0006626492458803,1.0013345865582788,0.0006624297908112707,0.0013336967891992683,-0.9999999805246831,0.005252652821849573,1.000013775610633,0.7696635254575217,0.9999859383678841,0.010513684663311276,1.000041206400365,0.7697107815487336,7.633608781311041,15.89304569948255
522.25,7,1165.3799962534936,0.379996253493573,0.22361111111111112,8.61795647782513e-05,3.2802310841618916e-07,1.8286354366532764,0.01043886110140389,0.9999852971537543,-0.9999852971537543,0.9999404526208803,0.9999404526208803,-0.9999853235700679,0.9999404988820524,0.9999999959313813,0.9999999959313813,0.9999999662982573,0.9999999662982573,-1.0012227145788917,1.0024261017436038,0.0012219676721947625,0.0024231635101113545,-1.0000150440898774,0.005255938961075384,1.00002885623388,0.7104021130624427,0.9999859670654023,0.01051358599582862,1.000041234058986,0.7104337769629212,7.6337264942350815,15.89128041427547
522.25,8,1165.640865818711,0.6408658187110632,0.22361111111111112,7.877413210303476e-05,3.735352466965831e-07,1.9320270026973332,0.012136276873091949,0.9999786937856576,-0.9999786937856576,0.9999169650131575,0.9999169650131575,-0.9999826241416692,0.9999321194472703,0.9999999989485,0.9999999989485,0.9999999993550439,0.9999999993550439,-1.0005309450646573,1.0010911033032928,0.0005308041631982481,0.0010905084827180116,-0.9999992883239937,0.005262391614517428,1.00001313462074,0.6324667388031284,0.9999859812002873,0.010513680566603728,1.0000412491873312,0.6324742541488976,7.633807120499327,15.892408648965803
522.25,9,1165.9017353839283,0.901735383928326,0.22361111111111112,6.64126927445998e-05,4.284343799838632e-07,2.000601437507029,0.011522725399635421,0.9999803191673646,-0.9999803191673646,0.9999204808179472,0.9999204808179472,-0.9999831504554513,0.999932054235568,0.9999999962698347,0.9999999962698347,0.99999997933381,0.99999997933381,-0.9991477414575977,0.9982985467093982,-0.0008526219211903428,-0.0017029024062201322,-1.0000116012421705,0.005247900505467577,1.0000253712174731,0.6524545125641935,0.9999859279636932,0.010513614978636898,1.000041195264139,0.6523316961494853,7.633549001073819,15.892212138161394
