Q,anchor_index,phase_index,phase_in_P_line_units,support_rotation_offset,PC1,PC2,harmonic_PC1,harmonic_PC2,inferred_phase_radians,inferred_phase_speed,pointwise_generator_residual
522.25,0,0,0.0,0.0,0.0022697315443143116,-0.001070191245678661,0.0022569108314179037,-0.0010762481346139072,0.0,nan,0.28243230091727234
522.25,0,1,0.004166666666666667,0.000931712962962963,0.002289451899574865,-0.0010491722004100528,0.002276576477061986,-0.001055132159300899,0.013029695949297777,nan,0.02389521560731747
522.25,0,2,0.008333333333333333,0.001863425925925926,0.002309569173721096,-0.001028323600681979,0.0022958520430465717,-0.0010338353925242294,0.026057009562138238,13.974401641939751,0.03547158141583331
522.25,0,3,0.0125,0.002795138888888889,0.0023291184848414645,-0.0010072302863755045,0.00231473422660266,-0.0010123614833752502,0.03906995826819014,13.96698701980885,0.005138738848160795
522.25,0,4,0.016666666666666666,0.003726851851851852,0.0023464491555876196,-0.0009851771225672314,0.002333219792365304,-0.0009907141112977457,0.05208345528192093,13.974941210371107,0.03978303822277256
522.25,0,5,0.020833333333333332,0.004658564814814815,0.0023632954543145127,-0.0009629134067292321,0.0023513055729279747,-0.0009688969854574808,0.0651112260328863,13.983830800415884,0.026126258096016732
522.25,0,6,0.025,0.005590277777777778,0.002380523539302733,-0.0009408163230228492,0.0023689884693852787,-0.0009469138441066527,0.07814128813917738,13.986235463907665,0.005676573672740201
522.25,0,7,0.029166666666666667,0.0065219907407407405,0.0023976453381576966,-0.0009186751933200871,0.002386265451863939,-0.000924768453943363,0.09117353980243646,13.98729390604417,0.01128600992214482
522.25,0,8,0.03333333333333333,0.007453703703703704,0.00241489448402164,-0.0008965762022217611,0.0024031335600419508,-0.0009024646094662109,0.1042055742372458,13.981708405227302,0.02492787403281277
522.25,0,9,0.0375,0.008385416666666668,0.0024319189174099166,-0.0008744004583763953,0.0024195899036558144,-0.0008800061323241274,0.11722741773347345,13.971708927231338,0.01679671874344399
