Numberline_Q,Type,Step,E,Q,dt,||F||
100,Stiffness,98500,1.756e-15,1.000000000000e+02,1.455e-03,1.644e-05
150,Stiffness,73500,1.321e-14,1.500000000000e+02,1.220e-03,1.962e-05
200,Stiffness,60000,2.581e-14,2.000000000000e+02,1.203e-03,2.591e-05
250,Stiffness,51000,3.837e-14,2.500000000000e+02,7.889e-04,3.198e-05
300,Stiffness,44500,5.471e-14,3.000000000000e+02,8.273e-04,3.677e-05
350,Stiffness,39500,6.304e-14,3.500000000000e+02,1.341e-03,3.978e-05
400,Stiffness,35000,1.024e-13,4.000000000000e+02,1.009e-03,4.386e-05
450,Stiffness,31500,3.890e-14,4.500000000000e+02,9.098e-04,4.403e-05
500,Stiffness,28500,2.515e-14,5.000000000000e+02,1.270e-03,4.315e-05
550,Stiffness,26500,6.790e-15,5.500000000000e+02,8.533e-04,3.965e-05
600,Stiffness,25000,1.715e-13,6.000000000000e+02,7.951e-04,3.948e-05
650,Stiffness,25000,2.647e-14,6.500000000000e+02,7.951e-04,3.773e-05
700,Stiffness,25000,1.135e-13,7.000000000000e+02,1.104e-03,4.412e-05
750,Stiffness,25500,1.787e-13,7.500000000000e+02,1.231e-03,5.041e-05
800,Stiffness,26500,1.338e-13,8.000000000000e+02,1.024e-03,5.348e-05
850,Stiffness,27500,3.300e-13,8.500000000000e+02,6.134e-04,1.526e-04
900,Stiffness,28500,1.477e-13,9.000000000000e+02,1.058e-03,5.519e-05
950,Stiffness,29500,9.728e-14,9.500000000000e+02,1.056e-03,5.405e-05
1000,Stiffness,30500,1.542e-15,1.000000000000e+03,8.790e-04,5.177e-05
1050,Stiffness,31000,1.361e-13,1.050000000000e+03,1.176e-03,5.336e-05
1100,Stiffness,31500,2.333e-13,1.100000000000e+03,1.092e-03,5.445e-05
1150,Stiffness,32500,1.160e-14,1.150000000000e+03,1.090e-03,4.967e-05
1200,Stiffness,33000,7.207e-14,1.200000000000e+03,1.406e-03,4.965e-05
1250,Stiffness,33500,9.579e-14,1.250000000000e+03,1.306e-03,4.914e-05
1300,Stiffness,34000,8.749e-14,1.300000000000e+03,1.011e-03,4.846e-05
1350,Stiffness,34500,6.370e-14,1.350000000000e+03,7.823e-04,4.736e-05
1400,Stiffness,35000,8.344e-14,1.400000000000e+03,1.009e-03,4.638e-05
1450,Stiffness,35500,8.561e-14,1.450000000000e+03,1.085e-03,4.527e-05
1500,Stiffness,36000,4.978e-14,1.500000000000e+03,8.395e-04,4.380e-05
1550,Stiffness,36500,3.093e-14,1.550000000000e+03,9.357e-04,4.214e-05
1600,Stiffness,37000,2.391e-14,1.600000000000e+03,1.006e-03,4.085e-05
1650,Stiffness,37000,2.433e-13,1.650000000000e+03,1.448e-03,4.801e-05
1700,Stiffness,37500,1.854e-13,1.700000000000e+03,1.345e-03,4.155e-05
1750,Stiffness,38000,1.489e-13,1.750000000000e+03,1.205e-03,4.024e-05
1800,Stiffness,38500,1.178e-13,1.800000000000e+03,1.343e-03,3.839e-05
1850,Stiffness,39000,7.876e-14,1.850000000000e+03,1.247e-03,3.676e-05
1900,Stiffness,39500,3.615e-14,1.900000000000e+03,8.045e-04,3.529e-05
1950,Stiffness,40000,1.928e-14,1.950000000000e+03,7.472e-04,3.375e-05
2000,Stiffness,40500,1.401e-14,2.000000000000e+03,1.157e-03,3.241e-05
