eta_kappa,Q_touch_at_eta_phase_1,local_dlambda_dQ,fit_intercept,fit_R_squared,sign_bracket_Q_low,sign_bracket_Q_high,valid
0.0,536.2719075034081,0.00021963526973665506,-0.11778422505670157,0.9993905430452185,530.0,540.0,1
0.25,532.3327433216766,0.00021317115625079885,-0.11347798640404153,0.9950930818197159,530.0,540.0,1
0.5,528.5630751772328,0.0002315003809512832,-0.12236255326031115,0.9968616810654843,525.0,530.0,1
0.75,525.5793168586206,0.0002461090357371526,-0.1293498188754665,0.9778461369745899,524.0,525.0,1
1.0,521.5890599173302,0.0003289931236905312,-0.17159921410501014,0.9608347258317518,521.0,522.0,1
