Q,periods,discard_periods,open_lambda,open_expected,open_mismatch,open_validation_pass,full_lambda_eta_phase_1_eta_kappa_1,growth_reference_lambda,full_minus_growth_reference,critical_eta_phase_at_eta_kappa_1,phase_margin_at_eta_kappa_1,q550_anchor_mismatch
520.0,1200,150,-1.884832841721917,-1.8849555921538759,0.0001227504319589734,1,-0.00048518880066863106,-0.0005124289178079942,2.724011713936314e-05,nan,nan,nan
521.0,1200,150,-1.8848328417215807,-1.8849555921538759,0.00012275043229514893,1,-0.00027578889151111635,-0.00026103889596534435,-1.4749995545772004e-05,nan,nan,nan
522.0,1200,150,-1.8848328417210891,-1.8849555921538759,0.00012275043278675568,1,0.00020674874039912014,-9.648874122694463e-06,0.0002163976145218146,0.996044921875,0.003955078124999956,nan
522.25,1200,150,-1.8848328417209292,-1.8849555921538759,0.0001227504329466278,1,0.00019028370742037396,5.3198631337968e-05,0.00013708507608240595,0.996630859375,0.0033691406250000444,nan
522.5,1200,150,-1.8848328417207538,-1.8849555921538759,0.00012275043312204303,1,0.0001222130024189101,0.00011604613679863047,6.166865620279633e-06,0.997607421875,0.0023925781250000444,nan
523.0,1200,150,-1.8848328417203464,-1.8849555921538759,0.00012275043352949488,1,0.0003261440453339846,0.0002417411477199554,8.440289761402922e-05,0.9939941406249999,0.006005859375000089,nan
524.0,1200,150,-1.8848328417192404,-1.8849555921538759,0.00012275043463549906,1,0.000448112742248742,0.0004931311695626052,-4.5018427313863244e-05,0.9920410156249999,0.007958984375000089,nan
525.0,1200,150,-1.8848328417175635,-1.8849555921538759,0.00012275043631237992,1,0.0007920009959213836,0.0007445211914052551,4.747980451612853e-05,0.985400390625,0.014599609375000044,nan
530.0,1200,150,-1.8848328416793543,-1.8849555921538759,0.0001227504745215935,1,0.0020508880823652594,0.0020014713006185044,4.9416781746755047e-05,0.9625488281249999,0.03745117187500013,nan
540.0,554,69,-1.8848723754297128,-1.8849555921538759,8.321672416311543e-05,1,0.003981716583798918,0.004515371519045003,-0.0005336549352460852,0.918017578125,0.08198242187500004,nan
550.0,400,50,-1.884917550727838,-1.8849555921538759,3.8041426037915826e-05,1,0.006193993004937628,0.0070292717374715015,-0.0008352787325338739,0.882861328125,0.11713867187500004,1.2214318213627298e-05
