Q,periods,discard_periods,open_lambda,open_expected,open_mismatch,open_validation_pass,full_lambda_eta_phase_1_eta_kappa_1,growth_reference_lambda,full_minus_growth_reference,critical_eta_phase_at_eta_kappa_1,phase_margin_at_eta_kappa_1,q550_anchor_mismatch
521.25,900,112,-1.8847923284672294,-1.8849555921538759,0.00016326368664643098,1,-0.00015192411538789147,-0.00019819139050468185,4.626727511679039e-05,nan,nan,nan
521.5,900,112,-1.884792328467252,-1.8849555921538759,0.00016326368662378243,1,-0.00039317559740230623,-0.0001353438850440194,-0.00025783171235828687,nan,nan,nan
521.75,900,112,-1.8847923284672743,-1.8849555921538759,0.00016326368660157797,1,-5.031387191663848e-05,-7.249637958335693e-05,2.2182507666718443e-05,nan,nan,nan
522.0,900,112,-1.8847923284673007,-1.8849555921538759,0.00016326368657515467,1,-0.0002408842050074263,-9.648874122694463e-06,-0.00023123533088473185,nan,nan,nan
522.25,900,112,-1.8847923284673256,-1.8849555921538759,0.00016326368655028567,1,0.00010424886263966991,5.3198631337968e-05,5.105023130170191e-05,0.9979296875000001,0.0020703124999998934,nan
522.5,900,112,-1.8847923284673571,-1.8849555921538759,0.00016326368651875534,1,1.6439811952541917e-05,0.00011604613679863047,-9.960632484608855e-05,0.9997265625,0.00027343749999997335,nan
522.75,900,112,-1.884792328467385,-1.8849555921538759,0.00016326368649077772,1,0.0002937095038250871,0.00017889364225929293,0.00011481586156579415,0.9941015625,0.0058984374999999645,nan
