reset_steps,cell_index,cell_width,minimum_continuous_lower,first_bad_step,first_bad_fraction,maximum_reset_T_radius,maximum_reset_C_radius,maximum_local_T_tube_radius,maximum_local_C_tube_radius,maximum_short_H_radius,maximum_H_inverse_q,maximum_increment_relative_eps,maximum_local_rq,right_T_center_gap,right_C_center_gap,right_T_overlap_margin,right_C_overlap_margin,cell_pass
32,39,0.1527048611110331,-5.460168718932697,3,0.09375,1.4984630145318365,0.9599020457722828,2.0515128945868293,1.3116482236382623,0.03972925564508503,0.11659055243584526,0.0004879626877345837,0.1815480809856564,1.673871444676935e-08,7.934201164299392e-09,1.6547315422753262,1.0631512249278159,False
64,39,0.1527048611110331,-1.6368156968657424,10,0.15625,0.7847313498963372,0.4706325325196143,0.9080427693111035,0.5435102931562369,0.020391221864519703,0.06019127593258891,0.00012531863536418623,0.09074795139636901,2.1334065427455252e-09,3.0294310036750955e-09,0.8328355347300885,0.49383224671091547,False
128,39,0.1527048611110331,-0.6391841492963422,29,0.2265625,0.43998316471227655,0.23287693423778744,0.47248502492695016,0.2496203374084485,0.010326907238086054,0.03056937867215065,3.0664469331468955e-05,0.045369665336731764,5.555112099033777e-11,3.727637853848004e-11,0.46402756694965425,0.23836297086703043,False
