half_steps,cell_index,cell_width,minimum_continuous_lower,left_minimum_lower,right_minimum_lower,left_first_bad_step,right_first_bad_step,maximum_reset_T_radius,maximum_reset_C_radius,maximum_local_T_tube_radius,maximum_local_C_tube_radius,maximum_short_transport_radius,maximum_local_rq,maximum_inverse_q,midpoint_T_center_gap,midpoint_C_center_gap,midpoint_T_overlap_margin,midpoint_C_overlap_margin,cell_pass
512,0,0.15270486111114678,0.0007571830565680069,0.0007643941979962441,0.0007571830565680069,-1,-1,0.0611732212697981,0.0037213560522552256,0.0617031794041266,0.0037536802702493734,0.00040571268660698966,0.0056714860603491665,0.0008472141018180596,5.96849057236073e-13,2.673167651006171e-14,0.1219240876275576,0.007472906004009591,True
512,1,0.1527048611110331,0.0007393348937135158,0.0007503854482553278,0.0007393348937135158,-1,-1,0.06105509705203115,0.003718645817980281,0.06158292805509398,0.003750934289103348,0.0004054514783585684,0.005669404275866467,0.000846697699475966,2.9828054344998126e-13,5.049429518266989e-14,0.12175157428324775,0.007470522471935904,True
512,2,0.15270486111114678,0.0007490481503400879,0.0007722560917172264,0.0007490481503400879,-1,-1,0.061163239053703515,0.003722164350121248,0.06169621489127799,0.003754475723839261,0.0004059870505586635,0.005671348508377059,0.0008477944080171934,3.760745205467625e-13,2.1471319635263788e-14,0.12174499849041025,0.007478820483851323,True
512,3,0.15270486111114678,0.0007534096491675929,0.000767046767349547,0.0007534096491675929,-1,-1,0.06124237454836072,0.0037211666439437774,0.06177649811916581,0.0037534893026117764,0.0004056921997550584,0.00567149153076886,0.0008471712513472632,4.536496143351711e-13,3.186274975687712e-14,0.12192548133272425,0.007472696224071784,True
512,4,0.1527048611110331,0.0007384862833936522,0.0007474732979481194,0.0007384862833936522,-1,-1,0.061070913013791105,0.003718644328166636,0.061602786539162,0.0037509334236689017,0.00040544582176143797,0.00566996179028647,0.0008466859139102578,5.283615818349283e-13,2.8979671140717484e-14,0.12183693142430636,0.007470582161652288,True
512,5,0.15270486111114678,0.0007526533265337659,0.0007718011152720322,0.0007526533265337659,-1,-1,0.061095549335078075,0.0037223409762976783,0.0616279060902884,0.003754653083103899,0.0004059831400253405,0.005671372021401586,0.0008477856341225545,4.4917560446210615e-13,2.1642162290358295e-14,0.1216934511522107,0.007478949252139867,True
512,6,0.15270486111114678,0.0007513716159749522,0.0007697563166999282,0.0007513716159749522,-1,-1,0.06127733186851786,0.003720942370747388,0.06181179193221919,0.003753262927685631,0.00040566762940285375,0.005671546441077446,0.0008471199055523971,4.908054369088476e-13,1.9334193414354893e-14,0.12189245423346709,0.007472413210869147,True
512,7,0.1527048611110331,0.0007356540375236183,0.0007461005308837218,0.0007356540375236183,-1,-1,0.06113808955356089,0.0037186199180126,0.06167058560044427,0.00375090926910768,0.000405447639673062,0.00567045577438958,0.0008466897039573367,5.772344095621953e-13,3.013974156232082e-14,0.12193924004002195,0.007470573874059506,True
512,8,0.15270486111114678,0.0007562594979035659,0.0007691883177588093,0.0007562594979035659,-1,-1,0.06102782276383809,0.003722496051278841,0.061559555596129134,0.003754807916926364,0.00040597791717134925,0.005671385925972588,0.0008477741333809719,4.758244440707888e-13,3.790359372247363e-14,0.12169315675163697,0.007479047119812322,True
512,9,0.15270486111114678,0.0007536526182704161,0.0007722963597390479,0.0007536526182704161,-1,-1,0.06120969510091896,0.0037207888963774805,0.061743632683156795,0.0037531082625069357,0.0004056507037722803,0.005671557475006569,0.0008470845557816719,4.220550795704336e-13,4.5978336908383594e-14,0.12175673948380532,0.007472222284991938,True
512,10,0.15270486111114678,0.0007327339899966446,0.0007490365124141212,0.0007327339899966446,-1,-1,0.061205560717627804,0.003718641598937857,0.061738682095238244,0.0037509335285112926,0.0004054553160210932,0.005670207394268731,0.0008467056943548447,4.0216335931273345e-13,1.5259335356807984e-14,0.12193909273390595,0.007470663124500727,True
512,11,0.1527048611110331,0.0007546458852884639,0.0007664552848371825,0.0007546458852884639,-1,-1,0.061079714857225055,0.0037226911609622108,0.06161182110891784,0.0037550044442940405,0.0004059774592859126,0.005671436071483886,0.0008477725984459752,3.5121763968945716e-13,2.749016176737115e-14,0.12181297305162063,0.007479229393854692,True
512,12,0.15270486111114678,0.0007558234476910344,0.0007696656400268674,0.0007558234476910344,-1,-1,0.06114188579339653,0.003720661728307041,0.06167529794319854,0.0037529800127937252,0.00040563685381856155,0.0056715890302003295,0.0008470556608757124,3.745816168244439e-13,3.7758125413422145e-14,0.1217406564864487,0.007472107393897644,True
512,13,0.15270486111114678,0.0007326365026320228,0.0007519510365558249,0.0007326365026320228,-1,-1,0.06120488055977948,0.003718697995938748,0.06173805619490289,0.0037509914101608232,0.00040546931087691735,0.005670665971634892,0.0008467348462688501,5.269505396506491e-13,3.3954921618599605e-14,0.12187045958480615,0.007470846824990741,True
