cell_index,side,step_index,physical_left,physical_right,direction,h,rb0,rb1,rb2,rq,fT_center_norm,fC_center_norm,T_tube_radius,C_tube_radius,T_endpoint_radius,C_endpoint_radius,active_center_separation,active_product_radius,active_lower,picard_iterations_used,step_pass
39,left,0,663.2746766493331,663.274974901015,1,0.00029825168189745455,0.03535183082982458,0.03535119271009226,0.03535130616917479,0.0003544212565518931,0.048790675366593005,0.00039313501778753953,0.016562081079239614,1.7207599505298666e-06,0.016547529203284374,1.6035152713384818e-06,0.011077842947355922,0.0006421884532316493,0.010435654494124272,7.0,True
39,left,1,663.274974901015,663.2752731526967,1,0.0002982516817837677,0.04539201898750168,0.04539129418830842,0.04539140300682476,0.0003545080020043332,0.04881495094614088,0.00039316272802166196,0.01689859471481982,2.9190385979491903e-06,0.01688403559863772,2.8017856541786374e-06,0.011077810685287643,0.0006576515011890197,0.010420159184098622,7.0,True
39,left,2,663.2752731526967,663.2755714043786,1,0.00029825168189745455,0.045392151347496044,0.04539145341619975,0.045391524149710344,0.00035450371145464107,0.048839535025238384,0.00039323566460102067,0.01724079449502111,4.1375793267346534e-06,0.01722622804659054,4.0203046294620065e-06,0.011077778337218035,0.0006733766978046283,0.010404401639413405,7.0,True
39,left,3,663.2755714043786,663.2758696560605,1,0.00029825168189745455,0.04539226928187889,0.045391598309714155,0.04539167441852079,0.00035443690731517673,0.04886431604436927,0.0003932876866147625,0.017588776443735563,5.376685647318576e-06,0.017574202604324376,5.259395434392902e-06,0.01107774589301268,0.0006893684181702034,0.010388377474842473,7.0,True
39,left,4,663.2758696560605,663.2761679077423,1,0.0002982516817837677,0.03985307440222002,0.03985236956337365,0.039852554828464455,0.0003547749620450422,0.048889184310590146,0.00039325177808595803,0.01793566187848162,6.507225110633675e-06,0.017921080622073787,6.389945607531886e-06,0.011077713365718772,0.0007050933125140374,0.010372620053204733,7.0,True
39,left,5,663.2761679077423,663.2764661594242,1,0.00029825168189745455,0.045391577050484806,0.04539133779407693,0.04539218957428977,0.00035504538849179414,0.04891404154155868,0.000393070612105862,0.018295384009992657,7.786486351765869e-06,0.01828079533986834,7.669260881677706e-06,0.011077680791527785,0.0007216229097488571,0.010356057881778926,7.0,True
39,left,6,663.2764661594242,663.2767644111061,1,0.00029825168189745455,0.04539171207901963,0.045391441604835915,0.04539248411201853,0.0003550319027769788,0.04893892564779854,0.0003928145870067861,0.01866118431010179,9.08734016486001e-06,0.01864658821825095,8.97019105468832e-06,0.011077648226224193,0.0007384327106089594,0.010339215515615232,7.0,True
39,left,7,663.2767644111061,663.2770626627879,1,0.0002982516817837677,0.04539184630458789,0.0453915717923865,0.04539269787758604,0.00035469840117751745,0.04896397164203103,0.00039264339722327616,0.0190331655357094,1.041010212754017e-05,0.01901856197385425,1.0293004075054043e-05,0.011077615697017868,0.0007555273816372848,0.010322088315380581,7.0,True
39,left,8,663.2770626627879,663.2773609144698,1,0.00029825168189745455,0.04539197922283021,0.045391741279773655,0.04539302094653566,0.0003552863820712254,0.0489893147175492,0.00039271737813017556,0.019411432188286244,1.175547225577351e-05,0.019396821067810644,1.1638352138312902e-05,0.011077583167618556,0.0007729124573627641,0.01030467071025579,7.0,True
39,left,9,663.2773609144698,663.2776591661516,1,0.0002982516817837677,0.0242779120133436,0.02427846032318731,0.024278902587557813,0.00035659987118559597,0.049015087844343254,0.0003932062181462288,0.019769475740893935,1.2630102572566336e-05,0.019754856933545513,1.2512836657793532e-05,0.011077550537557204,0.0007885402697373133,0.010289010267819889,7.0,True
39,left,10,663.2776591661516,663.2779574178335,1,0.00029825168189745455,0.045390149424107094,0.04539230099519382,0.04539092972136145,0.00035762085491159855,0.04904133563009129,0.00039424406990202354,0.02016018287581863,1.4013964934731257e-05,0.020145556240018413,1.3896389478882096e-05,0.01107751764229405,0.0008064870745571878,0.01027103056773686,7.0,True
39,left,11,663.2779574178335,663.2782556695154,1,0.00029825168189745455,0.0453903227316109,0.04539256401726324,0.045391322672714514,0.0003580119377103966,0.049067718725315235,0.00039570211728703734,0.02055749187588474,1.5421463125506325e-05,0.02054285737128202,1.530345280457237e-05,0.011077484277814617,0.0008247387750705575,0.010252745502744057,7.0,True
39,left,12,663.2782556695154,663.2785539211972,1,0.0002982516817837677,0.04539052922503741,0.04539278898361296,0.04539180476622466,0.00035796924228950164,0.0490937967722765,0.0003973428965080446,0.020961514153148494,1.6852793525250128e-05,0.020946871870730008,1.673429383919913e-05,0.011077450309409308,0.0008433001341730562,0.01023415017523625,7.0,True
39,left,13,663.2785539211972,663.278852172879,1,0.00029825168189745455,0.045390769334263316,0.045393241761718044,0.04539237703211959,0.0003574115663369948,0.04911913597856929,0.0003988763764845146,0.021372363172683963,1.8308118386327314e-05,0.021357713332799018,1.8189161337249077e-05,0.011077415701721417,0.0008621759247244282,0.010215239776996987,7.0,True
39,left,14,663.278852172879,663.279150424561,1,0.00029825168189745455,0.03669741932684401,0.03669833750510314,0.03669691909575538,0.0003562325784828548,0.04914331390086396,0.0003999673113990523,0.02177918378108215,1.9584063593091592e-05,0.021764526730091237,1.9464781170840327e-05,0.011077380518592115,0.0008805243831339225,0.01019685613545819,7.0,True
39,left,15,663.279150424561,663.2794486762427,1,0.0002982516817837677,0.04538977887120277,0.04539105459057954,0.045389408850698,0.0003549671140055726,0.04916623092303374,0.0004004428076886806,0.022203845755530395,2.1084414219749223e-05,0.022189181869504686,2.0964989979975436e-05,0.011077344922092133,0.0009000291006312269,0.010177315821460904,7.0,True
39,left,16,663.2794486762427,663.2797469279246,1,0.00029825168189745455,0.04538993177475003,0.04539147805833055,0.045389736614618245,0.0003548200985967696,0.04918831213550211,0.000400451365360449,0.02263568310953909,2.2609937783525378e-05,0.022621012637749054,2.2490510991366137e-05,0.011077309114699306,0.0009198643307967857,0.01015744478390252,7.0,True
39,left,17,663.2797469279246,663.2800451796065,1,0.00029825168189745455,0.04539006927043995,0.04539199100662931,0.045390037933918694,0.0003550474357443951,0.049210025400159,0.00040019075219648373,0.023074817271002006,2.4161233876373473e-05,0.02306014032319429,2.404188481252878e-05,0.011077273243708895,0.0009400360722765211,0.010137237171432372,7.0,True
39,left,18,663.2800451796065,663.2803434312883,1,0.0002982516817837677,0.03850307724235815,0.038504734392585546,0.03850304957704008,0.00035500660805441817,0.04923183134831449,0.0003998636881934928,0.023512674050885647,2.557751666394614e-05,0.02349799059942283,2.5458265147535952e-05,0.011077237392337526,0.0009598788242872304,0.010117358568050292,7.0,True
39,left,19,663.2803434312883,663.2806416829702,1,0.00029825168189745455,0.04538978897825901,0.0453891793892965,0.045389493352612484,0.0003546529657595174,0.04925415708714045,0.00039965824834993757,0.023966624464985074,2.7178811698278903e-05,0.023951934354827526,2.7059621454602198e-05,0.011077201579823141,0.000980729078147338,0.010096472501675802,7.0,True
39,left,20,663.2806416829702,663.2809399346521,1,0.00029825168189745455,0.04538988369231417,0.045389524317877905,0.04538957078199708,0.0003544143723279259,0.04927710360925869,0.00039961237958935976,0.024428245487598605,2.8807143671078148e-05,0.024413548533602263,2.8687967107836497e-05,0.011077165765515562,0.0010019331071299483,0.010075232658385612,7.0,True
39,left,21,663.2809399346521,663.2812381863339,1,0.0002982516817837677,0.04539000654829838,0.045389843007442275,0.04538966425082287,0.0003544982295430668,0.049300556292984764,0.0003996655725246484,0.024897666691905844,3.0463048737807474e-05,0.024882962743112764,3.0343856309728916e-05,0.011077129897833382,0.0010234971038284974,0.010053632794004883,7.0,True
39,left,22,663.2812381863339,663.2815364380158,1,0.00029825168189745455,0.04539017366539134,0.045390135216836165,0.0453897738463122,0.0003544857297080687,0.049324398324232556,0.0003997554273945018,0.025375019850391114,3.214694451959721e-05,0.02536030879066653,3.2027725292107227e-05,0.011077093947085302,0.0010454271018281054,0.010031666845257196,7.0,True
