residual_subdivisions,tail_absolute_radius,tail_relative_eps,tail_inverse_relative_eps,tail_inverse_center_round_radius,tail_inverse_center_banach_q,oriented_head_absolute_radius,two_line_head_absolute_radius,oriented_head_relative_eps,two_line_head_relative_eps,oriented_seed_relative_eps,two_line_seed_relative_eps,oriented_pre_tail_row_radius,two_line_pre_tail_row_radius,difference_pre_tail_row_radius,shared_tail_inverse_radius,active_difference_radius,propagated_center_separation,archived_center_separation,center_relative_discrepancy,endpoint_separation_lower,endpoint_pass
16,0.011719866290896372,0.0027426189671351437,0.002750161612536375,2.478196989630315e-13,4.3233173481164276e-14,0.011719919242250586,0.011719968974259698,0.0027426325508988366,0.002742640785526381,0.0013087224035690968,0.0013163628994302065,0.010970673434118845,0.010971610536175727,0.021942283970294577,0.00816435633964996,0.040120149426166915,0.0110743069062681,0.011074306906406373,3.2564858356037017e-10,-0.029045842519898817,False
32,0.005862205776962881,0.0013718413123566388,0.0013737258462243425,2.478196989630315e-13,4.3233173481164276e-14,0.005862232162238046,0.0058622571202124165,0.0013718480833143222,0.0013718522214904222,0.0013087224035690968,0.0013163628994302065,0.006789085559131418,0.006797279409289544,0.013586364968420963,0.004078155723932199,0.024764798487707403,0.0110743069062681,0.011074306906406373,3.2564858356037017e-10,-0.013690491581439306,False
64,0.002931764829249309,0.0006860755599340467,0.0006865465827652386,2.478196989630315e-13,4.3233173481164276e-14,0.0029317780057824677,0.002931790527945814,0.0006860789417115635,0.0006860810207112351,0.0013087224035690968,0.0013163628994302065,0.004697141861651616,0.0047089660512423135,0.009406107912893931,0.0020381387480739037,0.017108659941834862,0.0110743069062681,0.011074306906406373,3.2564858356037017e-10,-0.006034353035566763,False
