reset_steps,cell_index,step_index,physical_left,physical_right,reset_T_radius,reset_C_radius,local_T_tube_radius,local_C_tube_radius,active_center_separation,active_product_radius,active_lower,local_rq,H0_radius,H1_radius,H2_radius,inverse_q_H0,inverse_q_H1,step_pass
32,39,1,663.2746766493331,663.2794486762427,0.016229040558237783,6.561193739243007e-07,0.028170356374339876,0.0012927640460658803,0.011077842947355922,0.0037835468353702812,0.00729429611198564,0.1815480809856564,0.0,0.0,0.0,5e-324,5e-324,True
32,39,2,663.2794486762427,663.2842207031525,0.019915237362424596,0.0010963887027768463,0.03320290396085371,0.002788332645655565,0.011077314587275428,0.007112214126255136,0.003965100461020291,0.18151816654177513,0.0004917615437534226,0.0004917663059118256,0.0004917694576252576,0.000518364934572223,0.0005183699505437985,True
32,39,3,663.2842207031525,663.2889927300622,0.024299572226685023,0.0025308610026577084,0.039190707894354956,0.004746500238532496,0.011076734117102782,0.011467323092911373,-0.000390588975808591,0.1815122577800584,0.0010280810716643042,0.0010280601535857061,0.001028067208243296,0.0011421138183307844,0.001142090562620009,False
32,39,4,663.2889927300622,663.293764756972,0.029289904183264024,0.004280778962405586,0.046004217626774,0.007135395845595028,0.011076109478976153,0.016789866229302494,-0.005713756750326342,0.1815308995660029,0.0015726492011900435,0.0015726295275041429,0.0015726185109969262,0.0018405853331891436,0.0018405622640857502,False
32,39,5,663.293764756972,663.2985367838817,0.03528731536977376,0.006584240929846971,0.05419343662921768,0.010279604217026084,0.01107544134113521,0.02380705163341778,-0.01273161029228257,0.18149954832853785,0.0021856877885512134,0.002185708752649901,0.002185651994404149,0.0026935130938159466,0.0026935388413477502,False
32,39,6,663.2985367838817,663.3033088107913,0.04212225405013162,0.009391405861735628,0.06352483264024011,0.014111486887399008,0.011074746102181005,0.03239467270080503,-0.021319926598624032,0.18148153029277336,0.0028160945243228945,0.0028161291883879143,0.0028160555578922884,0.003651549058315523,0.003651593859271164,False
32,39,7,663.3033088107913,663.3080808377011,0.05019556505774494,0.01296534091711829,0.07454792471231898,0.018990209162770933,0.011074014899457387,0.04338277900445257,-0.03230876410499519,0.1814798861678152,0.0035120568772823834,0.003512073881207761,0.0035120115949897886,0.004787560836826159,0.004787583787083442,False
32,39,8,663.3080808377011,663.3128528646108,0.059632130088306486,0.017376431879268343,0.08743120311735757,0.025011733410210093,0.01107325223323981,0.05704753502035793,-0.045974282787118126,0.1814829771455518,0.004254180060126014,0.004254191864090684,0.004254127524008863,0.006090493778882394,0.006090510341352875,False
32,39,9,663.3128528646108,663.3176248915205,0.07102004997267003,0.022770251306233155,0.10297816819124601,0.03237466498806407,0.011072460526425219,0.07395302786573092,-0.06288056733930572,0.18146635397762767,0.005043016747304905,0.005043033792867633,0.005042955209093579,0.007573818021889012,0.007573843148975697,False
32,39,10,663.3176248915205,663.3223969184303,0.08436830851196915,0.029310579630390986,0.12120164196226656,0.04130264157739314,0.011071651086254587,0.09470938180069435,-0.08363773071443978,0.18143997732883915,0.005879753739861661,0.0058797928375021544,0.005879695444012078,0.009251761775629603,0.0092518226588789,False
