q,sample_index,start_s,active_determinant,active_sigma_min,without_z_determinant,without_z_sigma_min,planar_failure_ratio,mediation_margin_tau,oriented_vs_two_line_separation,active_derivative_frobenius,without_z_derivative_frobenius,planar_derivative_frobenius,two_line_derivative_frobenius,composition_relative_residual,line_matrix_convergence,second_matrix_convergence,oriented_matrix_convergence,two_line_matrix_convergence,composed_matrix_convergence
550.0,0,657.3191870659997,-0.2865799124803729,0.32143529251594416,0.05364258123068344,0.06084134052678885,1.0148504078738183,0.06146114322262697,0.012570856856389132,0.007989357468058877,0.007898272433255174,0.00022943793156082553,0.007988319014890102,7.046421594553763e-14,3.028142044281848e-09,2.985807778810136e-09,4.898833231272203e-09,4.9110019723154485e-09,4.898881131528409e-09
550.0,1,657.4718919271108,-0.2865801876417688,0.3214477322486996,0.053657107493909284,0.060859311573126275,1.0148513201540805,0.06146022875612411,0.012553299922585576,0.00840449847083458,0.008187424432362088,0.00037121926564967023,0.008562281700158996,8.646562232512534e-14,3.0319942206120853e-09,2.9911525937366847e-09,4.881679841192718e-09,4.921922507739413e-09,4.883028228401466e-09
550.0,2,657.6245967882219,-0.28626445655588006,0.32143702618878445,0.05363135295455758,0.06089441628272529,1.014881713920253,0.06143066129593233,0.012554526762611597,0.0007854504645035577,0.0006230078199100442,0.0001702740190916014,0.0009152244194409185,5.3379546691853255e-14,3.0285972369905364e-09,2.9888313169011577e-09,4.896241615228045e-09,4.920478975741376e-09,4.896675128105733e-09
550.0,3,657.777301649333,-0.28658880714542156,0.32143557049933424,0.053643278491163994,0.060840318058092785,1.014849561379895,0.06146198818188631,0.01257085731229967,0.007767141923980542,0.007684692878057243,0.00021670869121675327,0.007760719005448839,5.756631654121183e-14,3.0303421036476634e-09,2.989654382067781e-09,4.892268527391739e-09,4.920430500210242e-09,4.892664137948045e-09
550.0,4,657.9300065104442,-0.2865716512445173,0.3214477934473818,0.05365682099671678,0.060860768329368785,1.0148521604731273,0.061459396001642186,0.012552837789413449,0.008621117597166708,0.008404956541190858,0.0003730374184307108,0.00877349630195341,7.656112221056965e-14,3.025867600799971e-09,2.987064939343754e-09,4.897469283970157e-09,4.908867594562649e-09,4.8962350520785065e-09
550.0,5,658.0827113715552,-0.2862643211049679,0.32143668497707467,0.05363094881312825,0.06089394303328901,1.0148816993332321,0.061430671946138715,0.012555005153394956,0.001177076901613583,0.0010117672401207172,0.0001853933316711852,0.0013268914816450344,8.549166415519927e-14,3.0281140283397118e-09,2.9892124451891455e-09,4.9010046020588204e-09,4.911646451444245e-09,4.9005183316840266e-09
550.0,6,658.2354162326664,-0.2865974991293907,0.32143586012639025,0.05364398094839246,0.06083934514219859,1.014848736228148,0.061462813147335815,0.012570828453815965,0.00752718693570691,0.0074534472109050905,0.00020389912021281733,0.007505936499040453,7.709389800069864e-14,3.0267026622984878e-09,2.9849485013746014e-09,4.900355402641144e-09,4.909026304084655e-09,4.899817283858904e-09
550.0,7,658.3881210937775,-0.2865628511023456,0.3214478373633868,0.05365650347551665,0.06086224266956653,1.0148530260803272,0.06145853966317716,0.01255238711647014,0.008818675232978185,0.008604467550001266,0.0003744590720457945,0.008968066997972372,7.942851195894008e-14,3.032176464076984e-09,2.9905386484276408e-09,4.885655864897327e-09,4.916056834355226e-09,4.886629212077971e-09
550.0,8,658.5408259548885,-0.2862646616155303,0.3214363495544364,0.05363057133993631,0.06089340170689358,1.0148816374861982,0.06143072736529254,0.012555495029769832,0.001598043974969679,0.0014298366639990655,0.00019999310214941749,0.0017595841951932253,6.077936546678971e-14,3.028611228891354e-09,2.9886469214968267e-09,4.894486016737813e-09,4.9231137235327585e-09,4.895209882561003e-09
550.0,9,658.6935308159997,-0.28660596595526144,0.3214361610563805,0.0536446869438487,0.060838424461223284,1.0148479340718668,0.061463615472905686,0.012570771773937952,0.007263814917930918,0.0072001903914323305,0.00019012618009656645,0.0072356502692331815,8.079519068441182e-14,3.0313654858566093e-09,2.989838035238187e-09,4.8912333170762956e-09,4.920054796615025e-09,4.8921231180877504e-09
