residual_subdivisions,start_index,start,body_relative_eps,body_absolute_radius,edge_relative_eps,edge_absolute_radius,edge_factor_rows_norm,body_through_edge_term,edge_on_body_term,cross_term,active_difference_radius,propagated_center_separation,archived_center_separation,center_relative_discrepancy,endpoint_separation_lower,endpoint_pass
8,0,657.3191870659997,0.032062121961914346,0.06598639590644058,2.601716235984393e-06,2.628170916042707e-06,0.025266328804014193,0.0016672339755639841,5.4089846823548165e-06,1.734235265757867e-07,0.001672816383772915,0.011079877586870377,0.011079877586754636,3.2320118934212114e-10,0.00940706120309746,True
8,1,657.4718919271108,0.0317589884286008,0.06539978713128888,2.592739728489697e-06,2.6191046888961847e-06,0.02526642137080098,0.0016524185792198326,5.39339877003499e-06,1.712888891283711e-07,0.0016579832668789961,0.011060328032610483,0.011060328032550906,3.2320468700111044e-10,0.009402344765731485,True
8,2,657.6245967882219,0.03169338036606282,0.06525164697496036,2.590551879018531e-06,2.616892219926981e-06,0.025265876897152702,0.0016486400798058152,5.387766320093811e-06,1.7075652730619572e-07,0.0016541986026532155,0.011061025766189536,0.011061025766175162,3.2298666967320327e-10,0.009406827163536318,True
8,3,657.777301649333,0.03202177622210371,0.06590365200023376,2.598526070708548e-06,2.624948375968577e-06,0.025266344044009417,0.001665144345194576,5.402376279458205e-06,1.729936842884119e-07,0.0016707197151583227,0.011079897154648913,0.01107989715415959,3.2658874044037413e-10,0.00940917743949059,True
8,4,657.9300065104442,0.03179951046531663,0.06548393085846341,2.5958453882751986e-06,2.6222419076137073e-06,0.02526640914246719,0.0016545437893269695,5.399916704995459e-06,1.7171470777234123e-07,0.0016601154207397375,0.011059795506676257,0.011059795506733975,3.240015834648868e-10,0.009399680085936517,True
8,5,658.0827113715552,0.031652455056017006,0.06516638554944651,2.5913360895919617e-06,2.6176843623771628e-06,0.025265874117519196,0.0016464856939860377,5.389314291846683e-06,1.7058502840542728e-07,0.00165204559330629,0.0110615583572339,0.011061558357151738,3.233294627114522e-10,0.009409512763927609,True
8,6,658.2354162326664,0.03198139288391485,0.06582087813199923,2.5950802516796126e-06,2.621467583419938e-06,0.025266358986497442,0.0016630539356895918,5.395240256156995e-06,1.725472983352703e-07,0.0016686217232440843,0.011079883305663795,0.011079883305643756,3.227403810121524e-10,0.009411261582419709,True
8,7,658.3881210937775,0.03184004002849038,0.06556805612505259,2.5974082592334464e-06,2.6238206465701492e-06,0.02526639646143872,0.0016566685012614445,5.403222460224405e-06,1.7203881941638335e-07,0.0016622437625410855,0.011059275002929176,0.011059275002832854,3.2335301340813596e-10,0.00939703124038809,True
8,8,658.5408259548885,0.03161147473043732,0.06508100222607112,2.594771874629291e-06,2.6211550417621855e-06,0.025265871930409148,0.0016443282673465859,5.396375795892594e-06,1.7058739710780236e-07,0.0016498952305395865,0.01106210475890064,0.011062104758727058,3.238781650185148e-10,0.009412209528361052,True
8,9,658.6935308159997,0.031940969405933294,0.06573806837593954,2.591698014611437e-06,2.6180510199613454e-06,0.025266373626754428,0.0016609625970876183,5.38824024952565e-06,1.721056169619172e-07,0.001666522942954106,0.011079837802903737,0.011079837802923959,3.2274107407400273e-10,0.00941331485994963,True
8,10,658.8462356771108,0.03188059098980521,0.06565218968132434,2.594142330028021e-06,2.62052148033238e-06,0.025266383406868227,0.001658793395988779,5.3964800510060254e-06,1.720429732907663e-07,0.0016643619190130762,0.01105876630788592,0.01105876630779477,3.233085046401198e-10,0.00939440438887284,True
8,11,658.998940538222,0.03157050061416246,0.06499562515333782,2.5982084321951505e-06,2.6246265053076976e-06,0.025265870940400306,0.0016421710768148693,5.403437930596772e-06,1.7058924050649414e-07,0.0016477451039859728,0.01106266978557337,0.011062669785532974,3.229176304240749e-10,0.009414924681587394,True
8,12,659.151645399333,0.0319004921237678,0.0656551938109506,2.594033454738103e-06,2.6204102728915203e-06,0.025266388093345093,0.001658869607171267,5.393131355572908e-06,1.7204354433089873e-07,0.0016644347820711709,0.011079768345294533,0.011079768345212298,3.2277137854676977e-10,0.00941533356322336,True
8,13,659.3043502604442,0.031921143647338605,0.06573628923709475,2.590814825816564e-06,2.6171601093328134e-06,0.025266369790530166,0.0016609173925216842,5.389606206707202e-06,1.7204239392688838e-07,0.0016664790411223184,0.011058275773366936,0.01105827577329203,3.2319116514658573e-10,0.009391796732244615,True
8,14,659.4570551215553,0.03157015115731387,0.0649938785208775,2.5982455754452105e-06,2.624663991680925e-06,0.025265870507455483,0.0016421269184857834,5.4034297074916434e-06,1.705870926334315e-07,0.0016477009352859086,0.011063245867051227,0.01106324586700598,3.22910778566843e-10,0.009415544931765317,True
8,15,659.6097599826663,0.03185998455192694,0.06557230207442172,2.5971075773732048e-06,2.6235157200197268e-06,0.025266402266648006,0.0016567761617624968,5.399562106181964e-06,1.7202996529012754e-07,0.0016623477538339692,0.011079670825517739,0.011079670825571904,3.226128181157242e-10,0.009417323071683768,True
8,16,659.7624648437775,0.03196168895302771,0.06582033442036885,2.5882391977799257e-06,2.6145582568646433e-06,0.025266355682262844,0.0016630399805905272,5.3842930228524545e-06,1.7209109882836748e-07,0.0016685963647122084,0.011057803572547145,0.011057803572376642,3.2365206440130643e-10,0.009389207207834935,True
