transport,residual_subdivisions,radius,accumulated_relative_defect,maximum_microbox_width,maximum_relative_defect_rate,archived_relative_discrepancy,reused_prior_result
oriented,4,0.2348050420769874,0.06238395589377324,0.013094447274002396,0.26593695412640167,2.3222072282613699e-10,True
oriented,8,0.11536838003566802,0.031137959203823447,0.0065472253198739835,0.1319592048149034,2.3222072282613699e-10,False
oriented,16,0.05776801864446404,0.01571279455575881,0.0032736138083238,0.06572999892155028,2.3222072282613699e-10,False
oriented,32,0.02873091927796685,0.007845618229492455,0.0016368070715236062,0.03280293611179163,2.3222072282613699e-10,False
