residual_subdivisions,tail_absolute_radius,tail_relative_eps,tail_inverse_relative_eps,tail_inverse_center_banach_q,head_absolute_radius,head_relative_eps,edge_cap_absolute_radius,edge_cap_relative_eps,edge_factor_rows_norm,edge_absolute_radius,seed_relative_eps,body_absolute_radius,edge_times_body_row_radius,shared_tail_inverse_radius,active_difference_radius,propagated_center_separation,archived_center_separation,center_relative_discrepancy,endpoint_separation_lower,endpoint_pass
16,0.011719866290896372,0.0027426189671351437,0.002750161612536375,4.3233173481164276e-14,0.011719919242250586,0.0027426325508988366,1.3648228915939263e-06,1.3005552579789478e-06,0.025265989578985088,1.3137789651660386e-06,0.0013087224035690968,0.015935498232747567,0.00040642487326622307,0.00816435633964996,0.000919753746830976,0.011074306906300454,0.011074306906406373,3.234831604528647e-10,0.010154553159469476,True
32,0.005862205776962881,0.0013718413123566388,0.0013737258462243425,4.3233173481164276e-14,0.005862232162238046,0.0013718480833143222,6.823721556840719e-07,6.502401889939828e-07,0.025265989578985088,6.568516619074037e-07,0.0013087224035690968,0.009851741856140822,0.00025080927208044417,0.004078155723932199,0.0005454009343779057,0.011074306906300454,0.011074306906406373,3.234831604528647e-10,0.010528905971922546,True
64,0.002931764829249309,0.0006860755599340467,0.0006865465827652386,4.3233173481164276e-14,0.0029317780057824677,0.0006860789417115635,3.4117643933517347e-07,3.251109098541662e-07,0.025265989578985088,3.2841655292382015e-07,0.0013087224035690968,0.006808190891883419,0.0001729622863071021,0.0020381387480739037,0.0003586988473343651,0.011074306906300454,0.011074306906406373,3.234831604528647e-10,0.010715608058966087,True
