residual_subdivisions,tail_short_radius,oriented_head_short_radius,two_line_head_short_radius,oriented_propagated_radius,two_line_propagated_radius,propagated_center_separation,archived_center_separation,endpoint_separation_lower,endpoint_pass,oriented_archived_relative_discrepancy,two_line_archived_relative_discrepancy,tail_inverse_eta,tail_inverse_radius,seed_oriented_radius,seed_two_line_radius
16,0.011719866290896372,0.011719919242250586,0.011719968974259698,2.1181428371029734,2.118355388887841,0.01107430690626819,0.011074306906406373,-4.225423919084546,False,2.3249754557271131e-10,2.3369453325284647e-10,0.06718021144948584,0.41282151702497305,0.004773809884552815,0.004834314927545984
32,0.005862205776962881,0.005862232162238046,0.0058622571202124165,1.0831473889774434,1.084016591939472,0.01107430690626819,0.011074306906406373,-2.156089674010647,False,2.3249754557271131e-10,2.3369453325284647e-10,0.033603132824362864,0.19931636798686667,0.004773809884552815,0.004834314927545984
64,0.002931764829249309,0.0029317780057824677,0.002931790527945814,0.5918941092349216,0.5930749861534296,0.01107430690626819,0.011074306906406373,-1.173894788482083,False,2.3249754557271131e-10,2.3369453325284647e-10,0.016805360766114205,0.09797765652891381,0.004773809884552815,0.004834314927545984
