half_steps,cell_index,cell_width,minimum_continuous_lower,left_minimum_lower,right_minimum_lower,left_first_bad_step,right_first_bad_step,maximum_reset_T_radius,maximum_reset_C_radius,maximum_local_T_tube_radius,maximum_local_C_tube_radius,maximum_short_transport_radius,maximum_local_rq,maximum_inverse_q,midpoint_T_center_gap,midpoint_C_center_gap,midpoint_T_overlap_margin,midpoint_C_overlap_margin,cell_pass
64,39,0.1527048611110331,-0.06055133761708598,-0.06023296160374277,-0.06055133761708598,29,29,0.1064304056765546,0.028813360151705384,0.11498346175588678,0.030951850378884906,0.003182073840869535,0.045369665336731764,0.006594181776951752,5.65114585642026e-11,3.303470111440615e-11,0.21308053575758806,0.0601729439634571,False
128,39,0.1527048611110331,-0.02467748768812895,-0.024583340938396044,-0.02467748768812895,79,79,0.08094312460189007,0.014676181620731971,0.08395133400920311,0.015200039160506993,0.0016088658448264457,0.02268508308263984,0.0033487185195860223,1.1739576963380108e-11,1.2111122315600758e-11,0.16083526463702147,0.02996739837581899,False
256,39,0.1527048611110331,-0.007593384781896205,-0.007560898238671174,-0.007593384781896205,208,208,0.06784477210110265,0.0074043168017391475,0.06904328818731174,0.007534030843329021,0.0008088060963985064,0.011342605192055422,0.0016871203267787656,1.016719070777372e-12,7.575390202628074e-13,0.13487548713515599,0.014953533127036078,False
