subdivisions,direction,neighbor_index,center_separation,oriented_radius,two_line_radius,endpoint_separation_lower,endpoint_pass,oriented_maximum_residual,two_line_maximum_residual,oriented_maximum_mu,two_line_maximum_mu,maximum_generator_width,mu_cache_size
32,forward,68,0.01256625736329287,0.624739473183789,0.6263894084797647,-1.2385626243002608,False,0.6231413306951958,0.6237956097465612,18.66153307891494,18.661525712722298,0.2098137997673745,96
32,backward,66,0.012565204977890775,0.6241110562435945,0.6257494056750189,-1.2372952569407225,False,0.6228635899481455,0.6235343664221823,18.661711656598072,18.661717187219082,0.20951469118279686,192
128,forward,68,0.01256625736329287,0.4422445877359819,0.4436769031091051,-0.8733552334817942,False,0.5335035298380095,0.5340554939108281,18.614854220136646,18.614845043377564,0.1799456108173199,384
128,backward,66,0.012565204977890775,0.44109532931242984,0.4425215024224411,-0.8710516267569801,False,0.533193941639509,0.5337744913061773,18.614941710164317,18.61494746429046,0.17979858145416472,768
512,forward,68,0.01256625736329287,0.1872248722726053,0.1883620203460681,-0.36302063525538053,False,0.1353310102161235,0.13551425698190186,18.40298811094532,18.402980455127306,0.04498792782718307,1536
512,backward,66,0.012565204977890775,0.18693295340917007,0.1880664497715511,-0.3624341982028304,False,0.1353159726688173,0.13549039069217272,18.403092367455624,18.403097620149868,0.04495152856265337,3072
