Numberline_Q,Type,Step,E,Q,dt,||F||
100,Stiffness,103000,6.511e-16,1.000000000000e+02,1.160e-03,1.153e-05
150,Stiffness,76000,1.712e-14,1.500000000000e+02,1.355e-03,1.850e-05
200,Stiffness,61500,1.612e-14,2.000000000000e+02,1.292e-03,2.411e-05
250,Stiffness,51500,1.180e-14,2.500000000000e+02,1.221e-03,2.905e-05
300,Stiffness,43500,9.006e-16,3.000000000000e+02,1.193e-03,3.294e-05
350,Stiffness,36000,7.774e-16,3.500000000000e+02,1.007e-03,3.475e-05
400,Stiffness,32000,2.567e-14,4.000000000000e+02,1.408e-03,1.168e-05
405,Stiffness,34500,2.199e-15,4.050000000000e+02,9.387e-04,5.280e-06
406,Stiffness,35500,1.687e-16,4.060000000000e+02,9.372e-04,4.021e-06
407,Stiffness,36500,1.684e-15,4.070000000000e+02,7.797e-04,3.046e-06
408,Stiffness,38000,2.855e-15,4.080000000000e+02,1.004e-03,2.057e-06
409,Stiffness,41000,1.676e-16,4.090000000000e+02,8.952e-04,9.622e-07
410,Stiffness,45500,0.000e+00,4.100000000000e+02,5.575e-06,3.151e-07
411,Stiffness,52000,1.668e-16,4.110000000000e+02,7.877e-04,6.249e-08
412,Converged,52926,3.415848082005e+02,4.120000000000e+02,6.794e-04,4.996e-08
413,Converged,54087,3.423722400566e+02,4.130000000000e+02,8.140e-04,5.000e-08
414,Converged,55737,3.431595368591e+02,4.140000000000e+02,6.521e-04,4.982e-08
415,Converged,57291,3.439466988916e+02,4.150000000000e+02,8.707e-04,4.999e-08
420,Converged,62265,3.478804973535e+02,4.200000000000e+02,8.955e-04,4.999e-08
425,Converged,64790,3.518109685147e+02,4.250000000000e+02,8.595e-04,4.999e-08
430,Converged,66451,3.557381467566e+02,4.300000000000e+02,1.148e-03,5.000e-08
435,Converged,67589,3.596620659261e+02,4.350000000000e+02,9.899e-04,4.999e-08
440,Converged,68477,3.635827593489e+02,4.400000000000e+02,1.144e-03,5.000e-08
445,Converged,69183,3.675002598413e+02,4.450000000000e+02,6.609e-04,4.977e-08
450,Converged,69689,3.714145997226e+02,4.500000000000e+02,7.104e-04,5.000e-08
500,Converged,71384,4.103909413794e+02,5.000000000000e+02,1.138e-03,4.999e-08
550,Converged,70794,4.490834770947e+02,5.500000000000e+02,6.354e-04,4.996e-08
600,Converged,69655,4.875178125055e+02,6.000000000000e+02,1.228e-03,4.999e-08
650,Converged,68192,5.257163939438e+02,6.500000000000e+02,9.533e-04,4.999e-08
