Numberline_Q,Type,Step,E,Q,dt,||F||
100,Stiffness,105500,8.581e-16,1.000000000000e+02,1.074e-03,1.106e-05
150,Stiffness,77500,9.837e-15,1.500000000000e+02,1.047e-03,1.769e-05
200,Stiffness,62000,1.841e-14,2.000000000000e+02,1.439e-03,2.620e-05
250,Stiffness,51000,2.151e-14,2.500000000000e+02,9.467e-04,2.863e-05
300,Stiffness,41500,1.260e-14,3.000000000000e+02,1.155e-03,3.159e-05
350,Stiffness,35000,3.900e-15,3.500000000000e+02,1.009e-03,1.125e-05
355,Stiffness,38500,2.835e-15,3.550000000000e+02,9.326e-04,4.072e-06
356,Stiffness,40500,6.059e-16,3.560000000000e+02,1.116e-03,2.515e-06
357,Stiffness,43000,1.410e-15,3.570000000000e+02,1.071e-03,1.363e-06
358,Stiffness,49000,0.000e+00,3.580000000000e+02,1.319e-03,3.469e-07
359,Converged,57260,2.836840464292e+02,3.590000000000e+02,8.707e-04,5.000e-08
360,Converged,57720,2.844349660281e+02,3.600000000000e+02,1.123e-03,4.999e-08
361,Converged,59761,2.851857347719e+02,3.610000000000e+02,8.061e-04,4.999e-08
362,Converged,62002,2.859363529937e+02,3.620000000000e+02,1.200e-03,4.999e-08
365,Converged,66471,2.881873078392e+02,3.650000000000e+02,1.148e-03,5.000e-08
370,Converged,70481,2.919359195199e+02,3.700000000000e+02,8.209e-04,5.000e-08
375,Converged,72611,2.956808416258e+02,3.750000000000e+02,1.222e-03,4.999e-08
380,Converged,74057,2.994221140177e+02,3.800000000000e+02,9.440e-04,4.999e-08
385,Converged,75102,3.031597758828e+02,3.850000000000e+02,9.425e-04,4.999e-08
390,Converged,75850,3.068938657518e+02,3.900000000000e+02,9.409e-04,4.997e-08
395,Converged,76401,3.106244215175e+02,3.950000000000e+02,1.214e-03,5.000e-08
400,Converged,76874,3.143514804503e+02,4.000000000000e+02,9.061e-04,4.999e-08
450,Converged,77962,3.514375292548e+02,4.500000000000e+02,9.379e-04,5.000e-08
500,Converged,77042,3.882108234774e+02,5.000000000000e+02,6.764e-04,5.000e-08
550,Converged,75709,4.247004169057e+02,5.500000000000e+02,8.753e-04,4.999e-08
600,Converged,74178,4.609315900491e+02,6.000000000000e+02,6.797e-04,4.977e-08
650,Converged,72591,4.969265302990e+02,6.500000000000e+02,1.018e-03,5.000e-08
700,Converged,70963,5.327048486190e+02,7.000000000000e+02,1.098e-03,4.999e-08
750,Converged,69421,5.682839820347e+02,7.500000000000e+02,8.223e-04,4.999e-08
800,Converged,67594,6.036795136470e+02,8.000000000000e+02,8.250e-04,4.999e-08
850,Converged,65675,6.389054314064e+02,8.500000000000e+02,8.276e-04,4.994e-08
900,Converged,63120,6.739743403508e+02,9.000000000000e+02,8.623e-04,5.000e-08
950,Converged,59038,7.088976387629e+02,9.500000000000e+02,1.005e-03,4.999e-08
955,Converged,58419,7.123823665545e+02,9.550000000000e+02,7.511e-04,5.000e-08
