Numberline_Q,Type,Step,E,Q,dt,||F||
1,Stiffness,612500,5.172e-16,1.000000000000e+00,1.255e-03,9.028e-07
2,Stiffness,728000,9.062e-16,2.000000000000e+00,1.283e-03,8.914e-07
3,Stiffness,856000,6.911e-16,3.000000000000e+00,1.333e-03,8.686e-07
4,Stiffness,1002500,1.037e-15,4.000000000000e+00,1.245e-03,9.051e-07
5,Stiffness,1206000,4.153e-16,5.000000000000e+00,8.179e-04,8.228e-07
6,Stiffness,2596000,6.943e-16,6.000000000000e+00,7.601e-04,5.355e-07
7,Stiffness,2487500,1.192e-15,7.000000000000e+00,1.271e-03,5.279e-07
8,Stiffness,2568000,5.218e-16,8.000000000000e+00,1.149e-03,4.782e-07
9,Stiffness,2274000,1.741e-15,9.000000000000e+00,1.180e-03,4.280e-07
10,Stiffness,2249500,8.365e-16,1.000000000000e+01,1.325e-03,3.527e-07
11,Stiffness,2450000,7.611e-16,1.100000000000e+01,8.423e-04,3.526e-07
12,Stiffness,2838500,6.983e-16,1.200000000000e+01,8.382e-04,2.922e-07
13,Stiffness,1256000,6.416e-16,1.300000000000e+01,1.251e-03,1.395e-06
14,Stiffness,991000,7.450e-16,1.400000000000e+01,1.181e-03,1.454e-06
15,Stiffness,825500,1.252e-15,1.500000000000e+01,1.304e-03,1.579e-06
16,Stiffness,717000,6.525e-16,1.600000000000e+01,7.571e-04,1.633e-06
17,Stiffness,635000,3.686e-16,1.700000000000e+01,9.028e-04,1.752e-06
18,Stiffness,576000,6.966e-16,1.800000000000e+01,1.035e-03,1.786e-06
19,Stiffness,529500,1.541e-15,1.900000000000e+01,1.345e-03,1.817e-06
20,Stiffness,485000,8.367e-16,2.000000000000e+01,1.452e-03,9.363e-06
21,Stiffness,452500,1.594e-15,2.100000000000e+01,1.425e-03,2.187e-06
22,Stiffness,426000,9.516e-16,2.200000000000e+01,1.199e-03,2.152e-06
23,Stiffness,402500,1.093e-15,2.300000000000e+01,1.342e-03,2.225e-06
24,Stiffness,381000,1.048e-15,2.400000000000e+01,8.989e-04,2.336e-06
25,Stiffness,364500,3.354e-16,2.500000000000e+01,6.417e-04,2.333e-06
26,Stiffness,347000,9.678e-16,2.600000000000e+01,1.275e-03,2.476e-06
27,Stiffness,333000,4.662e-16,2.700000000000e+01,9.070e-04,2.541e-06
28,Stiffness,319500,5.996e-16,2.800000000000e+01,8.017e-04,2.638e-06
29,Stiffness,308000,1.014e-15,2.900000000000e+01,1.363e-03,2.690e-06
30,Stiffness,296500,1.120e-15,3.000000000000e+01,1.389e-03,2.830e-06
31,Stiffness,287000,8.133e-16,3.100000000000e+01,8.172e-04,2.895e-06
32,Stiffness,277000,3.941e-16,3.200000000000e+01,7.727e-04,3.047e-06
33,Stiffness,269000,6.372e-16,3.300000000000e+01,1.456e-03,1.543e-05
34,Stiffness,260000,9.898e-16,3.400000000000e+01,1.188e-03,3.318e-06
