Q,rotation_number,lambda_full,lambda_open,lambda_phase,lambda_kappa,branch_closure_residual,mean_line_overlap_with_previous_rotation
522.25,1110,-0.22274290694671142,-0.27355352615645045,0.04563082039861401,0.005179798811124943,7.806255641895632e-17,nan
522.25,1111,0.22183712753552223,0.16891234139852884,0.0475231440607194,0.005401642076273985,6.938893903907228e-18,0.14890076716015738
522.25,1112,-0.20640327497071217,-0.25550606845623547,0.04409823931161982,0.005004554173903635,-1.5872719805187785e-16,0.16863370166296596
522.25,1113,0.18795306295959768,0.13346232413909584,0.04893042966539347,0.005560309155108567,-1.8995222061946038e-16,0.15066740239054122
522.25,1114,-0.1503280493415474,-0.19822529187308094,0.04301211976778195,0.004885122763751679,-8.326672684688674e-17,0.1655044821505185
522.25,1115,0.11621864535603499,0.06076881762618291,0.04979331270674419,0.005656515023107862,2.949029909160572e-17,0.15355751168887294
522.25,1116,-0.06731790516856795,-0.11470314854305699,0.04255153715494915,0.004833706219539829,6.418476861114186e-17,0.16158888403859395
522.25,1117,0.02175023035326659,-0.03386515410717846,0.04994545979839385,0.005669924662051269,-7.025630077706069e-17,0.1566476359959312
522.25,1118,0.02710165396021649,-0.020527942725185877,0.042768151740180976,0.004861444945221485,-9.107298248878237e-17,0.15810785002579217
522.25,1119,-0.07691667888984048,-0.13188649780047637,0.04936508639131405,0.005604732519321961,-1.240327285323417e-16,0.16000808653806628
522.25,1120,0.11701221555329726,0.06843404734996299,0.043619733186877514,0.004958435016456761,-4.336808689942018e-18,0.15489229016889697
522.25,1121,-0.1606508481101174,-0.214275239049694,0.04816076055605611,0.005463630383520384,1.1275702593849246e-16,0.16374077101184809
522.25,1122,0.1866083500198723,0.13651484506807726,0.04497865473274932,0.0051148502190456226,1.0061396160665481e-16,0.1519131955854431
522.25,1123,-0.21233471931421824,-0.26418539168772653,0.046565027084789455,0.005285645288718682,1.5699247457590104e-16,0.16762921812360512
522.25,1124,0.2213196217443084,0.1694068755624995,0.04661391032591092,0.005298835855897889,7.632783294297951e-17,0.14928311929904914
522.25,1125,-0.22094430032081872,-0.270951147120486,0.04491107999982748,0.0050957667998397975,2.3418766925686896e-17,0.16913466260958032
522.25,1126,0.21212721010987298,0.15844882511465488,0.04819973276905547,0.005478652226162674,-4.336808689942018e-17,0.1492802915587036
522.25,1127,-0.18571523468201462,-0.23420591325842577,0.04354592325494063,0.004944755321470365,1.5352302762394743e-16,0.16759756527368852
