Q,rotating_phase_fraction,H_total_mean,H_total_std,H_open_mean,H_open_std,H_phase_mean,H_phase_std,H_kappa_mean,H_kappa_std,abs_delta_x_mean,abs_delta_x_std,abs_delta_Theta_mean,abs_delta_Theta_std,abs_delta_Delta_mean,abs_delta_Delta_std,delta_rho_norm_mean,delta_rho_norm_std,abs_delta_activity_mean,abs_delta_activity_std,abs_delta_kappa_mean,abs_delta_kappa_std,base_activity_mean,base_activity_std,base_Delta_mean,base_Delta_std,share_local_mean,share_local_std,share_radial_mean,share_radial_std,share_rotating_mean,share_rotating_std,cycle_overlap_signed_mean,cycle_overlap_signed_std,cycle_overlap_line_mean,cycle_overlap_line_std
522.25,0.002777777777777778,-0.021290791277233274,2.189705641394894,-0.07300388045799133,2.1809952869155667,0.04643907272535455,0.03867003996092095,0.005274016455403304,0.004376228723061095,0.008737832769036764,0.0047167937782886275,0.33675227928685697,0.18761006487759252,1.0102568378605707,0.5628301946327775,0.021223258966889032,0.009243176521314626,0.21059991912326173,0.11732853970393417,0.0015336869388767257,0.0008279038066247792,6.911110434472016e-08,1.0056845145817902e-05,2.326398396671851e-06,3.1406737527924626,0.002246815890570386,0.0008311685399156048,0.0020887523279011304,0.00011317761800083547,0.9956644317815286,0.0007256665196798617,0.10995457570447816,0.15331720121838696,0.15690756077313134,0.10373117297657539
522.25,0.008333333333333333,-0.015141701171401612,2.1939397286778477,-0.06693116668150274,2.1844738851364593,0.046507586290810955,0.03885989330819434,0.0052818792192900815,0.004398370507698579,0.00872182472477905,0.004772957685614373,0.33700094065634545,0.18781120797830098,1.0110028219690361,0.563433623934903,0.02121212161363151,0.00923525969822972,0.21075542567592506,0.11745433912014923,0.0015308771656704892,0.0008377618404620727,6.880792062813783e-08,1.006087753936496e-05,2.312246792716503e-06,3.159707967474069,0.002248476120500713,0.0008364580164783537,0.0020884485680784403,0.00011431803543781677,0.9956630753114207,0.0007296934397591393,0.10937841738743344,0.1536578138397566,0.15627608279308886,0.10458176159790158
522.25,0.013888888888888888,-0.00889505327733369,2.2005815000000437,-0.0607236089645585,2.1903923270851586,0.04654258185318373,0.038872604872162375,0.005285973834041225,0.0044005745733251295,0.008711541958026887,0.004802308501641975,0.3379187577418872,0.18614644324186863,1.0137562732256618,0.558439329725606,0.02119061363429803,0.009226721641431391,0.21132938212515268,0.11641328213107933,0.0015290723079351488,0.000842913571374848,6.805653592500211e-08,1.0061237655188596e-05,2.383167201321553e-06,3.154295877134615,0.0022494371967353714,0.0008380900506218745,0.0020882235142878733,0.00011510875851984915,0.9956623392889766,0.0007304514808355725,0.10880368714096683,0.15404316575544028,0.15583204312606688,0.10521092154305402
522.25,0.019444444444444445,-0.0032453757549634086,2.2108081155952135,-0.055077250264675866,2.200011228974312,0.04654543451102564,0.03873958589218284,0.005286439998686889,0.004386316205754401,0.008709354739089058,0.004804962577803554,0.33899024038804776,0.1837333971317026,1.0169707211641432,0.5512001913951078,0.021161314491997166,0.009227896815940035,0.2119994848555879,0.11490417480496337,0.0015286884016272482,0.0008433794216664927,6.687867507390841e-08,1.0060114545992187e-05,-3.2084084788201277e-07,3.1680608336099008,0.002249702665844206,0.0008365908077730525,0.0020880894323932644,0.0001155569405151278,0.9956622079017624,0.0007284738059353132,0.10824803450466897,0.15455679349224735,0.15582811536179286,0.10538692508913836
522.25,0.025,0.0013497463619905707,2.225954979105656,-0.050455859944796545,2.2147227977901167,0.04652171222939458,0.038521641072000984,0.0052838940773925515,0.004362392505304151,0.008710522015366873,0.004797145919772984,0.33958306600632676,0.1820814862994057,1.0187491980189802,0.5462444588982172,0.021126608807867948,0.00925239474677636,0.2123702334538889,0.11387108633410163,0.0015288932849694523,0.0008420074216930403,6.530216889585815e-08,1.0060637406889511e-05,2.415740522880109e-06,3.1240785837397262,0.0022493726031096507,0.0008331282995546462,0.0020880431548650196,0.00011575297270608018,0.9956625842420254,0.0007248485582993188,0.10772449956600219,0.15531469674666815,0.15592708334942487,0.10580572861812307
522.25,0.030555555555555555,0.004579869390326378,2.2440601406803182,-0.04717682255974306,2.2326073792686127,0.04647766022712691,0.038238802204772646,0.005279031722942471,0.004330989872058129,0.008726400229773706,0.004759104788480669,0.3400853692978761,0.18050869228310498,1.0202561078936279,0.5415260768493148,0.021086138195892043,0.009304876798069425,0.21268436643881503,0.1128874810948906,0.0015316802701054852,0.0008353303442362749,6.333671795067905e-08,1.0062739228033864e-05,2.4123858289870626e-06,3.1168211477868186,0.0022485666387133045,0.0008280103421293873,0.002088076578907447,0.00011567176634117464,0.995663356782379,0.0007199047514600376,0.10724848723107779,0.1562251617690282,0.1563216448560811,0.10606167433619355
522.25,0.03611111111111111,0.006296548654060337,2.2630513599238324,-0.04539723972433582,2.2516064490559033,0.04642106315178447,0.03791885118033842,0.005272725226611692,0.004295185318739941,0.008750224173753469,0.004703786002786322,0.34042028769123805,0.17923659717221344,1.021260863073714,0.5377097915166403,0.021042525752109523,0.009381079025006504,0.21289382799903397,0.11209191319278909,0.0015358619101849072,0.0008256206483269435,6.09937763749374e-08,1.0066337598960494e-05,2.3846436988013884e-06,3.1148554792523973,0.002247442574084146,0.0008217393000239156,0.002088174255343736,0.00011532237936180955,0.9956643831705723,0.0007141275316917604,0.10683386074108406,0.15719107962668832,0.15726444010673488,0.10564456273609957
522.25,0.041666666666666664,0.0065165524436068935,2.281007756808761,-0.04510979383752668,2.2697875383303305,0.04636041592848608,0.03759392633600898,0.0052659303526475165,0.004258570646794693,0.008768507602123823,0.004657759117412106,0.34062876661170177,0.17833127453330094,1.021886299835105,0.5349938235999028,0.020997731675354615,0.009476598922444684,0.21302420968028962,0.111525729079086,0.001539071064677869,0.0008175418907217673,5.8286710088196225e-08,1.0071337076588784e-05,0.03922126622605447,3.142976068858723,0.0022461791157365697,0.0008149468203478627,0.0020883153186400513,0.00011474363070146547,0.9956655055656236,0.0007080976552778414,0.10649248170805176,0.15811984220882785,0.1583003457658312,0.10510475917430258
522.25,0.04722222222222222,0.00541097537334457,2.2963377907757856,-0.046152724807431295,2.2855281857806227,0.04630410605918867,0.0372971055487389,0.0052595941215873,0.004224870778389923,0.00877902299277253,0.004627983420743696,0.34092623967502633,0.1774140789306432,1.0227787190250788,0.5322422367919296,0.020953999493450372,0.009585706969902623,0.21321023292356586,0.11095214677695793,0.0015409167531593715,0.0008123155836633262,5.52308564745082e-08,1.0077631829716087e-05,0.10472219160886724,3.1250284493773623,0.002244958335875673,0.0008083245557701588,0.002088475702968424,0.00011399759003264267,0.9956665659611562,0.0007024290892662255,0.1062339297340758,0.15893118694285455,0.15863113622400635,0.1055540311871894
522.25,0.05277777777777778,0.003282849973296531,2.307870260182184,-0.048231384657049535,2.2976132539627523,0.04625966459780554,0.03705935471264679,0.005254570032540684,0.004197599808753359,0.00879249879799594,0.004596038810649808,0.3412520571416498,0.17666030862703055,1.0237561714249492,0.5299809258810917,0.020917440030050322,0.009691672722469912,0.2134139947702863,0.11048074403370471,0.0015432820612407108,0.0008067085833277149,5.184340756765461e-08,1.0085108119016172e-05,0.10472219513251992,3.1388982345115592,0.002243949154103479,0.0008025594753843837,0.0020886304478408496,0.00011316245362488456,0.9956674203980553,0.0006977120687137111,0.10606537398560503,0.15956271450079043,0.15913906054707366,0.10555663840516186
