Q,lag_rotations,continuity_signed,continuity_line_absolute,continuity_line_std
522.25,0.0,1.0,1.0,0.0
522.25,0.005555555555555556,0.9968886769985621,0.9968886769985621,0.0009829123575284158
522.25,0.011111111111111112,0.9875775165429744,0.9875775165429744,0.00390542106183459
522.25,0.016666666666666666,0.9721351730574935,0.9721351730574935,0.008689817959535388
522.25,0.022222222222222223,0.9506751997229429,0.9506751997229429,0.015209549941753886
522.25,0.027777777777777776,0.9233541766969693,0.9233541766969693,0.023293373167499475
522.25,0.03333333333333333,0.8903692126234528,0.8903692126234528,0.032730848233264276
522.25,0.03888888888888889,0.851954935714148,0.851954935714148,0.04327889728967682
522.25,0.044444444444444446,0.8083801160943174,0.8083801160943174,0.054669117176459406
522.25,0.05,0.7599440478083705,0.7599440478083705,0.06661551738961483
522.25,0.05555555555555555,0.7069728103403239,0.7069728103403239,0.07882237000406596
522.25,0.06111111111111111,0.6498155856262369,0.6498155856262369,0.09099194162935738
522.25,0.06666666666666667,0.5888411219193258,0.5888411219193258,0.10283184728023735
522.25,0.07222222222222222,0.5244343853226363,0.5244343853226363,0.11406179382995768
522.25,0.07777777777777778,0.4569935135394905,0.4569935135394905,0.1244196589610399
522.25,0.08333333333333333,0.3869271141480276,0.3869271141480276,0.13366683979155378
522.25,0.08888888888888889,0.3146518999005135,0.3146518999005135,0.14159282937779463
522.25,0.09444444444444444,0.24059066628310263,0.24059066628310263,0.14801903467640704
522.25,0.1,0.16517057773613275,0.18173546220794293,0.13267034055508878
522.25,0.10555555555555556,0.08882176746629461,0.15264689712389512,0.09418806489221633
522.25,0.1111111111111111,0.011976171942816779,0.14190050770384244,0.0683452915793376
522.25,0.11666666666666667,-0.06493347450827154,0.1475898791426912,0.08307040691529127
522.25,0.12222222222222222,-0.1414745348381844,0.1705879954781729,0.12091366210346911
522.25,0.12777777777777777,-0.21721531581513423,0.21726472623198734,0.14966384663202195
522.25,0.13333333333333333,-0.29172598388943205,0.29172598388943205,0.14382085669789116
522.25,0.1388888888888889,-0.3645796078166828,0.3645796078166828,0.1363557257512268
522.25,0.14444444444444443,-0.43535341107912356,0.43535341107912356,0.12750784196438777
522.25,0.15,-0.5036302658982158,0.5036302658982158,0.1174779854579894
522.25,0.15555555555555556,-0.5690004789304332,0.5690004789304332,0.10649642658059254
522.25,0.16111111111111112,-0.6310639689825471,0.6310639689825471,0.09481859402308794
522.25,0.16666666666666666,-0.6894327976097305,0.6894327976097305,0.08271993410027267
522.25,0.17222222222222222,-0.743734013093991,0.743734013093991,0.07048998420488176
522.25,0.17777777777777778,-0.7936128429814818,0.7936128429814818,0.05842578420153727
522.25,0.18333333333333332,-0.8387361605543974,0.8387361605543974,0.04682470493079505
522.25,0.18888888888888888,-0.8787961271247907,0.8787961271247907,0.035976830579377436
522.25,0.19444444444444445,-0.9135139170010145,0.9135139170010145,0.026157116155960995
522.25,0.2,-0.9426433980475377,0.9426433980475377,0.017617573649400906
522.25,0.20555555555555555,-0.9659746383767863,0.9659746383767863,0.01057977851483671
522.25,0.2111111111111111,-0.9833370966648398,0.9833370966648398,0.005228013975526057
522.25,0.21666666666666667,-0.9946023435368015,0.9946023435368015,0.0017034144264142634
522.25,0.2222222222222222,-0.9996861922651146,0.9996861922651146,9.938585178299888e-05
522.25,0.22777777777777777,-0.9985501419326434,0.9985501419326434,0.0004585235223433606
522.25,0.23333333333333334,-0.9912020571756212,0.9912020571756212,0.0027711934424041415
522.25,0.2388888888888889,-0.9776960518282083,0.9776960518282083,0.006975858143454259
522.25,0.24444444444444444,-0.958131585721186,0.958131585721186,0.012961129989988933
522.25,0.25,-0.9326518198460876,0.9326518198460876,0.020569441040075687
522.25,0.25555555555555554,-0.9014413017887762,0.9014413017887762,0.029602118963963076
522.25,0.2611111111111111,-0.864723105464345,0.864723105464345,0.03982564586626958
522.25,0.26666666666666666,-0.8227555542362135,0.8227555542362135,0.0509788088742823
522.25,0.2722222222222222,-0.7758286514123007,0.7758286514123007,0.06278034663501228
522.25,0.2777777777777778,-0.7242603730545767,0.7242603730545767,0.07493679694506754
522.25,0.2833333333333333,-0.6683929606394928,0.6683929606394928,0.08715027871912451
522.25,0.28888888888888886,-0.6085893156960792,0.6085893156960792,0.09912595344539837
522.25,0.29444444444444445,-0.5452296029225208,0.5452296029225208,0.11057898148107441
522.25,0.3,-0.47870810492119875,0.47870810492119875,0.1212408295962881
522.25,0.3055555555555556,-0.40943037939162485,0.40943037939162485,0.13086486739573558
522.25,0.3111111111111111,-0.33781079939210684,0.33781079939210684,0.13923121746139272
522.25,0.31666666666666665,-0.26427043892555774,0.26427043892555774,0.14615081421372292
522.25,0.32222222222222224,-0.18923524553801854,0.1958639395208921,0.1427929362556175
522.25,0.3277777777777778,-0.11313454786030831,0.15969697086767679,0.106493041718167
522.25,0.3333333333333333,-0.036399824637326744,0.1435033096975626,0.07305161106685754
522.25,0.3388888888888889,0.0405363401957291,0.14400304473660036,0.07415003317007489
522.25,0.34444444444444444,0.11724118715556961,0.16123408842197076,0.10842310769536782
522.25,0.35,0.19328264619004848,0.1986846650992239,0.14409746634332432
522.25,0.35555555555555557,0.26823018893596307,0.26823018893596307,0.1458737732132571
522.25,0.3611111111111111,0.3416558393696258,0.3416558393696258,0.1388843114402356
522.25,0.36666666666666664,0.41313536561263003,0.41313536561263003,0.1304551422750541
522.25,0.37222222222222223,0.4822496640251046,0.4822496640251046,0.12077690490332185
522.25,0.37777777777777777,0.5485864615367697,0.5485864615367697,0.1100709414427944
522.25,0.38333333333333336,0.6117423738870369,0.6117423738870369,0.09858519480784897
522.25,0.3888888888888889,0.6713253078711975,0.6713253078711975,0.08658932460378498
522.25,0.39444444444444443,0.7269572244186072,0.7269572244186072,0.07436906394640085
522.25,0.4,0.7782772242526547,0.7782772242526547,0.06221984073254359
522.25,0.40555555555555556,0.8249449182653625,0.8249449182653625,0.05043975748401906
522.25,0.4111111111111111,0.8666440345199532,0.8666440345199532,0.039322082504705216
522.25,0.4166666666666667,0.9030861353159109,0.9030861353159109,0.029147433802436628
522.25,0.4222222222222222,0.9340143185499715,0.9340143185499715,0.020175913273846866
522.25,0.42777777777777776,0.9592067978543701,0.9592067978543701,0.012639496107016005
522.25,0.43333333333333335,0.9784802063121172,0.9784802063121172,0.006734971575726264
522.25,0.4388888888888889,0.9916924784060103,0.9916924784060103,0.002617748893829952
522.25,0.4444444444444444,0.9987451824263198,0.9987451824263198,0.00039683258928234407
522.25,0.45,0.9995851936569081,0.9995851936569081,0.00013122694313050004
522.25,0.45555555555555555,0.9942056267391921,0.9942056267391921,0.0018279479712386443
522.25,0.46111111111111114,0.9826459760074686,0.9826459760074686,0.0054417676572098474
522.25,0.4666666666666667,0.9649914552948752,0.9649914552948752,0.010876756556801577
522.25,0.4722222222222222,0.941371574887275,0.941371574887275,0.017989486349640312
522.25,0.4777777777777778,0.911958027908347,0.911958027908347,0.02659370306375767
522.25,0.48333333333333334,0.8769619909461359,0.8769619909461359,0.0364662456660663
522.25,0.4888888888888889,0.8366309617935433,0.8366309617935433,0.04735391494441557
522.25,0.49444444444444446,0.7912452801050767,0.7912452801050767,0.05898098066891758
522.25,0.5,0.7411144578181432,0.7411144578181432,0.0710569975242826
522.25,0.5055555555555555,0.6865734358529145,0.6865734358529145,0.08328462877677391
522.25,0.5111111111111111,0.6279789405318909,0.6279789405318909,0.09536726269305196
522.25,0.5166666666666667,0.5657060211929793,0.5657060211929793,0.10701617805842363
522.25,0.5222222222222223,0.5001447989397136,0.5001447989397136,0.11795704970876082
522.25,0.5277777777777778,0.43169753647528003,0.43169753647528003,0.1279357620757392
522.25,0.5333333333333333,0.3607760617439636,0.3607760617439636,0.13672347896053258
522.25,0.5388888888888889,0.2877995294819669,0.2877995294819669,0.14412094064196207
522.25,0.5444444444444444,0.21319251843945783,0.2136299200988195,0.14933818785940506
522.25,0.55,0.13738342756117963,0.16869531240537758,0.1190256276201399
522.25,0.5555555555555556,0.060803172402568904,0.14676863842516738,0.08151183739822776
522.25,0.5611111111111111,-0.01611591049747142,0.14208247909865498,0.06878267633978949
522.25,0.5666666666666667,-0.09294102413264779,0.15384371938160812,0.09603749187027447
522.25,0.5722222222222222,-0.16923978310321866,0.1840794100918317,0.13435325052150743
522.25,0.5777777777777777,-0.24458106891932452,0.24458106891932452,0.14776556112848913
522.25,0.5833333333333334,-0.3185359847321072,0.3185359847321072,0.14126766464467927
522.25,0.5888888888888889,-0.39067896241852434,0.39067896241852434,0.13327650845201713
522.25,0.5944444444444444,-0.46058910295130895,0.46058910295130895,0.12397222307478313
522.25,0.6,-0.5278517782001515,0.5278517782001515,0.11356681626051969
522.25,0.6055555555555555,-0.5920605402756344,0.5920605402756344,0.10230028497787372
522.25,0.6111111111111112,-0.6528194291382585,0.6528194291382585,0.09043599862671439
522.25,0.6166666666666667,-0.7097456329576864,0.7097456329576864,0.07825527712847445
522.25,0.6222222222222222,-0.7624724553348786,0.7624724553348786,0.06605120100961996
522.25,0.6277777777777778,-0.8106526132133749,0.8106526132133749,0.05412179156596931
522.25,0.6333333333333333,-0.8539617814010894,0.8539617814010894,0.04276265850541327
522.25,0.6388888888888888,-0.8921022780388824,0.8921022780388824,0.03225927277038477
522.25,0.6444444444444445,-0.9248067895761147,0.9248067895761147,0.022879103907260737
522.25,0.65,-0.9518420030414494,0.9518420030414494,0.014863891769177795
522.25,0.6555555555555556,-0.9730120126577257,0.9730120126577257,0.008422353118369825
522.25,0.6611111111111111,-0.9881613571532396,0.9881613571532396,0.0037236433327045657
522.25,0.6666666666666666,-0.9971775399980655,0.9971775399980655,0.0008919308658627611
522.25,0.6722222222222223,-0.9999929187711737,0.9999929187711737,2.340791617386737e-06
522.25,0.6777777777777778,-0.996585876411311,0.996585876411311,0.001078479433801231
522.25,0.6833333333333333,-0.9869812122229334,0.9869812122229334,0.004091624199312804
522.25,0.6888888888888889,-0.971249734606035,0.971249734606035,0.008961713360035579
522.25,0.6944444444444444,-0.9495070797392829,0.9495070797392829,0.015559995283006252
522.25,0.7,-0.9219118144551138,0.9219118144551138,0.02371324674052434
522.25,0.7055555555555556,-0.88866290554666,0.88866290554666,0.0332093056270056
522.25,0.7111111111111111,-0.8499966905913926,0.8499966905913926,0.04380368070698498
522.25,0.7166666666666667,-0.8061834834395567,0.8061834834395567,0.05522693372129122
522.25,0.7222222222222222,-0.7575239367213208,0.7575239367213208,0.06719243752573177
522.25,0.7277777777777777,-0.7043453163277421,0.7043453163277421,0.07940422768105437
522.25,0.7333333333333333,-0.6469978205057276,0.6469978205057276,0.09156469436343126
522.25,0.7388888888888889,-0.5858510373252984,0.5858510373252984,0.10338187720993673
522.25,0.7444444444444445,-0.5212906388486792,0.5212906388486792,0.11457619867107784
522.25,0.75,-0.4537153459259491,0.4537153459259491,0.12488651359700184
522.25,0.7555555555555555,-0.38353420959279005,0.38353420959279005,0.13407543110722733
522.25,0.7611111111111111,-0.31116427833624904,0.31116427833624904,0.1419338831332468
522.25,0.7666666666666667,-0.23702860575450246,0.23702860575450246,0.14828490585745688
522.25,0.7722222222222223,-0.16155453747181386,0.17985502323779348,0.13098233880624457
522.25,0.7777777777777778,-0.08517231898976907,0.15174735094325514,0.09241888618745436
522.25,0.7833333333333333,-0.008313943278889697,0.14180267747079606,0.06803224236320639
522.25,0.7888888888888889,0.06858783892658817,0.14827424519691035,0.08463232038025299
522.25,0.7944444444444444,0.14510042060265943,0.17217311938961896,0.122744900377714
522.25,0.8,0.22079220193385574,0.22079220193385574,0.14949192967890537
522.25,0.8055555555555556,0.29523347068919437,0.29523347068919437,0.1435001622035597
522.25,0.8111111111111111,0.36799747021113344,0.36799747021113344,0.13596512214760048
522.25,0.8166666666666667,0.43866167231600806,0.43866167231600806,0.12705616663649444
522.25,0.8222222222222222,0.5068092627439557,0.5068092627439557,0.11697558020119221
522.25,0.8277777777777777,0.5720309630986355,0.5720309630986355,0.10595493697249976
522.25,0.8333333333333334,0.6339272178105527,0.6339272178105527,0.09425071710974986
522.25,0.8388888888888889,0.6921107275407972,0.6921107275407972,0.08213914032433313
522.25,0.8444444444444444,0.7462093376035015,0.7462093376035015,0.06991025116364158
522.25,0.85,0.7958692353782616,0.7958692353782616,0.05786129619030858
522.25,0.8555555555555555,0.8407584097614799,0.8407584097614799,0.046289504702082526
