eta_kappa,eta_phase_critical,phase_margin_1_minus_critical,lambda_at_critical,final_phase_bracket_width,local_dlambda_deta_phase,coarse_crossing_count,valid
0.0,0.9375406901041666,0.06245930989583337,-1.3940980941900708e-06,8.138020833325932e-05,0.047188025268116704,1,1
0.0625,0.9345296223958333,0.06547037760416674,7.071723817843917e-07,8.138020833337034e-05,0.04722677553129508,1,1
0.125,0.9314371744791666,0.06856282552083337,-3.6122411896147685e-07,8.138020833325932e-05,0.047306668249765364,1,1
0.1875,0.9283447265625,0.0716552734375,-3.241457918131051e-07,8.138020833337034e-05,0.04742929311094229,1,1
0.25,0.9252522786458333,0.07474772135416674,1.2654007542325137e-06,8.138020833337034e-05,0.047595376285398214,1,1
0.3125,0.9220784505208333,0.07792154947916674,9.674031313804716e-07,8.138020833337034e-05,0.047802930252105094,1,1
0.375,0.9188232421875,0.0811767578125,-8.358889032413933e-07,8.138020833337034e-05,0.04804969148401522,1,1
0.4375,0.9155680338541666,0.08443196614583337,1.3356436629990183e-07,8.138020833325932e-05,0.048334726015727726,1,1
0.5,0.9122314453125,0.0877685546875,2.9110507230367675e-07,8.138020833337034e-05,0.04865180078160714,1,1
0.5625,0.9088134765625,0.0911865234375,-1.154032694323475e-07,8.138020833337034e-05,0.04899548664003757,1,1
0.625,0.9053141276041666,0.09468587239583337,-9.03094293499353e-07,8.138020833325932e-05,0.04935954493078862,1,1
0.6875,0.9017333984375,0.0982666015625,-1.9592122723285525e-06,8.138020833337034e-05,0.04973715056093944,1,1
0.75,0.8981526692708333,0.10184733072916674,8.354559088615582e-07,8.138020833337034e-05,0.050124359082716036,1,1
0.8125,0.8944091796875,0.1055908203125,-6.777811509794157e-07,8.138020833337034e-05,0.0505075857121664,1,1
0.875,0.8906656901041666,0.10933430989583337,1.5885967663031455e-06,8.138020833325932e-05,0.050886187635059865,1,1
0.9375,0.8867594401041666,0.11324055989583337,-7.821079806397125e-07,8.138020833325932e-05,0.05124738050832369,1,1
1.0,0.8828531901041666,0.11714680989583337,2.995522832369146e-07,8.138020833325932e-05,0.051591536458254095,1,1
