eta_phase,eta_kappa,lambda_per_reference_period,block_standard_error,second_minus_first_drift
0.0,0.0,-1.8849175507273532,0.0007695208124245096,0.0006686847354260284
0.0,0.0625,-0.04667379471607973,0.0003761388565924899,0.0021574964327703006
0.0,0.125,-0.046477290445351316,0.00037429302267601877,0.002122825185070662
0.0,0.1875,-0.046285065485479414,0.00037233446474890835,0.0020720576296331533
0.0,0.25,-0.04609714905344116,0.0003701042316061462,0.0020055793824030055
0.0,0.3125,-0.04591353272732986,0.00036744856142915505,0.0019239062055681905
0.0,0.375,-0.04573417012108702,0.00036422294633919086,0.0018276754597990885
0.0,0.4375,-0.045558974811015396,0.0003602960908907641,0.001717640805597699
0.0,0.5,-0.04538781814152736,0.00035555378008532185,0.0015946672022632002
0.0,0.5625,-0.04522052567464794,0.00034990308090809694,0.0014597289434191765
0.0,0.625,-0.04505687316513907,0.00034327697649086104,0.001313909186392688
0.0,0.6875,-0.04489658187062681,0.00033563965480016764,0.001158401527290867
0.0,0.75,-0.04473931325915497,0.00032699257443658973,0.000994513615894893
0.0,0.8125,-0.044584664054037576,0.0003173810992008473,0.0008236709997939407
0.0,0.875,-0.04443216125651387,0.00030690156106967,0.000647421943341206
0.0,0.9375,-0.044281258616369466,0.0002957078558436902,0.0004674402690235807
0.0,1.0,-0.04413133476066016,0.00028401643568866917,0.0002855257607222092
0.08333333333333333,0.0,-0.04280982159780575,0.00035160947426869627,0.002250060528332362
0.08333333333333333,0.0625,-0.042599215888901296,0.0003482334464582365,0.0023327104719232453
0.08333333333333333,0.125,-0.04239618782848628,0.0003453577982536384,0.002372494263577829
0.08333333333333333,0.1875,-0.04220051764960333,0.00034256709357905043,0.0023727821193920973
0.08333333333333333,0.25,-0.04201190484357684,0.0003394846814148378,0.0023370316178244754
0.08333333333333333,0.3125,-0.04182999092151233,0.00033578274875854016,0.002268708631642101
0.08333333333333333,0.375,-0.04165436976762249,0.00033118669495159017,0.0021712408698612365
0.08333333333333333,0.4375,-0.0414845900209032,0.00032547705998683545,0.002047994213424005
0.08333333333333333,0.5,-0.04132015235992726,0.00031849119323971086,0.0019022654181794774
0.08333333333333333,0.5625,-0.04116050359666211,0.0003101260444936111,0.0017372867186372584
0.08333333333333333,0.625,-0.041005029042074564,0.0003003428450580385,0.0015562386911261092
0.08333333333333333,0.6875,-0.0408530443769136,0.00028917397000749825,0.0013622681342824808
0.08333333333333333,0.75,-0.04070378832173383,0.00027673178583928135,0.0011585075816555948
0.08333333333333333,0.8125,-0.04055641751290305,0.0002632186874830002,0.0009480928594287966
0.08333333333333333,0.875,-0.0404100052600629,0.000248936594830908,0.0007341746264801843
0.08333333333333333,0.9375,-0.04026354602761745,0.00023429272976118452,0.000519919587236975
0.08333333333333333,1.0,-0.04011596757781191,0.0002197962967570181,0.00030849697781753366
0.16666666666666666,0.0,-0.03856039408605911,0.00033192637334927003,0.002342985414271942
0.16666666666666666,0.0625,-0.0383847935016117,0.000327497946288746,0.0022785333034969282
0.16666666666666666,0.125,-0.03821478706440282,0.0003220734697816031,0.0021877007228998657
0.16666666666666666,0.1875,-0.03805003030921288,0.0003154615342769461,0.0020726664066099063
0.16666666666666666,0.25,-0.037890106144932816,0.0003075162305294659,0.0019358207414660947
0.16666666666666666,0.3125,-0.03773451969165549,0.0002981437246236697,0.0017797375219539766
0.16666666666666666,0.375,-0.03758269198633519,0.00028731023374899573,0.0016071525067570605
0.16666666666666666,0.4375,-0.037433953563482836,0.0002750517524508655,0.0014209475662675872
0.16666666666666666,0.5,-0.037287539173186425,0.00026148549606231286,0.0012241382061420336
0.16666666666666666,0.5625,-0.03714258521770462,0.0002468224693518289,0.0010198612077504665
0.16666666666666666,0.625,-0.036998131790342524,0.00023137967704562576,0.0008113582204056918
0.16666666666666666,0.6875,-0.0368531314373271,0.0002155889792229626,0.0006019504708845227
0.16666666666666666,0.75,-0.03670646675871925,0.0001999970790300397,0.00039499966351225213
0.16666666666666666,0.8125,-0.036556978576982715,0.00018524737528287561,0.00019385089236332448
0.16666666666666666,0.875,-0.03640350545924514,0.00017203046225075852,1.7553002670048223e-06
0.16666666666666666,0.9375,-0.036244933817887875,0.00016099065205940703,-0.000178226594643352
0.16666666666666666,1.0,-0.036080255728458153,0.00015259084642964236,-0.00034333573035786463
