period,full_local_log_factor,full_cumulative_lambda,full_x_rms_half_separation,full_end_local_norm,phase_only_local_log_factor,phase_only_cumulative_lambda,phase_only_x_rms_half_separation,phase_only_end_local_norm,kappa_only_local_log_factor,kappa_only_cumulative_lambda,kappa_only_x_rms_half_separation,kappa_only_end_local_norm,open_local_log_factor,open_cumulative_lambda,open_x_rms_half_separation,open_end_local_norm
64.0,0.10911662997048929,-0.0713579798295682,8.779284489311289e-07,1.115292419279395e-06,0.22901373671695233,-0.0742342853696101,9.376352039950123e-07,1.2573593108814278e-06,0.24940686183852245,-0.16072810481968003,9.505381747630123e-07,1.2832640380377688e-06,0.09972394584328695,-0.48893938552092603,8.730552299572043e-07,1.1048658731573357e-06
65.0,0.10108130203175031,-0.06870506780093252,8.477780095949114e-07,1.106366587959538e-06,-0.01938843213202876,-0.07339050301210885,7.962377407371711e-07,9.807983146625615e-07,-0.1646867728261194,-0.16078900740439447,7.448246990366405e-07,8.481593290357507e-07,0.0015560708256965854,-0.48139330157713184,8.06602765558664e-07,1.0015572821331169e-06
66.0,-0.2763480063318991,-0.0718511729301896,7.312235158723177e-07,7.585489050013511e-07,-0.17864833604154312,-0.07498531866406997,7.626900725935016e-07,8.363999794137836e-07,-0.10676180300422987,-0.15997041339833137,7.852209338838595e-07,8.987397245993459e-07,-0.2880100264445377,-0.4784632519539107,7.233323871455094e-07,7.497540748344566e-07
67.0,0.33162206125388277,-0.06582918436027806,9.885055490795646e-07,1.3932261948376296e-06,0.29037159650347977,-0.06953223037798714,9.567072554421781e-07,1.3369241920895447e-06,0.16819767515744,-0.15507238222585715,8.888363501744716e-07,1.1831704709431693e-06,0.2657179058450448,-0.46735607049422484,9.517192319399108e-07,1.3043670524630546e-06
68.0,-0.22705173191691574,-0.06820010417728743,7.308764016773959e-07,7.968795571175765e-07,-0.3026428543826573,-0.07296032778982053,7.146220623707371e-07,7.388629309123341e-07,-0.3697070286455266,-0.15822877408496994,6.970559209889404e-07,6.909367256569974e-07,-0.33016737234773824,-0.46533858963912944,7.011962296854688e-07,7.1880341554876e-07
69.0,0.09439658601268837,-0.06584363040641822,8.710818185992927e-07,1.0989955057500217e-06,0.22465530235468797,-0.0686470577877262,9.353293745593625e-07,1.2518911178914068e-06,0.2609733273563085,-0.15215338131045866,9.566154276633126e-07,1.2981930387328326e-06,0.13312636030425623,-0.45666518456748617,8.894640414541851e-07,1.1423943425088575e-06
70.0,0.11311786609423576,-0.06328703759926602,8.535890693764092e-07,1.119763907370126e-06,-0.014553819381700712,-0.0678742972390687,7.981128909342312e-07,9.855515755295755e-07,-0.18688171260250933,-0.15264950032891653,7.379960525692132e-07,8.295418549301547e-07,-0.029838297483836717,-0.45056765760914835,7.934955317167657e-07,9.706024697221981e-07
71.0,-0.2837216273002341,-0.06639175013026558,7.288087499587688e-07,7.529762235592919e-07,-0.1835785648068035,-0.06950393481044524,7.610302087374304e-07,8.322864847431662e-07,-0.07809522418651711,-0.1515994401015588,7.961738273676273e-07,9.248763517528811e-07,-0.26025785238043414,-0.44788723781719464,7.319982961611752e-07,7.708527939480783e-07
72.0,0.33224832191558745,-0.060855082462962055,9.896112043255472e-07,1.3940989908666962e-06,0.29291145918135747,-0.06447038767167021,9.584848162777052e-07,1.3403241117850435e-06,0.14858982110614968,-0.1474301448070073,8.778188532217333e-07,1.1601970032737762e-06,0.25344918843250036,-0.43814645411928216,9.428700136719045e-07,1.2884619090540039e-06
73.0,-0.2175191569027581,-0.0630011656744661,7.33229613767638e-07,8.045121928111634e-07,-0.3006778226176859,-0.06770610595860194,7.149410297971234e-07,7.403162474805003e-07,-0.36647903914541285,-0.1504308145924649,6.986431896309876e-07,6.931706657805038e-07,-0.3460692764882591,-0.43688512291885717,6.981094047672827e-07,7.07463474824422e-07
74.0,0.07949004009320243,-0.061075608839767884,8.642629823477879e-07,1.0827347755393671e-06,0.2202190196240237,-0.06381522588316106,9.329916354400387e-07,1.2463496757347457e-06,0.27009807975307437,-0.14474799169590355,9.612285982636735e-07,1.3100929380253197e-06,0.16406872163091132,-0.428764125019536,9.051830436252697e-07,1.1782952866854149e-06
75.0,0.12502601629812168,-0.05859425383792935,8.594628790955564e-07,1.1331779337794184e-06,-0.009715395060257242,-0.06309389480552234,8.000059288643725e-07,9.903316469242435e-07,-0.20844621568639812,-0.14559730134911017,7.316538429063932e-07,8.118446980389792e-07,-0.06134811020606496,-0.42386524482202304,7.810493048386146e-07,9.404957866032838e-07
76.0,-0.29043848793286076,-0.06164483586549424,7.265801714275018e-07,7.479355349587595e-07,-0.18844672623449166,-0.06474327416642983,7.593988606137759e-07,8.282446259741608e-07,-0.04918794973977963,-0.1443287572489874,8.076179471532617e-07,9.520021843208024e-07,-0.22953588078473344,-0.4213082795057429,7.418442649355461e-07,7.949024464033753e-07
77.0,0.3321915235564207,-0.05653007795092392,9.902779593190376e-07,1.3940198105801754e-06,0.295377386726057,-0.06006638246652741,9.602249500624058e-07,1.3436333324033644e-06,0.1280617243850422,-0.14079121852646753,8.66692392234099e-07,1.1366231578984774e-06,0.237814122948592,-0.41274824830503726,9.322194436171791e-07,1.2684733908180928e-06
78.0,-0.20765660591801446,-0.0584675975402456,7.357321296287992e-07,8.124859916955094e-07,-0.29863429863725105,-0.0631249454943572,7.152830125287638e-07,7.418306483155332e-07,-0.360733617835953,-0.14361099287658916,7.008432843776658e-07,6.971646859722985e-07,-0.3586196718844766,-0.41205429219708134,6.959798339025855e-07,6.986400132693975e-07
79.0,0.06442341559365959,-0.05691201509551262,8.574897971591942e-07,1.0665438944869091e-06,0.21571700464759,-0.05959530055585154,9.306254438320902e-07,1.2407512024897945e-06,0.2767425160142787,-0.13829006238429967,9.64306732581832e-07,1.3188267505465292e-06,0.19209071691268859,-0.40440688701847666,9.198124569424586e-07,1.2117804409605146e-06
