Q,lag_support_rotations,lag_line_strokes,signed_overlap,line_overlap_absolute
522.25,0.0,0.0,1.0,1.0
522.25,0.001388888888888889,0.006211180124223602,0.9998054148649601,0.9998054148649601
522.25,0.002777777777777778,0.012422360248447204,0.9992217693039832,0.9992217693039832
522.25,0.004166666666666667,0.018633540372670808,0.9982493488541798,0.9982493488541798
522.25,0.005555555555555556,0.024844720496894408,0.9968886051362824,0.9968886051362824
522.25,0.006944444444444444,0.03105590062111801,0.9951401553520455,0.9951401553520455
522.25,0.008333333333333333,0.037267080745341616,0.9930048163563747,0.9930048163563747
522.25,0.009722222222222222,0.043478260869565216,0.9904836033703717,0.9904836033703717
522.25,0.011111111111111112,0.049689440993788817,0.9875776950517269,0.9875776950517269
522.25,0.0125,0.055900621118012424,0.9842884322423453,0.9842884322423453
522.25,0.013888888888888888,0.06211180124223602,0.9806173251430599,0.9806173251430599
522.25,0.015277777777777777,0.06832298136645962,0.9765660921674761,0.9765660921674761
522.25,0.016666666666666666,0.07453416149068323,0.9721366176366062,0.9721366176366062
522.25,0.018055555555555554,0.08074534161490682,0.9673309425321542,0.9673309425321542
522.25,0.019444444444444445,0.08695652173913043,0.9621512621999478,0.9621512621999478
522.25,0.020833333333333332,0.09316770186335403,0.9565999548911402,0.9565999548911402
522.25,0.022222222222222223,0.09937888198757763,0.9506795769349031,0.9506795769349031
522.25,0.02361111111111111,0.10559006211180123,0.9443928341306986,0.9443928341306986
522.25,0.025,0.11180124223602485,0.9377425783609094,0.9377425783609094
522.25,0.02638888888888889,0.11801242236024845,0.9307318125416331,0.9307318125416331
522.25,0.027777777777777776,0.12422360248447203,0.9233637153353229,0.9233637153353229
522.25,0.029166666666666667,0.13043478260869565,0.9156416121356771,0.9156416121356771
522.25,0.030555555555555555,0.13664596273291924,0.9075689646976097,0.9075689646976097
522.25,0.03194444444444444,0.14285714285714285,0.8991493675541112,0.8991493675541112
522.25,0.03333333333333333,0.14906832298136646,0.8903865671334066,0.8903865671334066
522.25,0.034722222222222224,0.15527950310559005,0.8812844533192055,0.8812844533192055
522.25,0.03611111111111111,0.16149068322981364,0.8718470438927467,0.8718470438927467
522.25,0.0375,0.16770186335403725,0.8620784780685151,0.8620784780685151
522.25,0.03888888888888889,0.17391304347826086,0.8519830196214873,0.8519830196214873
522.25,0.04027777777777778,0.18012422360248448,0.8415650623155286,0.8415650623155286
522.25,0.041666666666666664,0.18633540372670807,0.8308291215037893,0.8308291215037893
522.25,0.043055555555555555,0.19254658385093168,0.8197798221049193,0.8197798221049193
522.25,0.044444444444444446,0.19875776397515527,0.8084218944340347,0.8084218944340347
522.25,0.04583333333333333,0.20496894409937885,0.7967601835434993,0.7967601835434993
522.25,0.04722222222222222,0.21118012422360247,0.7847996369797728,0.7847996369797728
522.25,0.04861111111111111,0.21739130434782608,0.772545304705566,0.772545304705566
522.25,0.05,0.2236024844720497,0.7600023298324986,0.7600023298324986
522.25,0.05138888888888889,0.22981366459627328,0.747175950685476,0.747175950685476
522.25,0.05277777777777778,0.2360248447204969,0.7340714883938552,0.7340714883938552
522.25,0.05416666666666667,0.24223602484472048,0.7206943579446654,0.7206943579446654
522.25,0.05555555555555555,0.24844720496894407,0.7070500555389053,0.7070500555389053
522.25,0.05694444444444444,0.2546583850931677,0.6931441545044668,0.6931441545044668
522.25,0.058333333333333334,0.2608695652173913,0.6789823071115043,0.6789823071115043
522.25,0.059722222222222225,0.2670807453416149,0.6645702293485414,0.6645702293485414
522.25,0.06111111111111111,0.27329192546583847,0.649913713675433,0.649913713675433
522.25,0.0625,0.2795031055900621,0.6350186183527257,0.6350186183527257
522.25,0.06388888888888888,0.2857142857142857,0.6198908688437939,0.6198908688437939
522.25,0.06527777777777778,0.2919254658385093,0.6045364342038451,0.6045364342038451
522.25,0.06666666666666667,0.2981366459627329,0.5889613506842674,0.5889613506842674
522.25,0.06805555555555555,0.3043478260869565,0.57317170986974,0.57317170986974
522.25,0.06944444444444445,0.3105590062111801,0.5571736551409427,0.5571736551409427
522.25,0.07083333333333333,0.3167701863354037,0.5409733783447069,0.5409733783447069
522.25,0.07222222222222222,0.3229813664596273,0.524577105379821,0.524577105379821
522.25,0.07361111111111111,0.32919254658385094,0.5079911150363997,0.5079911150363997
522.25,0.075,0.3354037267080745,0.491221728589083,0.491221728589083
522.25,0.0763888888888889,0.34161490683229817,0.47427531004238055,0.47427531004238055
522.25,0.07777777777777778,0.34782608695652173,0.45715824016095696,0.45715824016095696
522.25,0.07916666666666666,0.3540372670807453,0.43987694480645434,0.43987694480645434
522.25,0.08055555555555556,0.36024844720496896,0.42243788406639343,0.42243788406639343
522.25,0.08194444444444444,0.3664596273291925,0.40484754946455176,0.40484754946455176
522.25,0.08333333333333333,0.37267080745341613,0.3871124564208974,0.3871124564208974
522.25,0.08472222222222223,0.37888198757763975,0.3692391374187116,0.3692391374187116
522.25,0.08611111111111111,0.38509316770186336,0.351234158299064,0.351234158299064
522.25,0.0875,0.3913043478260869,0.33310410932745993,0.33310410932745993
522.25,0.08888888888888889,0.39751552795031053,0.3148556031925552,0.3148556031925552
