Q,stroke_phase,delta_x_mean,delta_x_std,delta_Theta_mean,delta_Theta_std,delta_Delta_mean,delta_Delta_std,delta_rho1_mean,delta_rho1_std,delta_rho2_mean,delta_rho2_std,delta_rho_sym_mean,delta_rho_sym_std,delta_rho_asym_mean,delta_rho_asym_std,delta_activity_mean,delta_activity_std,delta_kappa_mean,delta_kappa_std,H_total_mean,H_total_std,H_open_mean,H_open_std,H_phase_mean,H_phase_std,H_kappa_mean,H_kappa_std
522.25,0.0020833333333333333,-0.0075325314736181355,0.002317581619198108,-0.39517689329212974,0.07552381557331532,1.185530679876389,0.22657144671994586,0.03166200752389441,0.0008767401486284124,0.0038511583607587128,0.0006924270129199064,0.025111600418440985,0.0003940146390485609,0.01966524003380948,0.001045409451197753,-0.2471377860342284,0.04723146894493955,-0.0013221293475315053,0.0004067879018857378,-2.9580587755699663,0.19108292675549457,-3.0021737887536504,0.19180106811300984,0.03967217603195023,0.018569384224430382,0.004442837151733739,0.0020966906076636082
522.25,0.00625,-0.007696065825961335,0.002311148314601756,-0.4004738632426024,0.07494208805543207,1.2014215897278078,0.2248262641662962,0.03170896976930342,0.0008188707435361409,0.0038015642778317987,0.0007058348163680103,0.025109739428285108,0.00039980256897302857,0.01973351566834228,0.0010044451147072512,-0.2504504328377035,0.04686766494999353,-0.0013508333187422165,0.00040565871167415525,-2.9566666100863674,0.19493981461898574,-3.0022252407653762,0.19245740251182483,0.040969329074821224,0.01877608194588853,0.004589301604189247,0.0021207148222297475
522.25,0.010416666666666666,-0.007858833962801685,0.002303782498753359,-0.4057084138372335,0.07432253510893655,1.2171252415117004,0.22296760532680962,0.0317483757492171,0.0007629554858895254,0.0037506765814807773,0.0007192856927114105,0.0251016206287326,0.0004157421803159065,0.019797362939127316,0.0009626169646824394,-0.2537240435170648,0.0464802055523007,-0.0013794028018321131,0.0004043658446830531,-2.952331074474093,0.20342932475772052,-2.9993532957312685,0.19782590405087935,0.04228436875122487,0.01896650715250937,0.0047378525059488304,0.002142913531238527
522.25,0.014583333333333334,-0.00802113601616862,0.0022959009098835513,-0.41090674883529515,0.07368230165398441,1.2327202465058857,0.2210469049619532,0.03178352745651565,0.0007105880609485409,0.003699073314110106,0.0007327552227970863,0.025089987619044504,0.00044102175260659726,0.019858707970017597,0.0009205245366783121,-0.2569750054915199,0.04607981284016579,-0.00140789047674892,0.0004029824478812679,-2.946344693737523,0.21617355020484003,-2.9948406901398963,0.20774759597607895,0.04360852573658068,0.0191479373571659,0.004887470665793344,0.002164104499375126
522.25,0.01875,-0.008182897505982169,0.0022874308304186,-0.4160634762354585,0.07301846773612544,1.2481904287063759,0.21905540320837627,0.03181382217423626,0.0006628398769878646,0.0036466562030625024,0.000746243362138196,0.02507434472470688,0.0004744500811534226,0.01991719406502392,0.000878141775884804,-0.26019994667825697,0.04566466069579772,-0.0014362832705569469,0.0004014957576927491,-2.938475123541588,0.23258301532436676,-2.9884562642864494,0.22172742976451917,0.044942859621797455,0.019319039745322664,0.005038281123061884,0.0021841384683597025
522.25,0.022916666666666665,-0.008343710341420122,0.0022780202939232763,-0.4211507980439254,0.07231686659384667,1.2634523941317757,0.21695059978154008,0.03183629811791565,0.0006204698537213756,0.0035929571205058184,0.000759739219965095,0.025052266631476815,0.0005146629140595515,0.01997105794263251,0.000835050062344724,-0.26338148265429084,0.0452258895510376,-0.0014645095541027827,0.00039984399606121,-2.9275908027953337,0.25195629611228526,-2.9790729983159507,0.23906616936441577,0.046291428190223055,0.019473257299978872,0.005190767330393921,0.002202274640049531
522.25,0.027083333333333334,-0.00850390674297259,0.002268002026848884,-0.4261957264879329,0.0715910359667874,1.278587179463799,0.2147731079003621,0.0318542214451289,0.0005862680266531876,0.0035385349962366265,0.0007732584056681401,0.025026458084573423,0.0005608439851580028,0.020022213901963758,0.0007918919025500555,-0.26653650645765764,0.04477196568383735,-0.0014926276395835077,0.00039808556399134723,-2.914978733604422,0.2739478361131794,-2.9679693355647894,0.25940386319386205,0.047646567442507774,0.019616937856213962,0.005344034517860247,0.0022192268076858417
522.25,0.03125,-0.008663405510866036,0.002257295820841491,-0.43119308855187566,0.07083778140641098,1.2935792656556269,0.21251334421923287,0.03186707270008857,0.0005622868026815074,0.0034833113006070855,0.0007868056210869,0.02499649624444034,0.000612058987802901,0.020070350161154302,0.0007487411630820244,-0.2696617829619172,0.04430089133828704,-0.0015206232746054946,0.00039620638310605385,-2.9004464667927157,0.29811304962505725,-2.954953341355895,0.2822367382819282,0.049008735795393124,0.019748701342549826,0.005498138767785812,0.0022348397998126312
522.25,0.035416666666666666,-0.008821641184538726,0.0022454205910264874,-0.4361068571045578,0.070038844962599,1.3083205713136734,0.2101165348877971,0.03187123386880655,0.0005502346931855146,0.003426738377914053,0.0008003409383897374,0.024959435537790696,0.0006677010470143902,0.02011329564904026,0.0007053220165735717,-0.27273478130199164,0.043801248119961965,-0.001548397208072857,0.0003941220121476202,-2.882650689490157,0.3240534515183134,-2.938685290001489,0.3071064709923119,0.05038112736877252,0.01985890588485927,0.005653473142562302,0.002248031070194853
522.25,0.03958333333333333,-0.008979154505945301,0.002232927025386133,-0.4409739930815776,0.06921662265564404,1.3229219792447326,0.20764986796693216,0.031870654269931666,0.000551833406454407,0.0033694417297692606,0.0008138467142960244,0.024918510851053448,0.0007265712311660678,0.020153400659187908,0.0006625411903356149,-0.2757786163269481,0.04328704229899707,-0.0015760443524078238,0.00039192910929068887,-2.8630884888564503,0.3513447671374415,-2.9206560728894577,0.33353941601392895,0.051758207080641945,0.019957285745500354,0.005809376952366014,0.0022598901601230234
