history,phase_center_radians,sample_count,mean_support_power,mean_dissipation_power,mean_net_power,mean_activity,mean_xdot
high_history,1.898045561543833,0,nan,nan,nan,nan,nan
high_history,2.0289452554434075,0,nan,nan,nan,nan,nan
high_history,2.159844949342982,0,nan,nan,nan,nan,nan
high_history,2.290744643242557,0,nan,nan,nan,nan,nan
high_history,2.421644337142132,0,nan,nan,nan,nan,nan
high_history,2.5525440310417067,0,nan,nan,nan,nan,nan
high_history,2.6834437249412812,0,nan,nan,nan,nan,nan
high_history,2.814343418840856,0,nan,nan,nan,nan,nan
high_history,2.9452431127404304,0,nan,nan,nan,nan,nan
high_history,3.0761428066400054,15997,7.022238240851827e-09,7.012680311146252e-09,9.557929705575567e-12,0.0029645815955659533,3.530353124482633e-05
