history,period,amplitude_half_peak_to_peak,x_std,mean_support_power,mean_dissipation_power,mean_net_power,mean_abs_support_power,mean_local_excess_energy
low_history,18,6.21578775034104e-07,4.493369359859142e-07,7.245314991817845e-14,6.529179706801066e-14,7.161352850167791e-15,1.7173421253142814e-13,3.546214391839574e-13
low_history,19,6.249396526936124e-07,4.3250449763190336e-07,5.81891367447696e-14,7.319865785719407e-14,-1.500952111242448e-14,1.705409058204247e-13,3.473774063431579e-13
low_history,20,6.286164589419663e-07,4.4096284487872425e-07,9.041548867660856e-14,7.205627801720109e-14,1.8359210659407462e-14,1.8518128748409375e-13,3.551013865287643e-13
low_history,21,6.329223756762481e-07,4.54335814181065e-07,5.580736897620935e-14,6.902371052374916e-14,-1.3216341547539811e-14,1.7429443773602905e-13,3.659384734501908e-13
low_history,22,6.365281066400552e-07,4.338754825742517e-07,8.237625260385123e-14,7.83824576878586e-14,3.993794915992632e-15,1.8273274010925626e-13,3.565508826764426e-13
low_history,23,6.41121730454719e-07,4.6320635529259984e-07,7.7911401360739e-14,6.954907858012337e-14,8.362322780615633e-15,1.8292494100070703e-13,3.771000075350248e-13
low_history,24,6.445878177052666e-07,4.4662987234340133e-07,6.129542932666678e-14,7.766915073526296e-14,-1.637372140859617e-14,1.8129509071075394e-13,3.698604569610949e-13
low_history,25,6.483746730623352e-07,4.5418984539229853e-07,9.631100000306055e-14,7.688163306525837e-14,1.942936693780217e-14,1.9719608605450132e-13,3.773748049731075e-13
low_history,26,6.529789055020885e-07,4.6905177357571057e-07,5.978039317101073e-14,7.325789056927927e-14,-1.347749739826855e-14,1.8542221677064522e-13,3.8956415733011783e-13
low_history,27,6.565100632571763e-07,4.4738963818370275e-07,8.682912981352401e-14,8.342475421968283e-14,3.4043755938411656e-15,1.9408677756169494e-13,3.7923735925230787e-13
low_history,28,6.610959920605453e-07,4.774820861354949e-07,8.37666791001717e-14,7.409392280844179e-14,9.67275629172991e-15,1.9490554486534605e-13,4.009832493650745e-13
low_history,29,6.649806072733799e-07,4.612337306237747e-07,6.459017529892819e-14,8.240846213835492e-14,-1.7818286839426702e-14,1.9269844173443026e-13,3.9382024211768707e-13
low_history,30,6.685764347702516e-07,4.678217193027199e-07,1.0255383848685644e-13,8.20305246921796e-14,2.0523313794676855e-14,2.0995680913118538e-13,4.010535864759514e-13
low_history,31,6.733531058844555e-07,4.842233824953653e-07,6.406956166732928e-14,7.775923686684106e-14,-1.3689675199511785e-14,1.9727502199855932e-13,4.147051922017304e-13
low_history,32,6.771232029800789e-07,4.613535241877679e-07,9.149739447361061e-14,8.87805917627494e-14,2.7168027108612162e-15,2.0606360136661947e-13,4.033788486119986e-13
low_history,33,6.818811770226141e-07,4.921715364565219e-07,9.00445116350766e-14,7.894566184641149e-14,1.1098849788665109e-14,2.077092886810357e-13,4.2635908606270254e-13
low_history,34,6.8588701471195e-07,4.7632440805715833e-07,6.808604113543552e-14,8.74302591808368e-14,-1.934421804540128e-14,2.0494665956786149e-13,4.193343395087544e-13
low_history,35,6.895956985442098e-07,4.81863246560823e-07,1.0915760209674313e-13,8.752068369076909e-14,2.163691840597402e-14,2.233313322204171e-13,4.262215149487816e-13
low_history,36,6.944934496655453e-07,4.998621183124784e-07,6.869790977273751e-14,8.254394486526306e-14,-1.384603509252554e-14,2.1001298354478568e-13,4.4145605045904946e-13
low_history,37,6.985724552988071e-07,4.7578101741121213e-07,9.639138710227863e-14,9.446793541977332e-14,1.9234516825053183e-15,2.1884610353610633e-13,4.290767189447198e-13
low_history,38,7.034445617948304e-07,5.072814502539199e-07,9.677028866736721e-14,8.412332956421555e-14,1.2646959103151671e-14,2.212481821100868e-13,4.5332164523217066e-13
