Numberline_Q,Type,Step,E,Q,dt,||F||
1,Stiffness,611000,1.053e-15,1.000000000000e+00,1.306e-03,8.716e-07
2,Stiffness,718500,6.028e-16,2.000000000000e+00,9.750e-04,8.278e-07
3,Stiffness,830000,6.034e-16,3.000000000000e+00,8.665e-04,8.301e-07
4,Stiffness,956000,6.039e-16,4.000000000000e+00,9.018e-04,8.382e-07
5,Stiffness,1115500,8.462e-16,5.000000000000e+00,1.425e-03,1.009e-06
6,Stiffness,1313000,1.008e-15,6.000000000000e+00,1.096e-03,8.074e-07
7,Stiffness,1598500,6.917e-16,7.000000000000e+00,8.998e-04,7.285e-07
8,Stiffness,3174500,4.558e-16,8.000000000000e+00,7.881e-04,4.270e-07
9,Stiffness,2970500,5.408e-16,9.000000000000e+00,9.982e-04,4.029e-07
10,Stiffness,2919000,1.340e-15,1.000000000000e+01,1.358e-03,3.459e-07
11,Stiffness,3058500,6.650e-16,1.100000000000e+01,8.911e-04,3.474e-07
12,Stiffness,3351000,8.135e-16,1.200000000000e+01,1.300e-03,3.191e-07
13,Stiffness,2226500,9.341e-16,1.300000000000e+01,1.426e-03,1.350e-06
14,Stiffness,1495000,6.942e-16,1.400000000000e+01,9.994e-04,1.196e-06
15,Stiffness,1148000,6.482e-16,1.500000000000e+01,7.804e-04,1.308e-06
16,Stiffness,947000,1.064e-15,1.600000000000e+01,8.512e-04,1.397e-06
17,Stiffness,813000,5.725e-16,1.700000000000e+01,7.435e-04,1.495e-06
18,Stiffness,723500,4.057e-16,1.800000000000e+01,1.119e-03,1.487e-06
19,Stiffness,648000,1.025e-15,1.900000000000e+01,1.271e-03,1.614e-06
20,Stiffness,593000,9.747e-16,2.000000000000e+01,1.448e-03,5.614e-06
21,Stiffness,544000,1.045e-15,2.100000000000e+01,1.411e-03,1.801e-06
22,Stiffness,508000,8.869e-16,2.200000000000e+01,7.783e-04,1.810e-06
23,Stiffness,475500,6.365e-16,2.300000000000e+01,1.371e-03,1.898e-06
24,Stiffness,449000,1.627e-15,2.400000000000e+01,1.435e-03,2.385e-06
25,Stiffness,426500,7.815e-16,2.500000000000e+01,1.336e-03,1.961e-06
26,Stiffness,404500,7.518e-16,2.600000000000e+01,8.324e-04,2.068e-06
27,Stiffness,386500,3.621e-16,2.700000000000e+01,1.236e-03,2.116e-06
28,Stiffness,368500,5.240e-16,2.800000000000e+01,1.102e-03,2.247e-06
29,Stiffness,355000,6.749e-16,2.900000000000e+01,1.304e-03,2.256e-06
30,Stiffness,340000,1.305e-15,3.000000000000e+01,1.199e-03,2.405e-06
31,Stiffness,328000,6.319e-16,3.100000000000e+01,8.191e-04,2.464e-06
32,Stiffness,316000,1.072e-15,3.200000000000e+01,1.004e-03,2.595e-06
33,Stiffness,307000,4.455e-16,3.300000000000e+01,9.826e-04,2.582e-06
34,Stiffness,295500,1.154e-15,3.400000000000e+01,1.160e-03,2.802e-06
35,Stiffness,287500,1.401e-15,3.500000000000e+01,1.312e-03,2.823e-06
