Q,anchor_index,anchor_s,phase_index,loop_phase,s_value,PC1,PC2,PC3
522.25,0,1165.777520408083,0,0.0,1165.777520408083,0.002196998550258263,-0.0011197026296602861,-1.377343791909433e-07
522.25,0,1165.777520408083,1,0.004166666666666667,1165.778452121046,0.002215996638549668,-0.0010983361974444335,-1.4279964561306484e-07
522.25,0,1165.777520408083,2,0.008333333333333333,1165.779383834009,0.002234836620271519,-0.0010768896015915137,-1.4781843568197785e-07
522.25,0,1165.777520408083,3,0.0125,1165.780315546972,0.0022537762653930785,-0.00105549547993102,-1.5284430231471136e-07
522.25,0,1165.777520408083,4,0.016666666666666666,1165.7812472599348,0.0022726191586401826,-0.0010340599991954865,-1.5783467529391344e-07
522.25,0,1165.777520408083,5,0.020833333333333332,1165.782178972898,0.0022918717670283124,-0.0010127887902974173,-1.629207948799016e-07
522.25,0,1165.777520408083,6,0.025,1165.783110685861,0.0023105037658569154,-0.0009912679432877844,-1.6783082487713251e-07
522.25,0,1165.777520408083,7,0.029166666666666667,1165.7840423988239,0.0023268810376313623,-0.0009688367660236326,-1.7213679188101052e-07
522.25,0,1165.777520408083,8,0.03333333333333333,1165.7849741117868,0.0023428063443562616,-0.0009462221236617267,-1.7631076393234474e-07
522.25,0,1165.777520408083,9,0.0375,1165.7859058247498,0.0023591124274665505,-0.0009237627691972644,-1.8057144490860296e-07
522.25,0,1165.777520408083,10,0.041666666666666664,1165.7868375377127,0.0023753084738397847,-0.0009012606649040513,-1.847881364725865e-07
522.25,0,1165.777520408083,11,0.04583333333333333,1165.7877692506756,0.0023916378140899195,-0.0008787995236821275,-1.890310847769249e-07
522.25,0,1165.777520408083,12,0.05,1165.7887009636386,0.0024077222431330325,-0.0008562609323113249,-1.9318807398901803e-07
522.25,0,1165.777520408083,13,0.05416666666666667,1165.7896326766015,0.002422731754721419,-0.0008333724435901045,-1.970171910833588e-07
522.25,0,1165.777520408083,14,0.058333333333333334,1165.7905643895647,0.002436559489213612,-0.0008101003261143843,-2.0048448132835363e-07
522.25,0,1165.777520408083,15,0.0625,1165.7914961025276,0.0024498107434867637,-0.0007866398389287821,-2.0376798764197845e-07
522.25,0,1165.777520408083,16,0.06666666666666667,1165.7924278154906,0.002463210657590759,-0.000763226692339807,-2.0708137660147335e-07
522.25,0,1165.777520408083,17,0.07083333333333333,1165.7933595284535,0.002476519385317144,-0.0007397930967423848,-2.103506176183422e-07
522.25,0,1165.777520408083,18,0.075,1165.7942912414164,0.002490023084859885,-0.0007164058534415701,-2.136664928079433e-07
522.25,0,1165.777520408083,19,0.07916666666666666,1165.7952229543794,0.0025036970975417677,-0.0006930623048375811,-2.170212496292748e-07
522.25,0,1165.777520408083,20,0.08333333333333333,1165.7961546673423,0.002515290009985575,-0.0006691939684107584,-2.1970681653792012e-07
522.25,0,1165.777520408083,21,0.0875,1165.7970863803052,0.002525329188574425,-0.0006449328972427142,-2.2188841743595786e-07
522.25,0,1165.777520408083,22,0.09166666666666666,1165.7980180932682,0.002535782094425969,-0.0006207760346494295,-2.2418433649185178e-07
522.25,0,1165.777520408083,23,0.09583333333333333,1165.7989498062313,0.0025462658079452747,-0.0005966302205131226,-2.2647432632962124e-07
522.25,0,1165.777520408083,24,0.1,1165.7998815191943,0.0025567419185618784,-0.0005724759156244453,-2.2874745823505958e-07
522.25,0,1165.777520408083,25,0.10416666666666667,1165.8008132321572,0.002567287106824412,-0.0005483362937046449,-2.3102540188335646e-07
522.25,0,1165.777520408083,26,0.10833333333333334,1165.8017449451202,0.002576981662577626,-0.0005240402681580377,-2.330106589275599e-07
522.25,0,1165.777520408083,27,0.1125,1165.802676658083,0.0025853889474534517,-0.0004995070648460933,-2.3455929091787073e-07
522.25,0,1165.777520408083,28,0.11666666666666667,1165.803608371046,0.00259280215098255,-0.00047479105423016643,-2.3576655436934087e-07
522.25,0,1165.777520408083,29,0.12083333333333333,1165.804540084009,0.002600171009405796,-0.0004500645704656244,-2.3694288968791273e-07
522.25,0,1165.777520408083,30,0.125,1165.805471796972,0.002607598232885227,-0.0004253539841550019,-2.3812141259257165e-07
522.25,0,1165.777520408083,31,0.12916666666666665,1165.8064035099349,0.00261496930330147,-0.00040063388349131164,-2.392654849471368e-07
522.25,0,1165.777520408083,32,0.13333333333333333,1165.807335222898,0.002622829575442367,-0.00037597162242472055,-2.4055499496912245e-07
522.25,0,1165.777520408083,33,0.1375,1165.808266935861,0.002629531889931672,-0.0003511723038091411,-2.4144425983764434e-07
522.25,0,1165.777520408083,34,0.14166666666666666,1165.809198648824,0.0026337915937574034,-0.0003260822794862559,-2.4151036060687553e-07
522.25,0,1165.777520408083,35,0.14583333333333334,1165.8101303617868,0.002637919113626245,-0.000300975627005793,-2.4151470358921355e-07
522.25,0,1165.777520408083,36,0.15,1165.8110620747498,0.0026423779345024464,-0.0002759104788762783,-2.4161244140422664e-07
522.25,0,1165.777520408083,37,0.15416666666666667,1165.8119937877127,0.0026467116548194664,-0.000250830340695701,-2.416525800528123e-07
522.25,0,1165.777520408083,38,0.15833333333333333,1165.8129255006756,0.002651217078018374,-0.00022575926371780117,-2.417309446479006e-07
522.25,0,1165.777520408083,39,0.1625,1165.8138572136386,0.0026552779852293163,-0.00020066492377617193,-2.4164751918264783e-07
522.25,0,1165.777520408083,40,0.16666666666666666,1165.8147889266015,0.002658089669745264,-0.00017550046665834989,-2.411398418480734e-07
522.25,0,1165.777520408083,41,0.17083333333333334,1165.8157206395645,0.002659649928639241,-0.0001502669061336376,-2.402073479432255e-07
