Numberline_Q,Type,Step,E,Q,dt,||F||
100,Stiffness,134000,6.289e-16,1.000000000000e+02,1.141e-03,7.189e-06
145,Stiffness,78000,1.757e-15,1.450000000000e+02,8.103e-04,7.696e-06
146,Stiffness,77500,1.222e-15,1.460000000000e+02,7.271e-04,6.632e-06
147,Stiffness,78000,5.203e-16,1.470000000000e+02,9.379e-04,5.158e-06
148,Stiffness,79500,8.616e-16,1.480000000000e+02,1.082e-03,3.538e-06
149,Stiffness,84000,3.424e-16,1.490000000000e+02,1.198e-03,1.725e-06
150,Stiffness,98000,5.103e-16,1.500000000000e+02,7.553e-04,2.739e-07
151,Converged,115852,8.407592695290e+01,1.510000000000e+02,1.017e-03,4.999e-08
152,Converged,128816,8.461029782121e+01,1.520000000000e+02,9.249e-04,4.999e-08
153,Converged,135418,8.514443430646e+01,1.530000000000e+02,9.144e-04,4.999e-08
154,Converged,139583,8.567833712726e+01,1.540000000000e+02,9.419e-04,5.000e-08
155,Converged,142638,8.621200699691e+01,1.550000000000e+02,8.397e-04,4.998e-08
160,Converged,150347,8.887688668315e+01,1.600000000000e+02,8.288e-04,5.000e-08
165,Converged,153441,9.153604667254e+01,1.650000000000e+02,8.552e-04,4.999e-08
170,Converged,154815,9.418957060300e+01,1.700000000000e+02,9.865e-04,5.000e-08
175,Converged,155420,9.683753931531e+01,1.750000000000e+02,8.837e-04,4.998e-08
180,Converged,155421,9.948003103478e+01,1.800000000000e+02,8.837e-04,5.000e-08
185,Converged,155106,1.021171215356e+02,1.850000000000e+02,9.865e-04,4.999e-08
190,Converged,154516,1.047488842900e+02,1.900000000000e+02,9.178e-04,4.998e-08
195,Converged,153909,1.073753906040e+02,1.950000000000e+02,9.881e-04,4.999e-08
200,Converged,153062,1.099967097415e+02,2.000000000000e+02,9.898e-04,5.000e-08
250,Converged,144013,1.359385858869e+02,2.500000000000e+02,9.343e-04,4.998e-08
300,Converged,135696,1.614261900023e+02,3.000000000000e+02,8.192e-04,4.999e-08
350,Converged,128865,1.865068702366e+02,3.500000000000e+02,9.590e-04,4.996e-08
400,Converged,123265,2.112199179338e+02,4.000000000000e+02,9.684e-04,4.996e-08
450,Converged,118643,2.355987320129e+02,4.500000000000e+02,8.745e-04,4.996e-08
500,Converged,114700,2.596721745481e+02,5.000000000000e+02,1.137e-03,4.999e-08
550,Converged,111358,2.834654866792e+02,5.500000000000e+02,1.102e-03,4.999e-08
600,Converged,108629,3.070009436931e+02,6.000000000000e+02,9.231e-04,4.995e-08
650,Converged,105972,3.302983443463e+02,6.500000000000e+02,9.971e-04,4.999e-08
700,Converged,103830,3.533753888267e+02,7.000000000000e+02,9.306e-04,4.997e-08
750,Converged,101800,3.762479784400e+02,7.500000000000e+02,1.081e-03,4.996e-08
800,Converged,99984,3.989304581770e+02,8.000000000000e+02,9.367e-04,4.997e-08
850,Converged,98199,4.214358163210e+02,8.500000000000e+02,9.743e-04,5.000e-08
900,Converged,96764,4.437758509066e+02,9.000000000000e+02,1.013e-03,4.993e-08
950,Converged,95173,4.659613100743e+02,9.500000000000e+02,9.443e-04,4.998e-08
1000,Converged,93712,4.880020114946e+02,1.000000000000e+03,1.018e-03,4.990e-08
1050,Converged,92094,5.099069447818e+02,1.050000000000e+03,9.153e-04,5.000e-08
1100,Converged,90522,5.316843598966e+02,1.100000000000e+03,9.871e-04,4.993e-08
1150,Converged,88755,5.533418439046e+02,1.150000000000e+03,1.027e-03,4.992e-08
1200,Converged,86533,5.748863879547e+02,1.200000000000e+03,9.583e-04,4.997e-08
1250,Converged,83687,5.963244459923e+02,1.250000000000e+03,9.629e-04,4.997e-08
1300,Converged,79531,6.176619864342e+02,1.300000000000e+03,9.017e-04,4.993e-08
1305,Converged,79026,6.197904284441e+02,1.305000000000e+03,9.708e-04,4.998e-08
1310,Converged,78771,6.219179261910e+02,1.310000000000e+03,9.364e-04,4.989e-08
1315,Converged,78404,6.240444849359e+02,1.315000000000e+03,1.045e-03,4.997e-08
1320,Converged,78330,6.261701098989e+02,1.320000000000e+03,8.711e-04,4.998e-08
1325,Converged,78163,6.282948062629e+02,1.325000000000e+03,1.008e-03,4.999e-08
1330,Converged,78191,6.304185791713e+02,1.330000000000e+03,8.401e-04,4.997e-08
1331,Converged,78201,6.308432233883e+02,1.331000000000e+03,9.724e-04,4.999e-08
1332,Converged,78199,6.312678309121e+02,1.332000000000e+03,8.401e-04,4.996e-08
1333,Converged,78277,6.316924017833e+02,1.333000000000e+03,8.401e-04,4.996e-08
1334,Stiffness,78000,3.597e-16,1.334000000000e+03,8.103e-04,6.249e-08
1335,Stiffness,76500,1.078e-15,1.335000000000e+03,7.283e-04,1.521e-07
1340,Stiffness,74500,7.165e-16,1.340000000000e+03,1.218e-03,1.476e-07
1345,Stiffness,72000,3.571e-16,1.345000000000e+03,9.135e-04,3.036e-07
1350,Stiffness,69500,8.897e-16,1.350000000000e+03,9.867e-04,6.181e-07
1400,Stiffness,61500,6.717e-15,1.400000000000e+03,1.116e-03,6.428e-06
1450,Stiffness,59000,1.526e-13,1.450000000000e+03,5.813e-04,7.979e-05
1500,Stiffness,58000,1.321e-13,1.500000000000e+03,1.165e-03,2.022e-05
1550,Stiffness,58000,4.874e-15,1.550000000000e+03,8.087e-04,2.265e-05
1600,Stiffness,57500,1.831e-13,1.600000000000e+03,1.254e-03,2.821e-05
1650,Stiffness,57500,1.476e-13,1.650000000000e+03,9.028e-04,3.107e-05
1700,Stiffness,57500,2.506e-13,1.700000000000e+03,1.083e-03,3.393e-05
1750,Stiffness,58000,4.401e-14,1.750000000000e+03,8.385e-04,3.316e-05
1800,Stiffness,58000,1.477e-13,1.800000000000e+03,8.385e-04,3.589e-05
1850,Stiffness,58500,4.416e-14,1.850000000000e+03,1.252e-03,3.488e-05
1900,Stiffness,58500,2.052e-13,1.900000000000e+03,1.121e-03,3.731e-05
1950,Stiffness,59000,5.774e-14,1.950000000000e+03,1.005e-03,3.605e-05
2000,Stiffness,59000,1.826e-13,2.000000000000e+03,8.371e-04,3.825e-05
