Numberline_Q,Type,Step,E,Q,dt,||F||
1958,Stiffness,46500,2.158e-13,1.958000000000e+03,1.188e-03,4.255e-05
1959,Stiffness,46500,2.225e-13,1.959000000000e+03,1.188e-03,4.261e-05
1960,Stiffness,46500,2.287e-13,1.960000000000e+03,1.188e-03,4.267e-05
1961,Stiffness,46500,2.321e-13,1.961000000000e+03,1.188e-03,4.270e-05
1962,Stiffness,46500,2.410e-13,1.962000000000e+03,1.188e-03,4.279e-05
1963,Stiffness,46500,2.171e-13,1.963000000000e+03,9.896e-04,4.299e-05
1964,Stiffness,46500,2.523e-13,1.964000000000e+03,1.188e-03,4.289e-05
1965,Stiffness,46500,1.658e-14,1.965000000000e+03,1.425e-03,1.280e-04
1966,Stiffness,46500,2.316e-13,1.966000000000e+03,9.896e-04,4.316e-05
1967,Stiffness,46500,2.877e-14,1.967000000000e+03,1.425e-03,1.287e-04
1968,Stiffness,46500,2.078e-13,1.968000000000e+03,8.247e-04,4.337e-05
1969,Stiffness,46500,2.470e-13,1.969000000000e+03,9.896e-04,4.334e-05
1970,Stiffness,46500,2.553e-13,1.970000000000e+03,9.896e-04,4.344e-05
1971,Stiffness,46500,1.980e-13,1.971000000000e+03,8.550e-04,4.307e-05
1972,Stiffness,46500,1.999e-13,1.972000000000e+03,8.550e-04,4.309e-05
1973,Stiffness,46500,2.684e-13,1.973000000000e+03,9.896e-04,4.357e-05
1974,Stiffness,46500,1.586e-13,1.974000000000e+03,1.425e-03,1.107e-04
1975,Stiffness,46500,2.832e-13,1.975000000000e+03,9.896e-04,4.375e-05
1976,Stiffness,46500,2.867e-13,1.976000000000e+03,9.896e-04,4.378e-05
1977,Stiffness,46500,3.369e-13,1.977000000000e+03,1.188e-03,4.370e-05
1978,Stiffness,46500,3.390e-13,1.978000000000e+03,1.188e-03,4.371e-05
1979,Stiffness,47000,3.902e-15,1.979000000000e+03,7.659e-04,3.972e-05
1980,Stiffness,46500,3.217e-13,1.980000000000e+03,1.231e-03,4.338e-05
1981,Stiffness,47000,9.529e-15,1.981000000000e+03,9.191e-04,3.978e-05
1982,Stiffness,46500,2.909e-13,1.982000000000e+03,1.026e-03,4.364e-05
1983,Stiffness,47000,1.709e-14,1.983000000000e+03,7.659e-04,3.994e-05
1984,Stiffness,47000,2.206e-14,1.984000000000e+03,9.191e-04,3.996e-05
1985,Stiffness,47000,2.227e-14,1.985000000000e+03,7.659e-04,4.002e-05
1986,Stiffness,47000,5.294e-14,1.986000000000e+03,1.277e-03,4.020e-05
1987,Stiffness,47000,3.261e-14,1.987000000000e+03,1.103e-03,4.001e-05
1988,Stiffness,47000,3.756e-14,1.988000000000e+03,9.191e-04,4.017e-05
1989,Stiffness,47000,3.862e-14,1.989000000000e+03,9.191e-04,4.017e-05
1990,Stiffness,47000,4.400e-14,1.990000000000e+03,9.191e-04,4.025e-05
1991,Stiffness,47000,4.355e-14,1.991000000000e+03,7.659e-04,4.036e-05
1992,Stiffness,47000,5.344e-14,1.992000000000e+03,9.191e-04,4.038e-05
1993,Stiffness,47000,5.858e-14,1.993000000000e+03,9.191e-04,4.045e-05
1994,Stiffness,47000,6.114e-14,1.994000000000e+03,9.191e-04,4.048e-05
1995,Stiffness,47000,5.659e-14,1.995000000000e+03,7.659e-04,4.057e-05
1996,Stiffness,47000,7.635e-14,1.996000000000e+03,1.103e-03,4.050e-05
1997,Stiffness,47000,7.696e-14,1.997000000000e+03,1.323e-03,4.033e-05
1998,Stiffness,47000,7.843e-14,1.998000000000e+03,9.191e-04,4.071e-05
1999,Stiffness,47000,9.150e-14,1.999000000000e+03,1.103e-03,4.068e-05
2000,Stiffness,47000,9.575e-14,2.000000000000e+03,1.323e-03,4.050e-05
