Numberline_Q,Type,Step,E,Q,dt,||F||
1,Stiffness,620000,1.386e-15,1.000000000000e+00,8.922e-04,7.552e-07
2,Stiffness,722000,1.735e-16,2.000000000000e+00,1.250e-03,6.828e-07
3,Stiffness,812500,9.264e-16,3.000000000000e+00,1.112e-03,7.517e-07
4,Stiffness,914500,1.043e-15,4.000000000000e+00,1.250e-03,7.967e-07
5,Stiffness,1047500,5.568e-16,5.000000000000e+00,1.196e-03,7.389e-07
6,Stiffness,1203500,8.127e-16,6.000000000000e+00,8.835e-04,7.112e-07
7,Stiffness,1382000,7.966e-16,7.000000000000e+00,1.168e-03,7.591e-07
8,Stiffness,2919000,3.500e-16,8.000000000000e+00,7.847e-04,4.192e-07
9,Stiffness,2662000,1.246e-15,9.000000000000e+00,1.217e-03,4.133e-07
10,Stiffness,2725500,4.209e-16,1.000000000000e+01,7.311e-04,4.263e-07
11,Stiffness,2491500,8.937e-16,1.100000000000e+01,1.015e-03,3.439e-07
12,Stiffness,2528500,1.054e-15,1.200000000000e+01,1.229e-03,3.562e-07
13,Stiffness,2536000,1.082e-15,1.300000000000e+01,9.747e-04,3.034e-07
14,Stiffness,2776000,8.049e-16,1.400000000000e+01,1.246e-03,2.594e-07
15,Stiffness,3113500,7.519e-16,1.500000000000e+01,7.834e-04,2.514e-07
16,Stiffness,1528000,1.051e-15,1.600000000000e+01,8.768e-04,1.176e-06
17,Stiffness,1202000,1.154e-15,1.700000000000e+01,7.113e-04,1.358e-06
18,Stiffness,1019500,4.674e-16,1.800000000000e+01,1.348e-03,1.612e-06
19,Stiffness,889000,7.384e-16,1.900000000000e+01,1.049e-03,1.285e-06
20,Stiffness,782000,8.422e-16,2.000000000000e+01,1.305e-03,1.446e-06
21,Stiffness,709000,9.362e-16,2.100000000000e+01,9.204e-04,1.469e-06
22,Stiffness,652500,3.832e-16,2.200000000000e+01,7.294e-04,1.474e-06
23,Stiffness,602500,8.556e-16,2.300000000000e+01,1.374e-03,3.378e-06
24,Stiffness,562000,8.203e-16,2.400000000000e+01,1.182e-03,1.584e-06
25,Stiffness,526000,1.238e-15,2.500000000000e+01,1.304e-03,1.674e-06
26,Stiffness,495500,6.497e-16,2.600000000000e+01,1.104e-03,1.746e-06
27,Stiffness,468000,8.345e-16,2.700000000000e+01,1.116e-03,1.853e-06
28,Stiffness,447000,1.006e-15,2.800000000000e+01,1.200e-03,1.851e-06
29,Stiffness,427500,7.777e-16,2.900000000000e+01,1.334e-03,1.935e-06
30,Stiffness,408000,5.641e-16,3.000000000000e+01,9.924e-04,1.989e-06
31,Stiffness,392500,7.281e-16,3.100000000000e+01,1.364e-03,2.918e-06
32,Stiffness,376000,8.821e-16,3.200000000000e+01,7.830e-04,2.146e-06
33,Stiffness,363000,6.846e-16,3.300000000000e+01,9.612e-04,2.188e-06
