Numberline_Q,Type,Step,E,Q,dt,||F||
1,Stiffness,613500,1.397e-15,1.000000000000e+00,1.253e-03,1.049e-06
2,Stiffness,746500,3.995e-16,2.000000000000e+00,7.738e-04,1.008e-06
3,Stiffness,899500,9.329e-16,3.000000000000e+00,1.031e-03,9.980e-07
4,Stiffness,1083500,1.200e-15,4.000000000000e+00,1.453e-03,1.073e-05
5,Stiffness,2656500,9.625e-16,5.000000000000e+00,1.321e-03,5.450e-07
6,Stiffness,2450000,5.352e-16,6.000000000000e+00,1.128e-03,4.892e-07
7,Stiffness,2307000,1.033e-15,7.000000000000e+00,9.303e-04,4.309e-07
8,Stiffness,2209500,8.042e-16,8.000000000000e+00,1.020e-03,4.695e-07
9,Stiffness,2455500,8.943e-16,9.000000000000e+00,8.058e-04,4.281e-07
10,Stiffness,2705500,1.128e-15,1.000000000000e+01,8.771e-04,3.920e-07
11,Stiffness,1306500,1.460e-15,1.100000000000e+01,1.281e-03,1.574e-06
12,Stiffness,979500,4.016e-16,1.200000000000e+01,9.322e-04,1.625e-06
13,Stiffness,795500,1.236e-16,1.300000000000e+01,9.187e-04,1.733e-06
14,Stiffness,676500,6.889e-16,1.400000000000e+01,8.106e-04,1.862e-06
15,Stiffness,591500,1.072e-15,1.500000000000e+01,1.255e-03,2.022e-06
16,Stiffness,528000,1.006e-15,1.600000000000e+01,1.300e-03,2.199e-06
17,Stiffness,481500,7.574e-16,1.700000000000e+01,1.173e-03,2.282e-06
18,Stiffness,442000,5.367e-16,1.800000000000e+01,1.008e-03,2.453e-06
19,Stiffness,413500,2.035e-15,1.900000000000e+01,6.124e-04,5.209e-05
20,Stiffness,388500,3.223e-16,2.000000000000e+01,7.394e-04,2.485e-06
21,Stiffness,364500,1.228e-15,2.100000000000e+01,1.109e-03,2.655e-06
22,Stiffness,346500,7.329e-16,2.200000000000e+01,7.942e-04,2.678e-06
23,Stiffness,329500,5.611e-16,2.300000000000e+01,1.178e-03,2.769e-06
24,Stiffness,314000,9.413e-16,2.400000000000e+01,1.399e-03,2.902e-06
25,Stiffness,301500,3.874e-16,2.500000000000e+01,1.029e-03,2.935e-06
26,Stiffness,288500,2.484e-16,2.600000000000e+01,1.462e-03,2.819e-05
27,Stiffness,278500,5.982e-16,2.700000000000e+01,1.238e-03,3.145e-06
28,Stiffness,267000,1.039e-15,2.800000000000e+01,1.409e-03,3.411e-06
29,Stiffness,258500,1.115e-16,2.900000000000e+01,1.068e-03,3.441e-06
30,Stiffness,250500,2.156e-16,3.000000000000e+01,8.385e-04,3.520e-06
31,Stiffness,242000,8.348e-16,3.100000000000e+01,1.021e-03,3.710e-06
32,Stiffness,235000,0.000e+00,3.200000000000e+01,8.006e-04,3.837e-06
33,Stiffness,228500,5.885e-16,3.300000000000e+01,8.395e-04,3.923e-06
34,Stiffness,222000,9.523e-16,3.400000000000e+01,1.056e-03,4.092e-06
35,Stiffness,216500,7.403e-16,3.500000000000e+01,1.106e-03,4.179e-06
36,Stiffness,210500,5.400e-16,3.600000000000e+01,1.077e-03,4.397e-06
37,Stiffness,205500,8.759e-16,3.700000000000e+01,1.010e-03,4.523e-06
38,Stiffness,201000,1.024e-15,3.800000000000e+01,1.267e-03,4.609e-06
39,Stiffness,196500,1.164e-15,3.900000000000e+01,1.373e-03,4.734e-06
40,Stiffness,192000,6.488e-16,4.000000000000e+01,8.614e-04,4.917e-06
41,Stiffness,188000,4.748e-16,4.100000000000e+01,1.204e-03,5.005e-06
42,Stiffness,184000,9.274e-16,4.200000000000e+01,9.741e-04,5.187e-06
43,Stiffness,181000,4.530e-16,4.300000000000e+01,8.158e-04,5.178e-06
44,Stiffness,177000,8.857e-16,4.400000000000e+01,8.211e-04,5.460e-06
45,Stiffness,174500,4.331e-16,4.500000000000e+01,3.564e-04,5.394e-06
46,Stiffness,170500,1.837e-15,4.600000000000e+01,1.196e-03,5.734e-06
47,Stiffness,168000,8.299e-16,4.700000000000e+01,8.971e-04,5.750e-06
48,Stiffness,165000,1.219e-15,4.800000000000e+01,1.208e-03,5.929e-06
49,Stiffness,162000,1.195e-15,4.900000000000e+01,1.214e-03,6.132e-06
50,Stiffness,159500,6.506e-16,5.000000000000e+01,7.586e-04,6.243e-06
51,Stiffness,157000,7.656e-16,5.100000000000e+01,9.484e-04,6.392e-06
52,Stiffness,154500,8.763e-16,5.200000000000e+01,1.229e-03,6.489e-06
53,Stiffness,152500,1.229e-16,5.300000000000e+01,8.881e-04,6.560e-06
54,Stiffness,150000,1.206e-16,5.400000000000e+01,7.710e-04,6.747e-06
55,Stiffness,148000,4.738e-16,5.500000000000e+01,8.020e-04,6.858e-06
56,Stiffness,145500,1.746e-15,5.600000000000e+01,1.393e-03,7.124e-06
57,Stiffness,144000,3.431e-16,5.700000000000e+01,1.298e-03,7.064e-06
58,Stiffness,142000,1.124e-16,5.800000000000e+01,1.256e-03,7.238e-06
59,Stiffness,140000,0.000e+00,5.900000000000e+01,7.874e-05,7.427e-06
60,Stiffness,138000,1.087e-15,6.000000000000e+01,8.465e-04,7.671e-06
61,Stiffness,136500,8.557e-16,6.100000000000e+01,9.466e-04,7.696e-06
62,Stiffness,134500,1.263e-15,6.200000000000e+01,9.159e-04,7.974e-06
63,Stiffness,133000,8.290e-16,6.300000000000e+01,9.878e-04,8.057e-06
64,Stiffness,131500,0.000e+00,6.400000000000e+01,1.278e-03,8.152e-06
65,Stiffness,129500,2.814e-15,6.500000000000e+01,1.283e-03,8.505e-06
66,Stiffness,128000,2.772e-15,6.600000000000e+01,1.153e-03,8.668e-06
67,Stiffness,127000,7.803e-16,6.700000000000e+01,1.385e-03,8.573e-06
68,Stiffness,125500,1.153e-15,6.800000000000e+01,8.646e-04,8.781e-06
69,Stiffness,124000,1.137e-15,6.900000000000e+01,7.771e-04,8.998e-06
70,Stiffness,123000,5.605e-16,7.000000000000e+01,1.297e-03,8.966e-06
71,Stiffness,121500,1.106e-15,7.100000000000e+01,8.394e-04,9.214e-06
72,Stiffness,120000,1.636e-15,7.200000000000e+01,7.544e-04,9.501e-06
73,Stiffness,119000,1.434e-15,7.300000000000e+01,1.306e-03,9.490e-06
74,Stiffness,117500,1.946e-15,7.400000000000e+01,8.149e-04,9.747e-06
75,Stiffness,116500,2.619e-15,7.500000000000e+01,9.447e-04,9.897e-06
