Numberline_Q,Type,Step,E,Q,dt,||F||
1,Stiffness,622000,1.130e-15,1.000000000000e+00,1.029e-03,7.545e-07
2,Stiffness,710500,3.772e-16,2.000000000000e+00,1.024e-03,7.384e-07
3,Stiffness,794000,1.007e-15,3.000000000000e+00,1.233e-03,7.754e-07
4,Stiffness,884500,9.449e-16,4.000000000000e+00,1.316e-03,3.057e-06
5,Stiffness,996000,7.566e-16,5.000000000000e+00,8.732e-04,7.595e-07
6,Stiffness,1123000,5.048e-16,6.000000000000e+00,7.839e-04,7.375e-07
7,Stiffness,1281000,6.495e-16,7.000000000000e+00,7.732e-04,6.908e-07
8,Stiffness,2899500,5.706e-16,8.000000000000e+00,7.516e-04,4.547e-07
9,Stiffness,2675000,1.016e-15,9.000000000000e+00,1.188e-03,4.582e-07
10,Stiffness,2707000,9.150e-16,1.000000000000e+01,1.210e-03,4.497e-07
11,Stiffness,2715500,1.388e-16,1.100000000000e+01,3.852e-04,3.840e-07
12,Stiffness,2361500,3.820e-16,1.200000000000e+01,1.014e-03,3.171e-07
13,Stiffness,2322500,8.236e-16,1.300000000000e+01,7.541e-04,3.327e-07
14,Stiffness,2400500,8.749e-16,1.400000000000e+01,1.098e-03,2.712e-07
15,Stiffness,2641000,6.130e-16,1.500000000000e+01,1.050e-03,2.638e-07
16,Stiffness,2652500,5.752e-16,1.600000000000e+01,8.273e-04,2.988e-07
17,Stiffness,3050500,1.445e-15,1.700000000000e+01,1.006e-03,2.312e-07
18,Stiffness,1513000,3.388e-16,1.800000000000e+01,7.222e-04,1.096e-06
19,Stiffness,1231500,9.632e-16,1.900000000000e+01,1.305e-03,1.879e-06
20,Stiffness,1056000,1.526e-16,2.000000000000e+01,9.122e-04,1.182e-06
21,Stiffness,924500,1.454e-16,2.100000000000e+01,9.515e-04,1.255e-06
22,Stiffness,824500,6.942e-16,2.200000000000e+01,8.126e-04,1.345e-06
23,Stiffness,752500,7.972e-16,2.300000000000e+01,1.025e-03,1.355e-06
24,Stiffness,692500,0.000e+00,2.400000000000e+01,6.812e-04,1.434e-06
25,Stiffness,642000,3.671e-16,2.500000000000e+01,6.908e-04,1.464e-06
26,Stiffness,597000,8.239e-16,2.600000000000e+01,1.036e-03,1.554e-06
27,Stiffness,562000,1.021e-15,2.700000000000e+01,1.271e-03,1.619e-06
28,Stiffness,533000,6.564e-16,2.800000000000e+01,8.020e-04,1.593e-06
29,Stiffness,507500,4.227e-16,2.900000000000e+01,6.256e-04,1.603e-06
30,Stiffness,479500,1.022e-15,3.000000000000e+01,1.220e-03,1.751e-06
31,Stiffness,459500,1.583e-15,3.100000000000e+01,1.052e-03,1.764e-06
32,Stiffness,438500,5.753e-16,3.200000000000e+01,7.851e-04,1.870e-06
33,Stiffness,423000,1.860e-16,3.300000000000e+01,5.596e-04,1.862e-06
34,Stiffness,406000,1.084e-15,3.400000000000e+01,9.957e-04,1.956e-06
35,Stiffness,391000,8.778e-16,3.500000000000e+01,1.226e-03,2.033e-06
36,Stiffness,377000,6.831e-16,3.600000000000e+01,9.380e-04,2.124e-06
37,Stiffness,365000,6.649e-16,3.700000000000e+01,7.152e-04,2.173e-06
38,Stiffness,353500,9.715e-16,3.800000000000e+01,8.441e-04,2.243e-06
39,Stiffness,344500,6.313e-16,3.900000000000e+01,8.261e-04,2.229e-06
40,Stiffness,334000,4.618e-16,4.000000000000e+01,7.009e-04,2.326e-06
41,Stiffness,325000,7.513e-16,4.100000000000e+01,9.189e-04,2.379e-06
42,Stiffness,315500,1.467e-16,4.200000000000e+01,6.972e-04,2.501e-06
43,Stiffness,309000,1.434e-16,4.300000000000e+01,4.231e-04,2.463e-06
44,Stiffness,300500,5.607e-16,4.400000000000e+01,7.419e-04,2.584e-06
45,Stiffness,294500,4.113e-16,4.500000000000e+01,6.970e-04,2.570e-06
46,Stiffness,286500,8.051e-16,4.600000000000e+01,1.095e-03,2.722e-06
47,Stiffness,280000,0.000e+00,4.700000000000e+01,1.329e-03,4.677e-06
48,Stiffness,273500,6.435e-16,4.800000000000e+01,8.360e-04,2.896e-06
49,Stiffness,268000,6.306e-16,4.900000000000e+01,1.050e-03,2.944e-06
50,Stiffness,262500,4.946e-16,5.000000000000e+01,6.841e-04,3.025e-06
51,Stiffness,257000,3.638e-16,5.100000000000e+01,7.996e-04,3.107e-06
52,Stiffness,252000,4.759e-16,5.200000000000e+01,6.965e-04,3.179e-06
53,Stiffness,247500,9.343e-16,5.300000000000e+01,8.426e-04,3.222e-06
54,Stiffness,243000,1.147e-16,5.400000000000e+01,4.566e-04,3.287e-06
55,Stiffness,238500,3.379e-16,5.500000000000e+01,8.879e-04,3.375e-06
56,Stiffness,234000,8.852e-16,5.600000000000e+01,6.928e-04,3.482e-06
57,Stiffness,230000,4.350e-16,5.700000000000e+01,6.973e-04,3.549e-06
58,Stiffness,226500,6.415e-16,5.800000000000e+01,1.257e-03,3.574e-06
59,Stiffness,222500,6.308e-16,5.900000000000e+01,8.790e-04,3.684e-06
60,Stiffness,218500,8.274e-16,6.000000000000e+01,1.024e-03,3.810e-06
61,Stiffness,215500,6.106e-16,6.100000000000e+01,8.270e-04,3.825e-06
62,Stiffness,212000,6.010e-16,6.200000000000e+01,8.631e-04,3.932e-06
63,Stiffness,208000,7.889e-16,6.300000000000e+01,9.697e-04,4.113e-06
64,Stiffness,205500,9.710e-16,6.400000000000e+01,1.257e-03,4.103e-06
65,Stiffness,202500,7.651e-16,6.500000000000e+01,1.218e-03,4.176e-06
66,Stiffness,199500,5.654e-16,6.600000000000e+01,8.815e-04,4.267e-06
67,Stiffness,196500,3.714e-16,6.700000000000e+01,7.120e-04,4.379e-06
68,Stiffness,193500,1.281e-15,6.800000000000e+01,1.192e-03,4.499e-06
69,Stiffness,191000,9.022e-16,6.900000000000e+01,1.073e-03,4.546e-06
70,Stiffness,188500,7.117e-16,7.000000000000e+01,8.989e-04,4.625e-06
71,Stiffness,186000,8.774e-16,7.100000000000e+01,8.389e-04,4.701e-06
72,Stiffness,183500,1.212e-15,7.200000000000e+01,1.214e-03,4.798e-06
73,Stiffness,181000,1.196e-15,7.300000000000e+01,9.442e-04,4.906e-06
74,Stiffness,178500,1.854e-15,7.400000000000e+01,1.180e-03,5.024e-06
75,Stiffness,176500,8.318e-16,7.500000000000e+01,8.841e-04,5.064e-06
76,Stiffness,174500,6.569e-16,7.600000000000e+01,8.555e-04,5.107e-06
77,Stiffness,172000,1.621e-15,7.700000000000e+01,1.070e-03,5.274e-06
78,Stiffness,170500,0.000e+00,7.800000000000e+01,3.720e-04,5.221e-06
79,Stiffness,168000,6.326e-16,7.900000000000e+01,7.476e-04,5.415e-06
80,Stiffness,166000,9.373e-16,8.000000000000e+01,1.005e-03,5.510e-06
81,Stiffness,164000,9.260e-16,8.100000000000e+01,8.709e-04,5.606e-06
82,Stiffness,162500,3.050e-16,8.200000000000e+01,1.087e-03,5.597e-06
83,Stiffness,160000,1.658e-15,8.300000000000e+01,9.786e-04,5.854e-06
84,Stiffness,158500,1.043e-15,8.400000000000e+01,1.266e-03,5.856e-06
85,Stiffness,157000,4.418e-16,8.500000000000e+01,9.148e-04,5.866e-06
86,Stiffness,155000,1.456e-15,8.600000000000e+01,6.851e-04,6.047e-06
87,Stiffness,153500,2.880e-16,8.700000000000e+01,8.866e-04,6.051e-06
88,Stiffness,151500,1.709e-15,8.800000000000e+01,1.030e-03,6.236e-06
89,Stiffness,150000,1.127e-15,8.900000000000e+01,1.332e-03,7.616e-06
90,Stiffness,148500,4.179e-16,9.000000000000e+01,1.035e-03,6.337e-06
91,Stiffness,147000,0.000e+00,9.100000000000e+01,3.874e-04,6.405e-06
92,Stiffness,145000,2.046e-15,9.200000000000e+01,1.080e-03,6.648e-06
93,Stiffness,143500,2.429e-15,9.300000000000e+01,1.164e-03,6.728e-06
94,Stiffness,142000,1.870e-15,9.400000000000e+01,9.041e-04,6.820e-06
95,Stiffness,141000,3.966e-16,9.500000000000e+01,1.304e-03,6.815e-06
96,Stiffness,139500,6.543e-16,9.600000000000e+01,1.308e-03,6.966e-06
97,Stiffness,138000,2.591e-16,9.700000000000e+01,7.314e-04,6.966e-06
98,Stiffness,136500,1.026e-15,9.800000000000e+01,9.130e-04,7.097e-06
99,Stiffness,135000,2.286e-15,9.900000000000e+01,1.021e-03,7.230e-06
100,Stiffness,134000,0.000e+00,1.000000000000e+02,2.465e-04,7.182e-06
101,Stiffness,132500,6.228e-16,1.010000000000e+02,1.103e-03,7.333e-06
102,Stiffness,131000,1.234e-15,1.020000000000e+02,8.258e-04,7.493e-06
103,Stiffness,129500,2.444e-15,1.030000000000e+02,1.108e-03,7.656e-06
104,Stiffness,128500,6.054e-16,1.040000000000e+02,1.033e-03,7.636e-06
105,Stiffness,127000,1.560e-15,1.050000000000e+02,8.017e-04,7.816e-06
106,Stiffness,126000,7.132e-16,1.060000000000e+02,9.294e-04,7.799e-06
107,Stiffness,124500,1.414e-15,1.070000000000e+02,7.217e-04,7.992e-06
108,Stiffness,123500,5.837e-16,1.080000000000e+02,6.972e-04,7.969e-06
109,Stiffness,122000,1.736e-15,1.090000000000e+02,7.796e-04,8.184e-06
110,Stiffness,121000,9.175e-16,1.100000000000e+02,9.370e-04,8.179e-06
111,Stiffness,119500,2.842e-15,1.110000000000e+02,9.747e-04,8.415e-06
112,Stiffness,118500,6.762e-16,1.120000000000e+02,1.356e-03,1.520e-05
113,Stiffness,117000,4.470e-15,1.130000000000e+02,1.263e-03,8.650e-06
114,Stiffness,116000,1.773e-15,1.140000000000e+02,7.323e-04,8.648e-06
115,Stiffness,115000,1.318e-15,1.150000000000e+02,1.056e-03,8.653e-06
116,Stiffness,113500,3.051e-15,1.160000000000e+02,9.493e-04,8.898e-06
117,Stiffness,112500,2.161e-15,1.170000000000e+02,1.321e-03,9.206e-06
118,Stiffness,111500,1.072e-15,1.180000000000e+02,9.186e-04,8.925e-06
119,Stiffness,110000,2.764e-15,1.190000000000e+02,6.880e-04,9.289e-06
120,Stiffness,109000,1.898e-15,1.200000000000e+02,7.144e-04,9.193e-06
121,Stiffness,108000,1.046e-15,1.210000000000e+02,7.156e-04,9.190e-06
122,Stiffness,106500,4.566e-15,1.220000000000e+02,1.072e-03,9.479e-06
123,Stiffness,105500,2.883e-15,1.230000000000e+02,9.276e-04,9.468e-06
124,Stiffness,104500,2.043e-15,1.240000000000e+02,1.245e-03,9.454e-06
125,Stiffness,103500,6.082e-16,1.250000000000e+02,1.077e-03,9.444e-06
126,Stiffness,102000,3.822e-15,1.260000000000e+02,1.120e-03,9.719e-06
127,Stiffness,101000,1.398e-15,1.270000000000e+02,9.020e-04,9.686e-06
128,Stiffness,99500,4.954e-15,1.280000000000e+02,1.210e-03,9.951e-06
129,Stiffness,98500,2.163e-15,1.290000000000e+02,8.728e-04,9.896e-06
130,Stiffness,97500,5.856e-16,1.300000000000e+02,1.214e-03,9.834e-06
131,Stiffness,96000,3.682e-15,1.310000000000e+02,9.093e-04,1.008e-05
132,Stiffness,95000,7.694e-16,1.320000000000e+02,7.590e-04,9.972e-06
133,Stiffness,93500,4.010e-15,1.330000000000e+02,9.474e-04,1.019e-05
134,Stiffness,92500,1.138e-15,1.340000000000e+02,6.832e-04,1.005e-05
135,Stiffness,91000,3.388e-15,1.350000000000e+02,1.061e-03,1.019e-05
136,Stiffness,89500,5.794e-15,1.360000000000e+02,1.324e-03,1.081e-05
137,Stiffness,88500,2.042e-15,1.370000000000e+02,1.280e-03,1.008e-05
138,Stiffness,87000,2.949e-15,1.380000000000e+02,1.030e-03,1.013e-05
139,Stiffness,85500,3.111e-15,1.390000000000e+02,7.715e-04,1.013e-05
140,Stiffness,84000,3.817e-15,1.400000000000e+02,7.188e-04,1.007e-05
