Numberline_Q,Type,Step,E,Q,dt,||F||
100,Stiffness,129500,1.570e-15,1.000000000000e+02,7.422e-04,7.850e-06
150,Stiffness,81000,2.450e-15,1.500000000000e+02,6.967e-04,1.219e-05
155,Stiffness,76000,1.424e-15,1.550000000000e+02,1.129e-03,1.202e-05
160,Stiffness,70500,4.759e-15,1.600000000000e+02,7.093e-04,1.111e-05
165,Stiffness,68500,5.068e-15,1.650000000000e+02,1.373e-03,1.217e-05
166,Stiffness,70000,1.926e-15,1.660000000000e+02,1.100e-03,4.371e-06
167,Stiffness,73500,2.947e-16,1.670000000000e+02,7.318e-04,2.412e-06
168,Stiffness,82000,0.000e+00,1.680000000000e+02,9.057e-06,7.036e-07
169,Converged,100338,9.755960860376e+01,1.690000000000e+02,8.391e-04,4.996e-08
170,Converged,109957,9.811236541501e+01,1.700000000000e+02,1.027e-03,4.999e-08
175,Converged,129554,1.008727709579e+02,1.750000000000e+02,1.069e-03,4.999e-08
180,Converged,135018,1.036276051655e+02,1.800000000000e+02,9.846e-04,4.999e-08
185,Converged,137536,1.063769471388e+02,1.850000000000e+02,9.115e-04,5.000e-08
190,Converged,138779,1.091208735425e+02,1.900000000000e+02,9.782e-04,4.999e-08
195,Converged,139307,1.118594587479e+02,1.950000000000e+02,1.090e-03,5.000e-08
200,Converged,139566,1.145927749637e+02,2.000000000000e+02,9.766e-04,4.999e-08
250,Converged,134362,1.416506955918e+02,2.500000000000e+02,1.022e-03,4.999e-08
300,Converged,127378,1.682487073745e+02,3.000000000000e+02,9.621e-04,4.998e-08
350,Converged,121197,1.944358137787e+02,3.500000000000e+02,9.370e-04,4.998e-08
400,Converged,116247,2.202525092398e+02,4.000000000000e+02,8.788e-04,4.996e-08
450,Converged,111963,2.457330879049e+02,4.500000000000e+02,9.874e-04,4.999e-08
500,Converged,108141,2.709070903747e+02,5.000000000000e+02,9.939e-04,4.999e-08
550,Converged,105111,2.958002798157e+02,5.500000000000e+02,9.987e-04,4.994e-08
600,Converged,102410,3.204353381404e+02,6.000000000000e+02,1.004e-03,4.999e-08
650,Converged,100047,3.448323841271e+02,6.500000000000e+02,9.034e-04,4.994e-08
700,Converged,97889,3.690093720044e+02,7.000000000000e+02,9.064e-04,4.991e-08
750,Converged,95985,3.929824061722e+02,7.500000000000e+02,9.093e-04,4.995e-08
800,Converged,94140,4.167659949132e+02,8.000000000000e+02,9.123e-04,5.000e-08
850,Converged,92515,4.403732583716e+02,8.500000000000e+02,9.839e-04,4.994e-08
900,Converged,90904,4.638161013891e+02,9.000000000000e+02,1.061e-03,4.998e-08
950,Converged,89383,4.871053587624e+02,9.500000000000e+02,9.536e-04,4.998e-08
1000,Converged,87924,5.102509184896e+02,1.000000000000e+03,1.028e-03,4.999e-08
1050,Converged,86489,5.332618271803e+02,1.050000000000e+03,9.242e-04,4.998e-08
1100,Converged,84873,5.561463808386e+02,1.100000000000e+03,9.968e-04,4.997e-08
1150,Converged,83249,5.789122035173e+02,1.150000000000e+03,8.640e-04,4.994e-08
1200,Converged,81041,6.015663158296e+02,1.200000000000e+03,9.677e-04,4.999e-08
1250,Converged,78179,6.241151948995e+02,1.250000000000e+03,9.724e-04,4.997e-08
1300,Converged,72942,6.465648270525e+02,1.300000000000e+03,9.120e-04,4.993e-08
1305,Converged,72126,6.488045486738e+02,1.305000000000e+03,9.471e-04,4.999e-08
1310,Converged,71222,6.510433388886e+02,1.310000000000e+03,9.835e-04,4.998e-08
1315,Converged,70548,6.532812029670e+02,1.315000000000e+03,9.851e-04,4.998e-08
1320,Converged,70076,6.555181461398e+02,1.320000000000e+03,9.164e-04,4.994e-08
1325,Converged,69713,6.577541736000e+02,1.325000000000e+03,1.023e-03,5.000e-08
1330,Converged,69770,6.599892905011e+02,1.330000000000e+03,8.839e-04,4.995e-08
1331,Converged,69799,6.604362050652e+02,1.331000000000e+03,7.366e-04,4.999e-08
1332,Stiffness,68500,1.032e-15,1.332000000000e+03,1.186e-03,7.409e-08
1333,Stiffness,68000,6.876e-16,1.333000000000e+03,1.277e-03,9.724e-08
1334,Stiffness,68000,0.000e+00,1.334000000000e+03,7.662e-04,9.478e-08
1335,Stiffness,66500,0.000e+00,1.335000000000e+03,2.690e-06,1.531e-07
1340,Stiffness,63500,1.711e-16,1.340000000000e+03,8.009e-04,3.719e-07
1345,Stiffness,61000,1.364e-15,1.345000000000e+03,1.202e-03,8.187e-07
1350,Stiffness,59500,1.530e-15,1.350000000000e+03,1.296e-03,1.328e-06
1400,Stiffness,53000,5.987e-14,1.400000000000e+03,1.132e-03,1.099e-05
1450,Stiffness,51500,1.471e-13,1.450000000000e+03,1.221e-03,1.956e-05
1500,Stiffness,51000,1.898e-13,1.500000000000e+03,1.363e-03,2.895e-05
1550,Stiffness,51000,1.372e-13,1.550000000000e+03,1.136e-03,2.976e-05
1600,Stiffness,51000,1.876e-13,1.600000000000e+03,9.467e-04,3.404e-05
1650,Stiffness,51500,2.057e-14,1.650000000000e+03,1.055e-03,3.411e-05
1700,Stiffness,51500,2.355e-13,1.700000000000e+03,1.018e-03,3.846e-05
1750,Stiffness,52000,6.324e-14,1.750000000000e+03,8.166e-04,3.767e-05
1800,Stiffness,52500,2.624e-16,1.800000000000e+03,1.053e-03,3.736e-05
1850,Stiffness,52500,2.328e-13,1.850000000000e+03,1.053e-03,4.058e-05
1900,Stiffness,53000,1.597e-13,1.900000000000e+03,1.132e-03,3.978e-05
1950,Stiffness,53500,7.116e-14,1.950000000000e+03,8.453e-04,3.906e-05
2000,Stiffness,53500,2.773e-13,2.000000000000e+03,1.052e-03,4.119e-05
