Q,phase_fraction,phase_angle_rad,g_total_mean,g_total_std,g_open_mean,g_open_std,g_phase_mean,g_phase_std,g_kappa_mean,g_kappa_std,share_local_mean,share_local_std,share_radial_mean,share_radial_std,share_rotating_mean,share_rotating_std,abs_delta_x_mean,abs_delta_x_std,abs_delta_xdot_mean,abs_delta_xdot_std,abs_delta_Delta_mean,abs_delta_Delta_std,delta_rho_norm_mean,delta_rho_norm_std,abs_delta_kappa_mean,abs_delta_kappa_std,base_Delta_mean,base_Delta_std,base_activity_mean,base_activity_std
522.25,0.003125,0.019634954084936207,0.03085842778439892,2.248509977308634,-0.020990951370439652,2.23742700889596,0.04656063647195382,0.03821239111136073,0.00528874268288474,0.0043277766800127685,0.0022512629738012675,0.000826844281672064,0.002087180308455605,0.0001152507079083322,0.9956615567177434,0.0007192159520195677,0.008758769796682392,0.004746644563772249,0.009097086993067821,0.004199618334740909,1.0183906709212254,0.5457302419304163,0.020932260825531037,0.00944528328701042,0.0015373618599570185,0.0008331432934656888,-4.448921238520143e-07,3.161370072211747,9.273855746812491e-08,1.0090069575620328e-05
522.25,0.009375,0.05890486225480862,0.03221791429952615,2.2657287623683073,-0.019484030943852516,2.254626792326987,0.0464281166289348,0.037923216837907676,0.005273828614443889,0.004295326571997997,0.0022485341932712635,0.0008212167459053918,0.002087465039435671,0.00011497349833840238,0.9956640007672937,0.0007139889274737042,0.008762533733348572,0.004714057170291,0.009097936725097245,0.004217377978158621,1.0196953692489743,0.5395662848010021,0.020892625683663627,0.009506526475977606,0.0015380225158263012,0.0008274234701324557,-0.07854015916075623,3.16038203034538,7.146064964399913e-08,1.009363540979641e-05
522.25,0.015625,0.09817477042468103,0.031132148146576426,2.2817716403518107,-0.020416146106775605,2.270878809268811,0.0462900522339542,0.03760201959995155,0.005258242019397889,0.0042589984477313814,0.0022456001572245285,0.0008144945305610949,0.002087819088673999,0.00011440519706689657,0.995666580754101,0.0007080030803394064,0.008759975088831602,0.004689989135653241,0.00911657448796447,0.004201071011479814,1.0212510623893452,0.5329423344916229,0.020864506017735405,0.009563113861987814,0.001537573415942997,0.000823198986631333,-2.381584529587144e-07,3.1613701771579863,4.964252721405797e-08,1.0096359921132718e-05
522.25,0.021875,0.13744467859455345,0.027833050216593918,2.294496004243786,-0.023569977734528385,2.2840265693719637,0.0461595605940268,0.037287609630284,0.00524346735709568,0.004223153360034838,0.002242744312148449,0.0008074474489400319,0.0020882059009276685,0.00011359345633991698,0.995669049786924,0.0007019648268149178,0.00876728943440963,0.004646618845885227,0.00913845240393793,0.004179834984634205,1.0213958475536515,0.5294359324107181,0.0208504503872974,0.00960902468884215,0.0015388572487395236,0.0008155865215372189,0.07853968468170036,3.1603821226576443,2.744128559728868e-08,1.0098144512393352e-05
522.25,0.028125,0.17671458676442586,0.022795696717869858,2.3020168647766726,-0.028483944258560778,2.292141489834059,0.046048759693893146,0.037023149425080594,0.0052308812825376215,0.004192682103792927,0.002240238005171697,0.0008010008292715699,0.0020885858274679314,0.00011262726724568121,0.9956711761673602,0.0006966865289911415,0.008785184052587217,0.004584912443574181,0.009163388728320041,0.004151136634392145,1.0201809165959306,0.5292933329690892,0.020846949878971763,0.009649272159895503,0.0015419981582648697,0.0008047556546883036,-2.4150541122480718e-08,3.161370220049129,5.030104886972301e-09,1.0098938171695196e-05
522.25,0.034375,0.2159844949342983,0.01668518962297185,2.3030555637852532,-0.03450354405742095,2.2938752664099775,0.045967163185624195,0.036848660732795586,0.0052215704947686774,0.004172169402341508,0.0022383049010121646,0.0007960902634911847,0.0020889211570881664,0.00011162884533254058,0.9956727739418996,0.0006929516658785126,0.008797552396533568,0.004538351145084364,0.0092035342621742,0.004084431557576056,1.0193643612977876,0.529283577866684,0.020856707688683238,0.009673193477729065,0.0015441690818871752,0.0007965830955150472,8.354066878268896e-08,3.1613702473727936,-1.74193705901907e-08,1.009871597501247e-05
522.25,0.040625,0.2552544031041707,0.010270117286026031,2.2972071133518117,-0.040866420227432455,2.288735681571429,0.04592035693029585,0.03679268951048879,0.00521618058316257,0.004164950130160918,0.002237090085467508,0.0007934804724240045,0.002089181219256264,0.00011073584218734326,0.9956737286952764,0.0006913569847394898,0.008804081090131675,0.00450993541101743,0.009227275126202554,0.004048794173376777,1.0174418430053378,0.5324032548628415,0.020877186146877717,0.009680212512271377,0.0015453150150223141,0.0007915954925991977,1.9058862719134594e-07,3.1613702216056603,-3.973475238292079e-08,1.0097484538211374e-05
522.25,0.046875,0.2945243112740431,0.004315963260522715,2.28505753948339,-0.046808100781365464,2.277215830504452,0.045909236445560754,0.0368657382714591,0.005214827596327637,0.0041723475067632545,0.002236640198359817,0.0007936000622897179,0.0020893465886966367,0.00011007723710395344,0.9956740132129432,0.0006921789827877551,0.008799839283693456,0.004510662668069635,0.00925210461252009,0.004003185367947473,1.0155111797351215,0.5364326351523264,0.02090635834915487,0.00966803608077705,0.0015445704822184137,0.0007917231426322959,2.96175220881878e-07,3.1613701427161542,-6.174549586107994e-08,1.009528092700035e-05
522.25,0.053125,0.3337942194439155,-0.0005224417860140607,2.2681207254073628,-0.05166950798023588,2.2607443756865337,0.04592997428189427,0.037057755109416675,0.005217091912327478,0.0041933573264959926,0.0022368988345953487,0.0007964466695652204,0.002089411565963677,0.00010974898712624493,0.995673689599441,0.0006953101992194639,0.008801669318310588,0.004507112278155331,0.009258206919546689,0.003993613427080916,1.0124360180227039,0.5433318498604494,0.02094516591860037,0.009628173651051706,0.001544891694613316,0.0007910999690395505,0.07854021582911867,3.1603819814403584,-8.328252337278327e-08,1.0092172860406782e-05
522.25,0.059375,0.37306412761378793,-0.0037897397867258987,2.2486071737221627,-0.05498656115596592,2.24146711094485,0.04597472544527883,0.03734050109712434,0.0052220959239612915,0.004224885006221501,0.0022377181001130586,0.0008015941231933685,0.002089384485537952,0.00010979631881054558,0.9956728974143487,0.0007002867260778093,0.008791341580908071,0.004533986772767346,0.009264267390690062,0.003977206064375022,1.010875231039966,0.5477828999026335,0.020988187037494326,0.009567241863475351,0.001543078943513464,0.0007958170496320538,4.99734471048896e-07,3.16136999985617,-1.0417977179562259e-07,1.0088255526369706e-05
522.25,0.065625,0.41233403578366035,-0.005285146407768604,2.2290768862337034,-0.05654671453448593,2.2219098059758053,0.04603291925869275,0.037673713314921344,0.00522864886802445,0.004262425960677048,0.0022388836899411395,0.0008082935788789866,0.002089285884933261,0.00011020758811500694,0.995671830425126,0.0007063926625805679,0.008772263537594492,0.004582050835923231,0.009252041051895383,0.003998408761293444,1.0097580445953727,0.5515488628729028,0.021035980037683852,0.009480508009745127,0.0015397303161566853,0.0008042533779345066,-0.07853922019667534,3.1603818272192723,-1.2427725921142256e-07,1.0083647995694375e-05
522.25,0.071875,0.4516039439535327,-0.005077096215964294,2.2120549454829987,-0.056405404114903,2.2045990321733715,0.046092878275788944,0.03801271894221867,0.0052354296231496775,0.004300927430845877,0.0022401482955765285,0.0008156260877252253,0.0020891449990669154,0.00011092036852181302,0.9956707067053566,0.0007128000959997051,0.008747643226335838,0.004641970188512963,0.009221598128653563,0.004058415319070375,1.008757062517372,0.5549505674799887,0.021083815406758178,0.009377247064667608,0.0015354088956389697,0.0008147705772082748,-0.07853912836444961,3.160381729741972,-1.4342075072839877e-07,1.0078490905673873e-05
522.25,0.078125,0.4908738521234052,-0.003479464768187951,2.1996889034485942,-0.054864118971723566,2.1917191772562625,0.04614347912214908,0.03831518196605632,0.0052411750813866915,0.004335563144482319,0.0022412672900516918,0.0008226543448441157,0.0020889952937188333,0.00011183601616876376,0.9956697374162295,0.0007186994793396765,0.008731887542536431,0.004683589692470235,0.00919405798839137,0.004110003563393011,1.0088388390648415,0.5559643988925381,0.02112228120600476,0.009280251019982413,0.0015326434173911076,0.0008220757398623355,-0.0785390418168201,3.1603817059175094,-1.6146260927173058e-07,1.0072942040525007e-05
522.25,0.084375,0.5301437602932776,-0.0009976418071013572,2.193499074267477,-0.052418109743323574,2.1848571770911915,0.04617562066228682,0.038545732356690954,0.005244847273935367,0.004362270416621507,0.002242031471070361,0.0008285381024537201,0.0020888697720356114,0.00011283692985116411,0.9956690987568939,0.0007233932081784941,0.00872481866221424,0.004705545186845672,0.009170192821258345,0.004154176800784692,1.0077864748795442,0.5584851590747929,0.021144022917027792,0.009210612286894794,0.0015314026692892393,0.0008259294248492485,8.551231523767911e-07,3.1613698218730786,-1.7826466556381487e-07,1.006717136353901e-05
522.25,0.090625,0.56941366846315,0.0017450401306071007,2.1942321010641224,-0.04968407516509095,2.184846758191476,0.04618335287766882,0.038678520389730076,0.005245762418029364,0.004378049325216713,0.0022422934060627626,0.0008326056622965226,0.002088796635319946,0.00011380188662249689,0.9956689099586173,0.0007263499805297824,0.008708895320641771,0.0047392037826770005,0.00916207598842081,0.004166459394494057,1.0078046280528925,0.5583828655388264,0.021146946774288015,0.009179100932199487,0.0015286077633167286,0.0008318372683811552,9.291581925197079e-07,3.1613698820074094,-1.93698135165842e-07,1.0061355904479252e-05
522.25,0.096875,0.6086835766330224,0.0040910275146832185,2.201800099138043,-0.04731724378610058,2.1916961260432064,0.04616459738812591,0.03869853341694635,0.005243673912657924,0.00438111824075074,0.0022419855855519114,0.0008343950781872476,0.0020887956778057656,0.00011461782022733065,0.9956692187366427,0.0007272342771163255,0.008701894639557867,0.004750433146772661,0.009141116755432482,0.0042120761637210015,1.0085998534254843,0.5562059483755224,0.02113429463070996,0.009184479008091983,0.0015273789857210228,0.0008338082753231093,-0.07853882028083872,3.16038191624658,-2.0764437447778308e-07,1.0055674103775434e-05
522.25,0.103125,0.6479534848028948,0.005434909412923341,2.215287404038803,-0.04592532555685121,2.2045824246292036,0.04612142923087324,0.03860255601407464,0.005238805738901243,0.004371026980532489,0.002241129474464457,0.0008336842682324833,0.0020888756596208853,0.00011518906134633303,0.995669994865915,0.0007259278290188255,0.008692252341194954,0.00476078014482527,0.009137513995169284,0.004224886120179001,1.008954960318198,0.5542909234215099,0.02110593012861401,0.009232806548871814,0.0015256865446488664,0.0008356244071019302,-0.07853876102862314,3.1603820256489583,-2.1999619841867794e-07,1.005029999073126e-05
522.25,0.109375,0.6872233929727672,0.005305700113723369,2.2330273876114304,-0.045986027140439575,2.221916495963124,0.04605989401703989,0.038400112298498865,0.005231833237123156,0.004348767435700252,0.0022398346740878554,0.0008305205205948583,0.00208903287310656,0.00011544594387559894,0.9956711324528056,0.0007225506983702592,0.00868824071149682,0.004755772463690584,0.009142247291915142,0.004224830828915674,1.0104015992319322,0.5500071350171394,0.021068433236722035,0.00931324350532635,0.0015249824130599172,0.0008347454459964327,-0.15707852622012536,3.1574160210101025,-2.3065865777157788e-07,1.004539896739406e-05
522.25,0.115625,0.7264933011426397,0.0034371591983768713,2.25276954087579,-0.04777598461928268,2.24149943082286,0.04598933548457924,0.03811397150325786,0.005223808333080278,0.004316835835480078,0.0022382873840384792,0.0008252441341056575,0.0020892511431295545,0.00011535362986773285,0.9956724614728321,0.0007174755040197017,0.008695068866020266,0.004727339342847625,0.009147777727686697,0.004227337041892258,1.0110459823125504,0.5471250365776092,0.02103096211363582,0.009407640870352023,0.001526180908348858,0.0008297547913088219,-0.0785386672275119,3.1603822684891534,-2.3955016015875e-07,1.0041122103279837e-05
522.25,0.121875,0.7657632093125121,-0.00018372184595747966,2.2719507647809745,-0.05132099264758033,2.260786511208624,0.04592124085867085,0.03777923714495582,0.005216029942951896,0.004279137978125414,0.0022367279602907813,0.0008184871428950019,0.0020895034724252477,0.0001149198986360094,0.9956737685672836,0.0007113172013661316,0.00869223274291139,0.004715807743840343,0.009167949350466234,0.00420006720500473,1.0128239904974337,0.5423311916592087,0.021003331129967395,0.009495041712344783,0.0015256831047075997,0.0008277307353158414,1.1829409338304231e-06,3.161370450091354,-2.466021643335551e-07,1.0037601745120553e-05
522.25,0.128125,0.8050331174823844,-0.005300430345663574,2.2880522215315087,-0.05637799031391945,2.277241446407816,0.045867690750734644,0.03744001862581189,0.005209869217521259,0.004240625541277662,0.002235419010311707,0.0008111241334792724,0.0020897553640894006,0.00011419887877049412,0.9956748256255988,0.0007048791340528534,0.008700379399336728,0.004685318187327779,0.009177400484338235,0.004196393676653867,1.0157872610267455,0.5357647217554393,0.02098719140934893,0.009571111206462648,0.00152711302685023,0.000822379129736805,-0.07853860865435917,3.1603824324738006,-2.51760452842492e-07,1.0034946913915797e-05
522.25,0.134375,0.8443030256522569,-0.011410127757133733,2.2989829601670593,-0.06245630719948938,2.2887228348345867,0.045839608031309036,0.037143344456800564,0.005206571411046663,0.004206622510613208,0.0022346078363552568,0.0008041622170181584,0.002089969520422691,0.00011328746044105498,0.9956754226432215,0.0006990467509102988,0.00871189897035254,0.00465257623198525,0.009199937418487469,0.004160934982950191,1.0182035480483456,0.5309648486777115,0.02098147616347385,0.009635263100443506,0.0015291349716591335,0.0008166321773071284,-0.07853859318424083,3.160382431467931,-2.549853998395684e-07,1.0033239575473751e-05
522.25,0.140625,0.8835729338221293,-0.017826652880265463,2.3034087756742276,-0.06887880927737691,2.2938208496074566,0.04584509005553062,0.036931140089193557,0.005207066341580576,0.004181927391381569,0.002234489177142456,0.0007985792793769237,0.0020901112383850734,0.00011231274497965994,0.9956753995844722,0.0006946408789491387,0.008727328962859666,0.00461874717361109,0.009234394753552201,0.004092782631660674,1.0198383583075106,0.5285968817122567,0.02098893240137637,0.009676533985162671,0.0015318432837315515,0.0008106944137501512,-0.15707840344818588,3.1574163281599317,-2.5625199243856577e-07,1.0032532169244776e-05
522.25,0.146875,0.9228428419920017,-0.023774716885142523,2.300951451041668,-0.07487467214470309,2.2920678845882088,0.04588813293414372,0.036832254604449506,0.005211822325416643,0.004169906833283877,0.002235175033316446,0.000795145217584361,0.0020901535621533555,0.00011141175046708582,0.99567467140453,0.0006922644870998938,0.00875782255360987,0.004563667763369372,0.009261099480304636,0.004033964273523179,1.0201605807805854,0.5297668859093072,0.02100510580004198,0.00969853318030342,0.0015371955974103795,0.000801026733637515,-0.15707840681423715,3.1574163133338953,-2.555503213011291e-07,1.0032846982672713e-05
522.25,0.153125,0.9621127501618743,-0.028498941996706197,2.2922138077818897,-0.07968770687745161,2.283976690463379,0.04596799327051656,0.03685702114055886,0.005220771610228809,0.004171858796642236,0.0022366773170233297,0.0007942773991433562,0.0020900812389029995,0.00011070757140484068,0.9956732414440734,0.0006921888722051058,0.008778219158047393,0.004536409230770122,0.009272827935656796,0.004000872459362088,1.021259237384819,0.5303017797722385,0.021030675774969802,0.009693083653448226,0.0015407756620156574,0.0007962422457072179,1.2130847942160016e-06,3.161370519436274,-2.528861067834295e-07,1.0034175140152624e-05
522.25,0.159375,1.0013826583317464,-0.03136772054823381,2.27862711286678,-0.08268033696003255,2.2709004671376167,0.04607929626095262,0.036996211921133296,0.005233320150846269,0.004186863229877371,0.0022389063375430674,0.0007959774122756634,0.0020898927777412853,0.00011028810671713141,0.9956712008847155,0.0006943175074288893,0.008800116087808202,0.004514220750549242,0.009265040374426853,0.004004777655172371,1.0209983925052941,0.5341408365216579,0.02106369607736659,0.00965814900555925,0.0015446190675903978,0.000792347666443939,-0.07853862535091975,3.1603823959458848,-2.482799642795474e-07,1.0036475868067351e-05
522.25,0.165625,1.0406525665016189,-0.031953613223576746,2.2621600277125733,-0.08341488038969358,2.254751964300794,0.046212831494220515,0.037224625171017406,0.005248435671896324,0.004212161139509763,0.0022416845585506552,0.0007998684067814383,0.002089600353625705,0.00011019328433701293,0.9956687150878235,0.0006982380843848088,0.00881116649066805,0.0045200425509655815,0.009261102410793509,0.003991856830849132,1.0198689343156995,0.5399833599530669,0.02109980855199476,0.009598179520136712,0.0015465586627947745,0.0007933695238650292,-0.07853865659330195,3.160382276903353,-2.417671435415929e-07,1.00396781520545e-05
522.25,0.171875,1.0799224746714913,-0.03007862158743415,2.2449640296139033,-0.08170024590040478,2.2376546587103063,0.046356832945043794,0.03750773707156274,0.005264791367926904,0.004243895469734673,0.00224477178514537,0.0008053129824247344,0.002089227784659223,0.00011041397769247485,0.995666000430195,0.0007033386526503981,0.008824783721324034,0.0045251504662683585,0.00923992039940221,0.004013249153371603,1.0180296671709432,0.547130899261776,0.02113954793178372,0.009508528177755278,0.0015489487942327161,0.0007942660783301731,-0.15707851308059856,3.1574160651831638,-2.3339793396942045e-07,1.0043683127284217e-05
522.25,0.178125,1.119192382841364,-0.025821840127507694,2.229045845817874,-0.07760123807717983,2.2216156284731077,0.04649846422971214,0.037808888686373214,0.00528093371995997,0.004277928075107729,0.002247896023658606,0.0008115627477846205,0.0020888071856526,0.0001109014616760784,0.9956632967906888,0.0007089419291269229,0.00882522594510656,0.004557753006814492,0.009208713033367876,0.004053897653027791,1.017209342346677,0.5519842428401748,0.021174606914760277,0.009406514724782189,0.0015490264144913384,0.000799988560315293,-0.15707856182460328,3.1574159341456998,-2.2323669057954644e-07,1.004836665435131e-05
522.25,0.184375,1.1584622910112363,-0.019495395862513778,2.2160409069053753,-0.07141608428949117,2.2082947646028956,0.046625244191830326,0.03809480471919265,0.0052954442351470146,0.004310476028351724,0.0022507842448805104,0.0008178880631198065,0.0020883750508519172,0.00011158253896526611,0.995660840704268,0.0007144141374279847,0.008811739012786746,0.004615882467711666,0.009167096227904379,0.004116493245778886,1.017349176613867,0.5544216382513087,0.021196345816325613,0.009313167416606595,0.0015466591533533467,0.0008101915931837932,1.0138872760023786e-06,3.161370037490182,-2.113611372658811e-07,1.0053584212439962e-05
522.25,0.190625,1.1977321991811085,-0.011599370794024021,2.2071162968225035,-0.06363267894168209,2.198900895789876,0.04672623360121688,0.03833845160375925,0.0053070745464413,0.004338446730692784,0.00225318890409702,0.0008236573905900973,0.0020879684259611357,0.00011237438164351893,0.9956588426699412,0.0007192258672453802,0.008798965749245113,0.004667979534478037,0.00913874004694423,0.004149982107532958,1.0165385097518778,0.5577781382603367,0.021197839677830396,0.009248316155469704,0.0015444171571995563,0.0008193358046794065,9.491315715592918e-07,3.1613698928768788,-1.9786206109680645e-07,1.0059175411906691e-05
522.25,0.196875,1.237002107350981,-0.002766586741439159,2.202978673232082,-0.05487434894767886,2.1941928974920106,0.04679291520768693,0.038519529232419136,0.005314846998552752,0.004359501054167295,0.0022549084013508084,0.0008283640197937435,0.0020876215758610225,0.00011319487814212762,0.995657470022788,0.000722967329699869,0.00878642277336878,0.004712901736713938,0.009123674449351913,0.004157745858447269,1.0166675198340982,0.5584041121322232,0.02117989818932995,0.009215594799091096,0.0015422155817305973,0.0008272206654516249,8.770851984252204e-07,3.161369821449708,-1.828431559038364e-07,1.0064968563331974e-05
522.25,0.203125,1.2762720155208536,0.006295152873308907,2.2039282053516223,-0.045842758176306876,2.19452863833589,0.04681978805760829,0.038623672575318,0.005318122992007427,0.004371966086271606,0.0022558016438015117,0.0008316186569810996,0.002087363273605456,0.00011396740141606153,0.9956568350825933,0.0007253367595602448,0.008784976737420423,0.004728765609598105,0.00910199673023895,0.004186275550386012,1.016188168600085,0.5590933007483807,0.02114420392606096,0.009217277210107025,0.0015419617697722144,0.0008300051333266181,7.983039374437339e-07,3.1613698234589265,-1.664202805073724e-07,1.0070785651677911e-05
522.25,0.209375,1.315541923690726,0.014860213804785471,2.2098975758006247,-0.037261166382794975,2.1999010243807655,0.04680473451435685,0.038641591109329076,0.005316645673223667,0.004374737489673186,0.0022557978207169,0.0008331337978511748,0.0020872146460904277,0.00011462168392613977,0.9956569875331927,0.0007261250613221205,0.008769234030029039,0.0047624848484466445,0.009094905623776238,0.004190290994726187,1.0164184771801044,0.5574334407896967,0.021091924942312414,0.00925692919864489,0.0015391985691769485,0.0008359236210772793,-0.1570789192872736,3.157415560892276,-1.4871943479963694e-07,1.0076448238482823e-05
522.25,0.215625,1.3548118318605984,0.022241891974334786,2.220442233881264,-0.029817873147670017,2.2099260732929222,0.04674920323988428,0.03856905853720442,0.005310561882120522,0.004367276015965685,0.002254902305902837,0.0008327219705921647,0.002087187470121095,0.00011509387870202044,0.9956579102239761,0.0007252148424075767,0.008764715861391761,0.0047660309719497005,0.009081472929245975,0.0042167763801049096,1.01761795835379,0.5530254384296177,0.021031780706545062,0.009320368106364722,0.0015384055285672462,0.0008365460458185207,6.230022442821336e-07,3.161369889858305,-1.2987657962589562e-07,1.0081783246076397e-05
522.25,0.221875,1.3940817400304706,0.027849899501852005,2.2346899676879377,-0.024108725320619508,2.2237892616020187,0.046658202101450046,0.03840809387759328,0.005300422721021453,0.00434973912528133,0.0022531986016101025,0.0008303191754046036,0.002087282909637985,0.00011532871786953781,0.9956595184887524,0.0007226018019229255,0.008760714993747726,0.004760020061001743,0.00908224570063874,0.004220904380302229,1.0176420685274763,0.5500259337127875,0.02097326214739968,0.009391484145229128,0.0015377032859617832,0.000835490995229283,5.278290124977048e-07,3.1613699534328292,-1.1003659402544256e-07,1.0086628417360796e-05
522.25,0.228125,1.433351648200343,0.031247779927642227,2.2512963070228893,-0.020579416783896225,2.240195444612438,0.04654004076512507,0.03816900522556239,0.005287155946413473,0.00432321421327258,0.002250845032048726,0.0008260307459366839,0.0020874908568242847,0.0001152852993001716,0.9956616641111271,0.0007184340392988855,0.008757492919282388,0.004745226687005195,0.009096970970988005,0.004202630731001833,1.0187068620371194,0.5445442637436333,0.02092531278280546,0.009455014852249317,0.0015371377391432308,0.0008328944240794182,0.07854024494147564,3.160381968512257,-8.935149065071011e-08,1.0090836595103475e-05
522.25,0.234375,1.4726215563702154,0.03220547330667876,2.268469864399308,-0.019472262363009654,2.257386723719048,0.04640573549289437,0.03787234192763772,0.005272000176794028,0.004289948516297859,0.0022480641784461365,0.0008201825256218264,0.002087790190823302,0.00011494603393744065,0.9956641456307306,0.0007130527244155494,0.008764511010641508,0.004705794417638808,0.009102494989411083,0.004211109635950506,1.0198228549116846,0.5387207626264241,0.020887160855734752,0.00951630902320393,0.0015383695726353369,0.0008259731704807223,0.07854014242266442,3.1603820295558043,-6.798022617477362e-08,1.0094279555308775e-05
522.25,0.240625,1.511891464540088,0.03073795004056936,2.2841172227774327,-0.020786457542439477,2.273279691327702,0.04626801398568649,0.037549416806366635,0.005256393597322372,0.004253423823664742,0.0022451234219415033,0.0008133497834762023,0.0020881502983952738,0.00011432633438719417,0.9956667262796632,0.0007070093053093062,0.00876095811474499,0.004683310869513084,0.009122516525854154,0.004192279444557366,1.021273128090062,0.5323395773522358,0.020861328065202432,0.009571255874935286,0.0015377459591861308,0.0008220268001379277,-0.07853959527719026,3.160382093437786,-4.60874807623295e-08,1.0096852574917796e-05
522.25,0.246875,1.5511613727099605,0.027118598610869505,2.2961131448733294,-0.024263163676380758,2.2857303934289463,0.0461399429448876,0.037240157728529545,0.0052418193423625446,0.00421813086439177,0.0022423066577645133,0.0008063348656394663,0.002088534046874882,0.000113481349007455,0.9956691592953602,0.0007010346917109998,0.008769598545633141,0.00463755751508616,0.009140481106166085,0.004179769958667301,1.0213217135950143,0.529116997273901,0.0208491383447749,0.009616174653451938,0.0015392625498957158,0.0008139960533899435,-0.07853970199427449,3.160382132250937,-2.384103216321019e-08,1.0098477261427385e-05
522.25,0.253125,1.5904312808798327,0.021857913393686007,2.30264843144572,-0.029405033499582112,2.292881429956561,0.046033323236937505,0.03698777728131186,0.005229623656330542,0.004188978758074187,0.0022398798740669353,0.0008000760861271401,0.002088902072621701,0.0001125059390847257,0.9956712180533112,0.0006959479539508523,0.008784511906476139,0.004582186221209219,0.009167370720152508,0.00414635983150137,1.0202422444739214,0.5288475285446317,0.020847621580041085,0.009654523317115178,0.0015418801814462667,0.0008042771411090058,6.749666425776013e-09,3.1613702113140967,-1.4114025814686402e-09,1.0099104152372493e-05
522.25,0.259375,1.6297011890497053,0.015644391565335924,2.3025712884037466,-0.03553355366976476,2.293507821320364,0.04595710939718581,0.03683098854846601,0.0052208358379149476,0.004170416738854579,0.0022380558653617793,0.0007954939103221169,0.0020892178486411122,0.00011152537835841616,0.9956727262859972,0.0006925144683201119,0.008800458065507272,0.004529605405333998,0.009208471592177669,0.004076610778473967,1.0191154339713475,0.5296013196915009,0.020859607384221386,0.00967509501360333,0.001544679092397958,0.0007950480207224186,-1.0089822879422173e-07,3.161370244183197,2.1029086949741602e-08,1.0098714349834269e-05
522.25,0.265625,1.6689710972195777,0.009253629965125566,2.2956341401514573,-0.04187855508110208,2.287272964201527,0.045916160164638474,0.03679577243023872,0.005216024881588989,0.004165493720534747,0.0022369647284343143,0.0007933085132488056,0.002089452677244097,0.00011067678412573581,0.9956735825943216,0.0006912880683619761,0.008806246985697735,0.004503856247445018,0.009235059849282221,0.00403323201846337,1.0169016060520648,0.5334380218272895,0.020881319200432617,0.009679859789695823,0.0015456951785970169,0.0007905284621333206,0.07853960856785092,3.1603821045145293,4.3308179361093276e-08,1.0097320230779699e-05
