Q,analysis_period_index,lambda_full,lambda_open_contribution,lambda_phase_contribution,lambda_kappa_contribution,closure_residual
522.25,1,0.007870759414747986,-0.039653484768486034,0.04266111515356974,0.004847832057754049,1.529697191022996e-05
522.25,2,-0.0576410629479062,-0.11285927726857758,0.04954786879976254,0.005622850491692823,4.7495029216020924e-05
522.25,3,0.10010818781930365,0.05187106618571983,0.043393188747646895,0.004933766766240247,-8.983388030331645e-05
522.25,4,-0.14603019757293176,-0.20015248399064503,0.04845209962157987,0.005500256382715977,0.00016993041341742572
522.25,5,0.17515586265942432,0.12560618876759028,0.04466721693616931,0.005077946237558835,-0.0001954892818941071
522.25,6,-0.20546101144291423,-0.25795322279043853,0.04690684782665203,0.0053210780518029655,0.0002642854690692994
522.25,7,0.21801458890341147,0.16675529250763726,0.04627475452531325,0.005261847288236884,-0.00027730541777593563
522.25,8,-0.22325263627868458,-0.27391292955057184,0.045229927496667564,0.0051344453757955115,0.00029592039942418196
522.25,9,0.217999648971734,0.1649487897363177,0.04790435353447141,0.0054446828393334935,-0.00029817713838862624
522.25,10,-0.19636470121405955,-0.24536601172592595,0.043777172369295375,0.004968628963918039,0.00025550917865298835
522.25,11,0.17384321698520194,0.11929037713063134,0.04920731637858553,0.005591114686722091,-0.0002455912107370223
522.25,12,-0.1322696273682826,-0.18013446991225332,0.04282942713617991,0.00486484069935057,0.00017057470844023936
522.25,13,0.09485396394925366,0.0394192170700305,0.04990941154774452,0.00566927949065054,-0.0001439441591718979
522.25,14,-0.04489662749396299,-0.09233264119782869,0.04253221922245769,0.004832062586447804,7.173189496020946e-05
522.25,15,-0.0025513265763371334,-0.058071105820407656,0.04988044713418943,0.0056619025254786145,-2.2570415597520342e-05
522.25,16,0.050017678351923715,0.0022595352332924964,0.042910901025227786,0.004878104666180307,-3.0862572776874965e-05
522.25,17,-0.09946748441405553,-0.15428085054258592,0.04913202482422484,0.005577977170576508,0.00010336413372903728
522.25,18,0.13654952907742737,0.0877934188981296,0.04390292266028705,0.004990827391108148,-0.0001376398720974231
522.25,19,-0.1769724327895039,-0.23041620641585311,0.04780334629737658,0.005422892010618654,0.00021753531835399034
522.25,20,0.19900256220902324,0.14872400792558713,0.04535772844555664,0.005157935437481726,-0.0002371095996022551
522.25,21,-0.2189633374438416,-0.27064559912224606,0.046155407600295906,0.005239192009641477,0.0002876620684670681
522.25,22,0.22363030632649042,0.17156341729187388,0.04701815586419899,0.005344584816731943,-0.000295851646314395
522.25,23,-0.21657579502538452,-0.266451615406332,0.04453638715379033,0.005053653309003528,0.0002857799181536242
522.25,24,0.2034801179459346,0.14970231196424655,0.04854363322741833,0.005517170970285728,-0.00028299821601600935
522.25,25,-0.1716986044466261,-0.2201159787180668,0.04328124486889532,0.0049151056490704115,0.00022102375347495679
522.25,26,0.14212277767354997,0.08708634553601917,0.04960512668583584,0.005635683907416091,-0.00020437845572112735
522.25,27,-0.09534804560802368,-0.14292829080877875,0.042613057039817576,0.004839963605903124,0.00012722455503437306
522.25,28,0.05269555288070411,-0.0028781774149227307,0.04998919879360198,0.005675742982030661,-9.121148000580497e-05
522.25,29,-0.002647205501774041,-0.05013681287700106,0.042619107834021334,0.00484391762595733,2.6581915248354883e-05
522.25,30,-0.04688526113180885,-0.10218498822506883,0.049630853411610054,0.005635313954324296,3.355972732562579e-05
522.25,31,0.09048853755442683,0.042363475368550924,0.04328320339703263,0.004919877088130762,-7.801829928748196e-05
522.25,32,-0.13740733221356513,-0.19167807261856276,0.0485998021152314,0.005513752837253029,0.00015718545251320291
522.25,33,0.16822273151237052,0.11884029619563011,0.044505769309984095,0.005061034488622738,-0.00018436848186641815
522.25,34,-0.20079591903455832,-0.25348752666647334,0.04708996947133749,0.00534522081688202,0.00025641734369550966
522.25,35,0.21525397941892102,0.16419495824115304,0.04609016353628295,0.005239523883058405,-0.00027066624157338036
522.25,36,-0.223525320045306,-0.2743833642064905,0.045409968501662484,0.005151906721136033,0.0002961689383859838
522.25,37,0.2202496248158319,0.16738799347226493,0.047734772643056374,0.005426487950245252,-0.00029962924973465314
522.25,38,-0.20135807712706727,-0.2505236817265747,0.043916441814043396,0.004986334439751507,0.0002628283457125147
522.25,39,0.18065371312245398,0.12624081787565047,0.04908929669948185,0.005578016653584854,-0.0002544181062631946
522.25,40,-0.14076097079476374,-0.1887170080239185,0.042903450307227746,0.004871575497043227,0.00018101142488378442
522.25,41,0.10480257253679706,0.04942872133224113,0.04986690730116106,0.005663461816227632,-0.0001565179128327661
522.25,42,-0.05517198616199852,-0.10261909446145881,0.04253145908228396,0.0048328289809067915,8.282023626954207e-05
522.25,43,0.00849811753602906,-0.047054662099272365,0.049920144062972543,0.005668994864766871,-3.635929243798845e-05
522.25,44,0.03967091213271606,-0.008015463147700104,0.042837281079270956,0.0048684283445801346,-1.933414343492472e-05
522.25,45,-0.08940071519231166,-0.14432496898499256,0.04924661841196626,0.005588000425402375,8.963495531226582e-05
522.25,46,0.12792661068027045,0.07930839818834068,0.043767349984647826,0.004976690781480801,-0.00012582827419885777
522.25,47,-0.16992987334111273,-0.2235527650416221,0.04797103953054055,0.005445423911450066,0.0002064282585187635
522.25,48,0.19375284355640549,0.14366207910735473,0.04518172625138164,0.005136442803305202,-0.00022740460563609385
522.25,49,-0.21643637919582107,-0.2683190188382276,0.04634228524031645,0.005257156813967814,0.00028319758812228764
522.25,50,0.22307994904957618,0.17121199816498797,0.04683533560945153,0.005325187422586536,-0.00029257214744986184
522.25,51,-0.21904799271206113,-0.26911470470714705,0.044702262146743006,0.005074853804796349,0.0002895960435465609
522.25,52,0.20787018883730243,0.1542655615109203,0.04839297661512448,0.005499749503057884,-0.00028809879180023614
522.25,53,-0.17844539855023117,-0.22699507505519434,0.04339361584621453,0.0049258646344232234,0.00023019602432541256
522.25,54,0.15056706729140948,0.09563795878331552,0.049518867083313274,0.005625559685803685,-0.00021531826102299916
522.25,55,-0.10484123880556262,-0.15247911923815335,0.0426541725327716,0.004845614062839512,0.00013809383697962075
522.25,56,0.06338200281095648,0.007826205405602728,0.0499832317864902,0.005677079856839014,-0.00010451423797546832
522.25,57,-0.013181142306277007,-0.06064291475715263,0.04258516815668758,0.004838777192963228,3.7827101224820886e-05
522.25,58,-0.03600115997803475,-0.09136777625103376,0.0497057383692718,0.005641260126304606,1.9617777422606744e-05
522.25,59,0.08070472832284224,0.03268162924120117,0.04318011489578707,0.0049092411918949825,-6.625700604097513e-05
522.25,60,-0.12846405862402852,-0.1828829027949124,0.04874138469679372,0.005533285040008396,0.00014417443408177005
522.25,61,0.16089007186080745,0.11167261601055609,0.04434879002803636,0.00504168324644121,-0.00017301742422620465
522.25,62,-0.19561988644099368,-0.24850120119251798,0.047271129979870444,0.005362398139260804,0.0002477866323930518
522.25,63,0.21199650967916117,0.1611332340458612,0.04590642628970607,0.0052201612674225495,-0.0002633119238286399
522.25,64,-0.22324176634326628,-0.27430490162191207,0.045592215750904726,0.005175420268051171,0.0002954992596898862
522.25,65,0.22192415514062727,0.16925680256928263,0.04756150411535558,0.005405980613789769,-0.0003001321578007072
522.25,66,-0.20588505849508112,-0.25521682988163086,0.044061778850708666,0.005000450684599683,0.0002695418512413837
522.25,67,0.18703837486049646,0.13277261174168575,0.04896425402753528,0.005564108411057478,-0.0002625993197820503
522.25,68,-0.1489329340480107,-0.19699166677786986,0.0429853347877981,0.00488211971745207,0.00019127822460899852
522.25,69,0.11447915133787237,0.05917372583602848,0.049815295689184524,0.005658969576571269,-0.0001688397639119021
522.25,70,-0.06535444658041226,-0.1128196951998921,0.042539028129001635,0.004832341225966425,9.387926451178384e-05
522.25,71,0.01954724126731055,-0.036024254812149006,0.04995108071223345,0.0056704989469551,-5.008357972899249e-05
522.25,72,0.02926656973207143,-0.018358736873140033,0.042771330510560326,0.00486185438342697,-7.878288775833332e-06
522.25,73,-0.07913691231029579,-0.13416971273162684,0.04935358595700262,0.005603390642878888,7.58238214495369e-05
522.25,74,0.11900692759520566,0.07052265215262343,0.04363773848015344,0.0049605113556662256,-0.0001139743932374376
522.25,75,-0.16245654899332698,-0.21624650663663347,0.04813451639230472,0.005460616068693974,0.00019482518230779823
522.25,76,0.18807703166884007,0.13816722457649816,0.04500878092295438,0.005118296216926314,-0.00021727004753877965
522.25,77,-0.21336967405269594,-0.2654579373062809,0.04652887499829067,0.005281534969930658,0.0002778532853636535
